Thaumarchaeota_archaeon_UBA183	Gen99
Thaumarchaeota_archaeon_UBA141	Gen98
Thaumarchaeota_archaeon_RBG_16_49_8	Gen97
D197_116	Gen96
D197_2	Gen95
Mariana_Trench_sediment_5533m_4-6cm_Bin1	Gen94
XS84_Bin3	Gen93
XS84_Bin2	Gen92
XS84_Bin1	Gen91
Deep-sea_sediment_ERR1730303_Bin1	Gen90
Nitrosopumilus_maritimus_SCM1	Gen9
Deep-sea_sediment_DRR121209_Bin1	Gen89
Deep-sea_sediment_DRR121219_Bin1	Gen88
Thaumarchaeota_archaeon_SAT139	Gen87
Thaumarchaeota_archaeon_EAC691	Gen86
Thaumarchaeota_ASW2_bin45	Gen85
Thaumarchaeota_archaeon_SP3992	Gen84
HMT_AAIW	Gen83
Thaumarchaeota_ASW8	Gen82
Thaumarchaeota_archaeon_UBA57	Gen81
HMT_NADW	Gen80
Nitrosopumilus_koreensis_AR1	Gen8
HMT_ATL	Gen79
HMT_NADW_S23_34	Gen78
HMT_AABW_S15_53	Gen77
HMT_PAC	Gen76
HMT_AABW	Gen75
Candidatus_Nitrosocaldus_cavascurensis_strain	Gen74
Candidatus_Nitrosocaldus_islandicus_isolate_3F	Gen73
Thaumarchaeota_archaeon_isolate_MTA5	Gen72
Nitrososphaera_gargensis_Ga9	Gen71
Nitrososphaera_evergladensis_SR1	Gen70
Nitrosopumilus_sp_D3C	Gen7
Nitrososphaera_viennensis_EN76	Gen69
Nitrosocosmicus_oleophilus_strain_MY3	Gen68
Candidatus_Nitrosocosmicus_franklandus_C13	Gen67
Nitrosocosmicus_hydrocola_strain_G61	Gen66
Nitrosotalea_sinensis_Nd2	Gen65
Nitrosotalea_bavarica_SbT1	Gen64
Nitrosotalea_devanaterra_Nd1	Gen63
Nitrosotalea_koreensis_CS	Gen62
Nitrosopumilales_archaeon_isolate_NPMR_NP_iota_1	Gen61
Thaumarchaeota_YK1309_1N_NP_iota	Gen60
Nitrosopumilus_salaria_BD31	Gen6
Nitrosotenuis_chungbukensis_MY2	Gen59
Thaumarchaeota_archaeon_N4	Gen58
Nitrosotenuis_aquarius_strain_AQ6F	Gen57
Nitrosotenuis_cloacae_strain_SAT1	Gen56
D175_87_reformat	Gen55
D155_102_reformat	Gen54
D125_37_reformat	Gen53
D175_134_reformat	Gen52
D125_54_reformat	Gen51
D185_106_reformat	Gen50
Nitrosomarinus_catalina_strain_SPOT01	Gen5
Nitrosopelagicus_brevis_U25	Gen49
Nitrosopelagicus_brevis_strain_CN25	Gen48
Candidatus_Nitrosopelagicus_sp_Isolate_GoM	Gen47
Nitrosopelagicus_sp_REDSEA-S31_B2	Gen46
Marine_Group_1_thaumarchaeote_sp_SCGC_AAA288_P02	Gen45
AAA799-O18	Gen44
AAA288-D22	Gen43
Marine_Group_1_crenarchaeote_sp_SCGC	Gen42
AAA007-N19	Gen41
Thaumarchaeota_archaeon_SCGC_AAA007-O23	Gen40
Nitrosopumilus_sp_Nsub	Gen4
Nitrosopumilales_archaeon_strain_NPMR_NP_delta_1	Gen39
HM82_Bin2	Gen38
HM82_Bin1	Gen37
Nitrosopumilales_archaeon_strain_NPMR_NP_delta_2	Gen36
Nitrosopumilales_archaeon_strain_NPMR_NP_delta_3	Gen35
Thaumarchaeota_CSP1-1	Gen34
D111_44_reformat	Gen33
D185_135_reformat	Gen32
D155_85_reformat	Gen31
EGM_Bin1	Gen30
Candidatus_Nitrosopumilus_sp_MTA1	Gen3
XS83_02	Gen29
XS83_01	Gen28
HM45_Bin1	Gen27
XS87_02	Gen26
D111_58_reformat	Gen25
YK1312_12N_NP_theta	Gen24
Nitrosopumilales_archaeon_strain_NPMR_NP_theta_3	Gen23
Nitrosopumilales_archaeon_strain_NPMR_NP_theta_4	Gen22
Nitrosopumilales_archaeon_strain_NPMR_NP_theta_2	Gen21
Nitrosopumilales_archaeon_strain_NPMR_NP_theta_1	Gen20
Nitrosopumilus_adriaticus_strain_NF5	Gen2
Nitrosopumilales_archaeon_strain_NPMR_NP_theta_5	Gen19
SB_01	Gen18
EGM_Bin2	Gen17
HM81_Bin2	Gen16
Halorhabdus_utahensis_DSM_12940	Gen156
Aigarchaeota_archaeon_strain_OS1	Gen155
Unclassified_Aigarchaeota_JZ_bin_40	Gen154
Candidatus_Caldiarchaeum_subterraneum	Gen153
Aigarchaeota_archaeon_NZ13_MG1	Gen152
Aigarchaeota_archaeon_JGI_0000106_J15	Gen151
Aigarchaeota_archaeon_JGI_MDM2_JNZ_1_K18	Gen150
SB_02	Gen15
Candidatus_Korarchaeum_cryptofilum_OPF8	Gen149
Thermofilum_pendens_Hrk_5	Gen148
Vulcanisaeta_distributa_DSM_14429	Gen147
Caldivirga_maquilingensis_IC_167	Gen146
Thermoproteus_tenax_Kra_1	Gen145
Pyrobaculum_calidifontis_JCM_11548__crenarchaeotes_2	Gen144
Pyrobaculum_islandicum_DSM_4184	Gen143
Pyrobaculum_aerophilum_str_IM2	Gen142
Pyrobaculum_arsenaticum_DSM_13514	Gen141
Sulfolobus_tokodaii_str_7	Gen140
Nitrosarchaeum_koreense_MY1	Gen14
Sulfolobus_acidocaldarius_DSM_639	Gen139
Acidianus_hospitalis_W1	Gen138
Metallosphaera_sedula_DSM_5348	Gen137
Metallosphaera_yellowstonensis_MK1	Gen136
Sulfolobus_islandicus_L_D_8_5	Gen135
Saccharolobus_solfataricus_P2	Gen134
Sulfolobus_solfataricus_P2	Gen133
Thermococcus_gammatolerans_EJ3	Gen132
Thermococcus_barophilus_MP	Gen131
Thermococcus_litoralis_DSM_5473	Gen130
Nitrosarchaeum_limnium_SFB1	Gen13
Pyrococcus_yayanosii_CH1	Gen129
