Gene Id	Top hits (Family id,e-value,bitscore)
Thaumarchaeota_CSP1-1_contig8_303	TIGR00037,2.1e-38,127.7
Thaumarchaeota_CSP1-1_contig1_142	TIGR00064,1.2e-89,296.8
Thaumarchaeota_CSP1-1_contig10_7	TIGR00111,2.3e-55,184.8
Thaumarchaeota_CSP1-1_contig10_16	TIGR00134,1.1e-192,638.2
Thaumarchaeota_CSP1-1_contig6_94	TIGR00194,3.9e-145,481.3
Thaumarchaeota_CSP1-1_contig1_83	TIGR00279,7.2e-49,162.3
Thaumarchaeota_CSP1-1_contig1_102	TIGR00291,1.7e-66,220.5
Thaumarchaeota_CSP1-1_contig4_190	TIGR00323,1.7e-54,181.0
Thaumarchaeota_CSP1-1_contig10_50	TIGR00335,9.1e-41,136.8
Thaumarchaeota_CSP1-1_contig8_132	TIGR00337,1.6e-225,746.2
Thaumarchaeota_CSP1-1_contig1_161	TIGR00344,1.3e-157,523.0
Thaumarchaeota_CSP1-1_contig3_54	TIGR00373,9.7e-32,106.3
Thaumarchaeota_CSP1-1_contig6_106	TIGR00392,6.5e-207,686.1
Thaumarchaeota_CSP1-1_contig8_188	TIGR00398,3.4e-154,511.0
Thaumarchaeota_CSP1-1_contig1_152	TIGR00405,3.6e-37,124.1
Thaumarchaeota_CSP1-1_contig4_111	TIGR00414,4.9e-167,552.7
Thaumarchaeota_CSP1-1_contig1_132	TIGR00431,3.7e-38,127.9
Thaumarchaeota_CSP1-1_contig8_193	TIGR00435,1.9e-141,468.9
Thaumarchaeota_CSP1-1_contig4_191	TIGR00442,7.2e-95,314.9
Thaumarchaeota_CSP1-1_contig6_180	TIGR00448,1.6e-53,177.5
Thaumarchaeota_CSP1-1_contig5_109	TIGR00456,2.9e-110,365.8
Thaumarchaeota_CSP1-1_contig4_87	TIGR00468,1.5e-103,343.0
Thaumarchaeota_CSP1-1_contig6_32	TIGR00483,3.8e-190,628.3
Thaumarchaeota_CSP1-1_contig4_206	TIGR00491,4.7e-206,682.3
Thaumarchaeota_CSP1-1_contig6_226	TIGR00522,4.3e-60,199.8
Thaumarchaeota_CSP1-1_contig6_92	TIGR00631,5.2e-288,953.3
Thaumarchaeota_CSP1-1_contig4_1	TIGR00755,1.3e-52,175.2
Thaumarchaeota_CSP1-1_contig4_71	TIGR00928,8.5e-132,436.5
Thaumarchaeota_CSP1-1_contig1_136	TIGR00967,7.4e-80,265.3
Thaumarchaeota_CSP1-1_contig1_170	TIGR00982,8.9e-69,226.1
Thaumarchaeota_CSP1-1_contig8_27	TIGR01008,1.4e-58,194.4
Thaumarchaeota_CSP1-1_contig1_208	TIGR01012,5.7e-68,224.8
Thaumarchaeota_CSP1-1_contig1_200	TIGR01018,3.1e-47,157.1
Thaumarchaeota_CSP1-1_contig1_139	TIGR01020,2.2e-72,239.5
Thaumarchaeota_CSP1-1_contig1_169	TIGR01028,3e-67,222.5
Thaumarchaeota_CSP1-1_contig6_31	TIGR01046,1.1e-40,134.6
Thaumarchaeota_CSP1-1_contig4_34	TIGR01052,3.2e-137,454.4
Thaumarchaeota_CSP1-1_contig8_325	TIGR01213,2.4e-55,184.4
Thaumarchaeota_CSP1-1_contig3_18	TIGR01302,8.7e-167,552.0
Thaumarchaeota_CSP1-1_contig1_171	TIGR01952,1.3e-46,155.0
Thaumarchaeota_CSP1-1_contig4_5	TIGR02236,1.1e-119,396.0
Thaumarchaeota_CSP1-1_contig1_96	TIGR02338,1.2e-31,105.6
Thaumarchaeota_CSP1-1_contig10_19	TIGR02350,5.2e-250,827.4
Thaumarchaeota_CSP1-1_contig1_174	TIGR02390,0.0,1222.1
Thaumarchaeota_CSP1-1_contig8_22	TIGR03626,9.2e-101,333.5
Thaumarchaeota_CSP1-1_contig4_67	TIGR03628,1e-55,183.8
Thaumarchaeota_CSP1-1_contig1_175	TIGR03670,1.3e-267,885.4
Thaumarchaeota_CSP1-1_contig7_121	TIGR03671,6.8e-102,337.8
Thaumarchaeota_CSP1-1_contig8_23	TIGR03672,3.9e-82,272.0
Thaumarchaeota_CSP1-1_contig5_128	TIGR03674,2.9e-129,427.5
Thaumarchaeota_CSP1-1_contig8_119	TIGR03676,8.1e-130,429.8
Thaumarchaeota_CSP1-1_contig10_44	TIGR03680,3.4e-179,592.8
