Gene Id	Top hits (Family id,e-value,bitscore)
Thaumarchaeota_archaeon_RBG_16_49_8-contig12_5	PF01200.19,9.8e-33,108.6
Thaumarchaeota_archaeon_RBG_16_49_8-contig39_8	PF00466.21,3e-17,59.2
Thaumarchaeota_archaeon_RBG_16_49_8-contig39_9	PF00687.22,4.9e-25,85.1
Thaumarchaeota_archaeon_RBG_16_49_8-contig41_4	PF00827.18,5.9e-17,58.6
Thaumarchaeota_archaeon_RBG_16_49_8-contig4_39	PF04919.13,6.3e-54,179.3
Thaumarchaeota_archaeon_RBG_16_49_8-contig58_13	PF01015.19,2.5e-60,200.0
Thaumarchaeota_archaeon_RBG_16_49_8-contig65_17	PF00900.21,4.6e-18,61.6
Thaumarchaeota_archaeon_RBG_16_49_8-contig65_20	PF00410.20,1.3e-23,79.9
Thaumarchaeota_archaeon_RBG_16_49_8-contig65_23	PF01280.21,1.8e-43,144.7
Thaumarchaeota_archaeon_RBG_16_49_8-contig72_11	PF01000.27,5.5e-26,87.8
Thaumarchaeota_archaeon_RBG_16_49_8-contig72_8	PF00380.20,6.7e-33,110.4
Thaumarchaeota_archaeon_RBG_16_49_8-contig94_11	PF01090.20,1.8e-20,69.7
Thaumarchaeota_archaeon_RBG_16_49_8-contig96_12	PF01025.20,3.2e-43,143.9
Thaumarchaeota_archaeon_RBG_16_49_8-contig96_17	PF07541.13,3.4e-13,46.4
