Gene Id	Top hits (Family id,e-value,bitscore)
HM82_Bin1-contig137_10	PF01200.19,6.6e-31,104.1
HM82_Bin1-contig238_6	PF04919.13,3.4e-48,161.9
HM82_Bin1-contig289_4	PF01015.19,3.2e-61,204.2
HM82_Bin1-contig493_2	PF01280.21,1.2e-42,143.4
HM82_Bin1-contig539_3	PF07541.13,3e-22,76.9
HM82_Bin1-contig543_2	PF00410.20,4.2e-23,79.6
HM82_Bin1-contig543_5	PF00900.21,6.5e-17,59.2
HM82_Bin1-contig62_4	PF01090.20,1.7e-47,158.5
HM82_Bin1-contig662_2	PF01000.27,5.4e-24,82.7
HM82_Bin1-contig662_5	PF00380.20,8.5e-33,111.4
HM82_Bin1-contig6_6	PF00827.18,8.4e-47,157.3
HM82_Bin1-contig700_3	PF00410.20,1.8e-22,77.6
HM82_Bin1-contig700_6	PF00900.21,2.2e-20,70.3
HM82_Bin1-contig729_2	PF01025.20,8.1e-39,130.9
HM82_Bin1-contig757_4	PF00687.22,6.9e-40,134.9
HM82_Bin1-contig757_5	PF00466.21,2.9e-19,67.0
