Gene Id	Top hits (Family id,e-value,bitscore)
SB_02-contig10_1	PF00466.21,4.3e-18,63.0
SB_02-contig16_2	PF07541.13,1.3e-22,77.8
SB_02-contig1_12	PF00410.20,6.6e-23,78.7
SB_02-contig1_9	PF00900.21,6e-18,62.2
SB_02-contig305_4	PF01200.19,1.2e-28,96.5
SB_02-contig367_4	PF04919.13,2.2e-49,165.5
SB_02-contig377_6	PF00827.18,7.3e-47,157.2
SB_02-contig380_4	PF01090.20,4.5e-49,163.3
SB_02-contig420_2	PF00687.22,6.3e-42,141.3
SB_02-contig420_9	PF01280.21,2.8e-40,135.3
SB_02-contig476_2	PF00380.20,7.5e-33,111.3
SB_02-contig61_5	PF01015.19,1.1e-62,208.7
