Gene Id	Top hits (Family id,e-value,bitscore)
Thaumarchaeota_archaeon_strain_BS3-contig227_1	TIGR00037,1.5e-43,144.7
Thaumarchaeota_archaeon_strain_BS3-contig146_1	TIGR00064,5.3e-85,282.0
Thaumarchaeota_archaeon_strain_BS3-contig188_1	TIGR00111,5.7e-46,154.3
Thaumarchaeota_archaeon_strain_BS3-contig1123_1	TIGR00134,2.2e-186,617.7
Thaumarchaeota_archaeon_strain_BS3-contig1825_1	TIGR00291,1.4e-67,224.4
Thaumarchaeota_archaeon_strain_BS3-contig144_1	TIGR00323,4.1e-54,180.1
Thaumarchaeota_archaeon_strain_BS3-contig918_1	TIGR00335,8.6e-37,124.2
Thaumarchaeota_archaeon_strain_BS3-contig1561_1	TIGR00337,2.5e-212,703.0
Thaumarchaeota_archaeon_strain_BS3-contig1728_1	TIGR00337,2.3e-158,525.0
Thaumarchaeota_archaeon_strain_BS3-contig993_1	TIGR00337,1.4e-109,364.0
Thaumarchaeota_archaeon_strain_BS3-contig1666_1	TIGR00337,2.3e-95,317.1
Thaumarchaeota_archaeon_strain_BS3-contig95_1	TIGR00373,2.6e-39,131.3
Thaumarchaeota_archaeon_strain_BS3-contig258_1	TIGR00392,3.1e-186,618.1
Thaumarchaeota_archaeon_strain_BS3-contig537_1	TIGR00398,8.8e-136,450.6
Thaumarchaeota_archaeon_strain_BS3-contig409_1	TIGR00414,2.3e-151,501.5
Thaumarchaeota_archaeon_strain_BS3-contig1071_1	TIGR00431,1.5e-34,116.4
Thaumarchaeota_archaeon_strain_BS3-contig503_1	TIGR00435,1.4e-113,377.3
Thaumarchaeota_archaeon_strain_BS3-contig1357_1	TIGR00442,1.6e-103,343.8
Thaumarchaeota_archaeon_strain_BS3-contig438_1	TIGR00448,4.5e-58,192.7
Thaumarchaeota_archaeon_strain_BS3-contig1604_1	TIGR00456,4.6e-109,362.2
Thaumarchaeota_archaeon_strain_BS3-contig1445_1	TIGR00456,6.8e-85,282.4
Thaumarchaeota_archaeon_strain_BS3-contig13_1	TIGR00468,2.3e-106,352.6
Thaumarchaeota_archaeon_strain_BS3-contig6_1	TIGR00483,5.7e-203,671.0
Thaumarchaeota_archaeon_strain_BS3-contig443_1	TIGR00491,5.4e-207,685.8
Thaumarchaeota_archaeon_strain_BS3-contig432_1	TIGR00522,6.6e-57,189.8
Thaumarchaeota_archaeon_strain_BS3-contig81_1	TIGR00755,3.3e-52,174.3
Thaumarchaeota_archaeon_strain_BS3-contig1067_1	TIGR00967,2.9e-75,250.6
Thaumarchaeota_archaeon_strain_BS3-contig1368_1	TIGR00982,1.5e-48,161.0
Thaumarchaeota_archaeon_strain_BS3-contig1497_1	TIGR01008,7.7e-57,189.1
Thaumarchaeota_archaeon_strain_BS3-contig1680_1	TIGR01012,3.1e-68,226.1
Thaumarchaeota_archaeon_strain_BS3-contig1080_1	TIGR01018,1.3e-56,187.9
Thaumarchaeota_archaeon_strain_BS3-contig1064_1	TIGR01020,1.8e-76,253.2
Thaumarchaeota_archaeon_strain_BS3-contig1369_1	TIGR01028,1.1e-74,247.1
Thaumarchaeota_archaeon_strain_BS3-contig1388_1	TIGR01046,5.8e-38,126.3
Thaumarchaeota_archaeon_strain_BS3-contig1138_1	TIGR01052,6.8e-144,476.8
Thaumarchaeota_archaeon_strain_BS3-contig77_1	TIGR01213,1.1e-32,110.2
Thaumarchaeota_archaeon_strain_BS3-contig1016_1	TIGR01302,1.1e-167,555.4
Thaumarchaeota_archaeon_strain_BS3-contig795_1	TIGR02338,7.9e-32,106.5
Thaumarchaeota_archaeon_strain_BS3-contig68_1	TIGR02350,1e-261,866.4
Thaumarchaeota_archaeon_strain_BS3-contig7_1	TIGR02390,0.0,1104.4
Thaumarchaeota_archaeon_strain_BS3-contig1489_1	TIGR03626,7.2e-99,327.7
Thaumarchaeota_archaeon_strain_BS3-contig1081_1	TIGR03628,2.7e-59,195.8
Thaumarchaeota_archaeon_strain_BS3-contig1079_1	TIGR03629,1.7e-55,184.2
Thaumarchaeota_archaeon_strain_BS3-contig423_1	TIGR03674,3.4e-138,457.3
Thaumarchaeota_archaeon_strain_BS3-contig127_1	TIGR03676,1.6e-142,472.0
Thaumarchaeota_archaeon_strain_BS3-contig440_1	TIGR03680,1.1e-174,578.3
