Gene Id	Top hits (Family id,e-value,bitscore)
D197_116_contig1_160	PF00687.22,9.9e-36,120.1
D197_116_contig1_161	PF00466.21,1.9e-15,53.5
D197_116_contig1_183	PF01090.20,8.3e-51,168.0
D197_116_contig1_30	PF00900.21,2.3e-21,72.2
D197_116_contig1_33	PF00410.20,3.7e-22,75.3
D197_116_contig1_36	PF01280.21,5.7e-45,149.6
D197_116_contig1_45	PF04919.13,6.5e-49,163.0
D197_116_contig1_80	PF07541.13,8e-24,80.7
D197_116_contig1_84	PF01025.20,3.6e-36,121.0
D197_116_contig3_66	PF01000.27,1.3e-28,96.4
D197_116_contig3_69	PF00380.20,2.6e-32,108.6
D197_116_contig6_86	PF00827.18,1.5e-44,148.7
D197_116_contig6_94	PF01015.19,2.1e-57,190.5
D197_116_contig7_49	PF01200.19,6.5e-32,106.1
