Gene Id	Top hits (Family id,e-value,bitscore)
Natronomonas_pharaonis_DSM_2160-contig1_2369	TIGR00037,4.4e-43,143.6
Natronomonas_pharaonis_DSM_2160-contig1_91	TIGR00064,6.7e-89,295.1
Natronomonas_pharaonis_DSM_2160-contig1_405	TIGR00065,1.6e-128,426.2
Natronomonas_pharaonis_DSM_2160-contig1_2653	TIGR00065,3.2e-121,402.3
Natronomonas_pharaonis_DSM_2160-contig1_2165	TIGR00111,1.1e-97,324.8
Natronomonas_pharaonis_DSM_2160-contig1_1878	TIGR00134,5.2e-235,778.7
Natronomonas_pharaonis_DSM_2160-contig1_543	TIGR00194,8.8e-137,454.5
Natronomonas_pharaonis_DSM_2160-contig1_210	TIGR00279,3.7e-59,196.6
Natronomonas_pharaonis_DSM_2160-contig1_1861	TIGR00291,4e-83,275.7
Natronomonas_pharaonis_DSM_2160-contig1_507	TIGR00323,1.2e-65,218.3
Natronomonas_pharaonis_DSM_2160-contig1_1987	TIGR00335,2.9e-41,139.2
Natronomonas_pharaonis_DSM_2160-contig1_977	TIGR00337,2.2e-238,789.4
Natronomonas_pharaonis_DSM_2160-contig1_356	TIGR00344,2.9e-204,678.1
Natronomonas_pharaonis_DSM_2160-contig1_2045	TIGR00373,2.6e-45,151.1
Natronomonas_pharaonis_DSM_2160-contig1_307	TIGR00392,2.5e-269,893.4
Natronomonas_pharaonis_DSM_2160-contig1_226	TIGR00396,1.7e-267,887.2
Natronomonas_pharaonis_DSM_2160-contig1_596	TIGR00398,1.4e-138,460.2
Natronomonas_pharaonis_DSM_2160-contig1_407	TIGR00405,6.5e-46,153.3
Natronomonas_pharaonis_DSM_2160-contig1_842	TIGR00414,6.3e-144,477.3
Natronomonas_pharaonis_DSM_2160-contig1_2451	TIGR00431,8.4e-30,101.3
Natronomonas_pharaonis_DSM_2160-contig1_2211	TIGR00435,4.9e-136,451.8
Natronomonas_pharaonis_DSM_2160-contig1_2511	TIGR00442,3.2e-112,372.8
Natronomonas_pharaonis_DSM_2160-contig1_2529	TIGR00448,7.6e-58,192.4
Natronomonas_pharaonis_DSM_2160-contig1_33	TIGR00456,9.8e-140,463.9
Natronomonas_pharaonis_DSM_2160-contig1_349	TIGR00468,2.1e-83,277.5
Natronomonas_pharaonis_DSM_2160-contig1_153	TIGR00483,9.7e-210,693.7
Natronomonas_pharaonis_DSM_2160-contig1_2482	TIGR00491,6e-222,735.6
Natronomonas_pharaonis_DSM_2160-contig1_939	TIGR00522,3e-69,230.6
Natronomonas_pharaonis_DSM_2160-contig1_373	TIGR00631,6.9e-296,980.1
Natronomonas_pharaonis_DSM_2160-contig1_1830	TIGR00755,1.3e-65,218.5
Natronomonas_pharaonis_DSM_2160-contig1_825	TIGR00928,3.6e-101,336.3
Natronomonas_pharaonis_DSM_2160-contig1_2443	TIGR00967,2.5e-98,327.0
Natronomonas_pharaonis_DSM_2160-contig1_61	TIGR00982,3.7e-71,234.6
Natronomonas_pharaonis_DSM_2160-contig1_2426	TIGR01008,5.9e-80,264.9
Natronomonas_pharaonis_DSM_2160-contig1_1414	TIGR01012,2.1e-78,259.7
Natronomonas_pharaonis_DSM_2160-contig1_1405	TIGR01018,1.9e-54,181.3
Natronomonas_pharaonis_DSM_2160-contig1_2440	TIGR01020,2.8e-77,256.3
Natronomonas_pharaonis_DSM_2160-contig1_62	TIGR01028,2.8e-72,239.6
Natronomonas_pharaonis_DSM_2160-contig1_154	TIGR01046,9.9e-48,158.0
Natronomonas_pharaonis_DSM_2160-contig1_1731	TIGR01052,1.4e-155,515.8
Natronomonas_pharaonis_DSM_2160-contig1_1739	TIGR01059,2e-299,991.9
Natronomonas_pharaonis_DSM_2160-contig1_1740	TIGR01063,0.0,1092.2
Natronomonas_pharaonis_DSM_2160-contig1_2423	TIGR01171,1.3e-51,172.9
Natronomonas_pharaonis_DSM_2160-contig1_1186	TIGR01213,2.4e-148,491.4
Natronomonas_pharaonis_DSM_2160-contig1_1682	TIGR01302,3.5e-183,606.9
Natronomonas_pharaonis_DSM_2160-contig1_1529	TIGR01302,7.1e-93,309.2
Natronomonas_pharaonis_DSM_2160-contig1_59	TIGR01952,2.7e-52,174.2
Natronomonas_pharaonis_DSM_2160-contig1_439	TIGR02236,8.9e-155,512.0
Natronomonas_pharaonis_DSM_2160-contig1_308	TIGR02338,6e-36,120.1
Natronomonas_pharaonis_DSM_2160-contig1_109	TIGR02350,2.6e-263,872.1
Natronomonas_pharaonis_DSM_2160-contig1_58	TIGR02389,1.1e-150,499.0
Natronomonas_pharaonis_DSM_2160-contig1_57	TIGR02390,0.0,1265.7
Natronomonas_pharaonis_DSM_2160-contig1_2420	TIGR03626,6.5e-136,449.8
Natronomonas_pharaonis_DSM_2160-contig1_1410	TIGR03627,3.1e-61,202.7
Natronomonas_pharaonis_DSM_2160-contig1_1406	TIGR03628,4e-62,205.2
Natronomonas_pharaonis_DSM_2160-contig1_1404	TIGR03629,8.7e-62,205.0
Natronomonas_pharaonis_DSM_2160-contig1_56	TIGR03670,0.0,1029.4
Natronomonas_pharaonis_DSM_2160-contig1_161	TIGR03671,1.1e-151,502.6
Natronomonas_pharaonis_DSM_2160-contig1_2421	TIGR03672,1.5e-110,365.9
Natronomonas_pharaonis_DSM_2160-contig1_2430	TIGR03673,2.1e-61,202.9
Natronomonas_pharaonis_DSM_2160-contig1_1883	TIGR03674,6.8e-114,377.8
Natronomonas_pharaonis_DSM_2160-contig1_135	TIGR03676,6.8e-168,555.9
Natronomonas_pharaonis_DSM_2160-contig1_2531	TIGR03680,8.2e-205,678.0
