Gene Id	Top hits (Family id,e-value,bitscore)
Thaumarchaeota_archaeon_isolate_MTA5-contig22_6	TIGR00064,1.3e-90,300.4
Thaumarchaeota_archaeon_isolate_MTA5-contig142_4	TIGR00083,4.9e-55,183.9
Thaumarchaeota_archaeon_isolate_MTA5-contig15_12	TIGR00111,1.6e-54,182.4
Thaumarchaeota_archaeon_isolate_MTA5-contig2_26	TIGR00134,7.3e-189,625.8
Thaumarchaeota_archaeon_isolate_MTA5-contig127_3	TIGR00279,3.2e-47,157.3
Thaumarchaeota_archaeon_isolate_MTA5-contig114_2	TIGR00291,7.7e-69,228.5
Thaumarchaeota_archaeon_isolate_MTA5-contig56_1	TIGR00335,2.6e-38,129.1
Thaumarchaeota_archaeon_isolate_MTA5-contig116_1	TIGR00337,1.5e-157,522.2
Thaumarchaeota_archaeon_isolate_MTA5-contig83_4	TIGR00398,1.9e-154,512.1
Thaumarchaeota_archaeon_isolate_MTA5-contig22_16	TIGR00405,6.4e-37,123.7
Thaumarchaeota_archaeon_isolate_MTA5-contig85_3	TIGR00414,2.3e-163,540.9
Thaumarchaeota_archaeon_isolate_MTA5-contig41_1	TIGR00435,1e-85,285.5
Thaumarchaeota_archaeon_isolate_MTA5-contig165_4	TIGR00442,5.3e-86,286.0
Thaumarchaeota_archaeon_isolate_MTA5-contig28_12	TIGR00448,2.5e-40,134.9
Thaumarchaeota_archaeon_isolate_MTA5-contig73_5	TIGR00456,6.7e-104,345.1
Thaumarchaeota_archaeon_isolate_MTA5-contig24_4	TIGR00468,4.6e-106,351.6
Thaumarchaeota_archaeon_isolate_MTA5-contig34_10	TIGR00483,1.2e-196,650.1
Thaumarchaeota_archaeon_isolate_MTA5-contig33_3	TIGR00491,4.9e-216,715.6
Thaumarchaeota_archaeon_isolate_MTA5-contig169_1	TIGR00522,1.7e-65,217.9
Thaumarchaeota_archaeon_isolate_MTA5-contig276_1	TIGR00928,7.7e-111,367.8
Thaumarchaeota_archaeon_isolate_MTA5-contig105_5	TIGR00967,1.5e-79,264.7
Thaumarchaeota_archaeon_isolate_MTA5-contig14_10	TIGR00982,7.8e-72,236.4
Thaumarchaeota_archaeon_isolate_MTA5-contig76_7	TIGR01012,1.1e-62,208.0
Thaumarchaeota_archaeon_isolate_MTA5-contig136_4	TIGR01018,3.6e-53,176.7
Thaumarchaeota_archaeon_isolate_MTA5-contig22_3	TIGR01020,1.5e-76,253.5
Thaumarchaeota_archaeon_isolate_MTA5-contig14_9	TIGR01028,7.1e-69,228.1
Thaumarchaeota_archaeon_isolate_MTA5-contig34_9	TIGR01046,2.4e-43,143.5
Thaumarchaeota_archaeon_isolate_MTA5-contig19_20	TIGR01052,3.8e-137,454.5
Thaumarchaeota_archaeon_isolate_MTA5-contig95_5	TIGR01213,1.5e-50,169.0
Thaumarchaeota_archaeon_isolate_MTA5-contig274_2	TIGR01302,8e-153,506.4
Thaumarchaeota_archaeon_isolate_MTA5-contig14_11	TIGR01952,3.1e-45,150.9
Thaumarchaeota_archaeon_isolate_MTA5-contig18_11	TIGR02236,5.3e-118,390.8
Thaumarchaeota_archaeon_isolate_MTA5-contig114_8	TIGR02338,4.6e-30,100.8
Thaumarchaeota_archaeon_isolate_MTA5-contig24_9	TIGR02350,5.8e-248,821.0
Thaumarchaeota_archaeon_isolate_MTA5-contig14_13	TIGR02389,2.6e-132,438.1
Thaumarchaeota_archaeon_isolate_MTA5-contig30_1	TIGR02390,0.0,1047.9
Thaumarchaeota_archaeon_isolate_MTA5-contig5_2	TIGR03628,1.5e-56,186.8
Thaumarchaeota_archaeon_isolate_MTA5-contig30_2	TIGR03670,6.8e-272,899.9
Thaumarchaeota_archaeon_isolate_MTA5-contig3_18	TIGR03671,3.9e-109,362.0
Thaumarchaeota_archaeon_isolate_MTA5-contig371_2	TIGR03676,2.5e-134,445.0
