Gene Id	Top hits (Family id,e-value,bitscore)
Thaumarchaeota_YK1309_1N_NP_iota_contig6_19	TIGR00037,6.8e-38,126.0
Thaumarchaeota_YK1309_1N_NP_iota_contig161_24	TIGR00064,1.4e-92,306.5
Thaumarchaeota_YK1309_1N_NP_iota_contig26_7	TIGR00111,1.1e-50,169.5
Thaumarchaeota_YK1309_1N_NP_iota_contig49_1	TIGR00134,4.6e-110,365.2
Thaumarchaeota_YK1309_1N_NP_iota_contig113_13	TIGR00134,8.6e-91,301.6
Thaumarchaeota_YK1309_1N_NP_iota_contig40_4	TIGR00279,4.2e-51,169.6
Thaumarchaeota_YK1309_1N_NP_iota_contig164_1	TIGR00291,5.8e-58,192.6
Thaumarchaeota_YK1309_1N_NP_iota_contig31_38	TIGR00323,5.7e-51,169.5
Thaumarchaeota_YK1309_1N_NP_iota_contig148_2	TIGR00335,1.1e-33,113.7
Thaumarchaeota_YK1309_1N_NP_iota_contig223_4	TIGR00337,3.4e-224,741.8
Thaumarchaeota_YK1309_1N_NP_iota_contig161_42	TIGR00344,1.4e-158,526.2
Thaumarchaeota_YK1309_1N_NP_iota_contig16_21	TIGR00373,4e-32,107.5
Thaumarchaeota_YK1309_1N_NP_iota_contig22_1	TIGR00392,3.1e-190,630.9
Thaumarchaeota_YK1309_1N_NP_iota_contig33_3	TIGR00398,2e-152,505.1
Thaumarchaeota_YK1309_1N_NP_iota_contig161_34	TIGR00405,1.8e-38,128.4
Thaumarchaeota_YK1309_1N_NP_iota_contig99_6	TIGR00414,4.6e-165,546.2
Thaumarchaeota_YK1309_1N_NP_iota_contig161_14	TIGR00431,1.2e-38,129.5
Thaumarchaeota_YK1309_1N_NP_iota_contig182_3	TIGR00435,4.8e-154,510.4
Thaumarchaeota_YK1309_1N_NP_iota_contig31_37	TIGR00442,8.7e-94,311.3
Thaumarchaeota_YK1309_1N_NP_iota_contig20_3	TIGR00448,7.9e-54,178.5
Thaumarchaeota_YK1309_1N_NP_iota_contig169_14	TIGR00456,5e-115,381.5
Thaumarchaeota_YK1309_1N_NP_iota_contig82_6	TIGR00468,1.8e-104,346.0
Thaumarchaeota_YK1309_1N_NP_iota_contig39_13	TIGR00483,7.5e-193,637.3
Thaumarchaeota_YK1309_1N_NP_iota_contig31_34	TIGR00491,2.2e-208,690.0
Thaumarchaeota_YK1309_1N_NP_iota_contig80_1	TIGR00491,1.9e-203,673.7
Thaumarchaeota_YK1309_1N_NP_iota_contig90_13	TIGR00522,3.9e-53,177.1
Thaumarchaeota_YK1309_1N_NP_iota_contig79_6	TIGR00928,1.4e-129,429.2
Thaumarchaeota_YK1309_1N_NP_iota_contig161_18	TIGR00967,1.2e-80,268.0
Thaumarchaeota_YK1309_1N_NP_iota_contig161_48	TIGR00982,2.9e-71,234.2
Thaumarchaeota_YK1309_1N_NP_iota_contig112_5	TIGR01008,6.4e-60,198.8
Thaumarchaeota_YK1309_1N_NP_iota_contig46_26	TIGR01012,2e-71,236.1
Thaumarchaeota_YK1309_1N_NP_iota_contig46_34	TIGR01018,5.9e-49,162.7
Thaumarchaeota_YK1309_1N_NP_iota_contig161_21	TIGR01020,5.9e-74,244.7
Thaumarchaeota_YK1309_1N_NP_iota_contig161_47	TIGR01028,1.9e-65,216.6
Thaumarchaeota_YK1309_1N_NP_iota_contig39_14	TIGR01046,4.5e-40,132.7
Thaumarchaeota_YK1309_1N_NP_iota_contig79_44	TIGR01052,1.8e-72,240.9
Thaumarchaeota_YK1309_1N_NP_iota_contig6_22	TIGR01213,6.9e-47,156.6
Thaumarchaeota_YK1309_1N_NP_iota_contig65_6	TIGR01302,6.3e-162,536.1
Thaumarchaeota_YK1309_1N_NP_iota_contig161_49	TIGR01952,3.7e-44,147.1
Thaumarchaeota_YK1309_1N_NP_iota_contig66_2	TIGR02236,7.5e-119,393.2
Thaumarchaeota_YK1309_1N_NP_iota_contig113_8	TIGR02350,3.2e-250,828.1
Thaumarchaeota_YK1309_1N_NP_iota_contig166_1	TIGR02390,0.0,1255.8
Thaumarchaeota_YK1309_1N_NP_iota_contig31_40	TIGR02397,3.8e-45,151.2
Thaumarchaeota_YK1309_1N_NP_iota_contig55_19	TIGR03626,3.1e-97,322.0
Thaumarchaeota_YK1309_1N_NP_iota_contig79_12	TIGR03628,3.2e-56,185.5
Thaumarchaeota_YK1309_1N_NP_iota_contig166_2	TIGR03670,5.6e-267,883.4
Thaumarchaeota_YK1309_1N_NP_iota_contig44_12	TIGR03671,4.5e-106,351.6
Thaumarchaeota_YK1309_1N_NP_iota_contig32_1	TIGR03674,1.6e-134,444.9
Thaumarchaeota_YK1309_1N_NP_iota_contig51_16	TIGR03676,2.6e-133,441.3
Thaumarchaeota_YK1309_1N_NP_iota_contig114_21	TIGR03680,1.3e-176,584.4
