Gene Id	Top hits (Family id,e-value,bitscore)
Nitrosopumilus_maritimus_SCM1-contig1_560	TIGR00037,4.7e-36,120.3
Nitrosopumilus_maritimus_SCM1-contig1_420	TIGR00064,8.3e-92,304.1
Nitrosopumilus_maritimus_SCM1-contig1_114	TIGR00111,1.6e-53,179.0
Nitrosopumilus_maritimus_SCM1-contig1_104	TIGR00134,1.5e-186,618.1
Nitrosopumilus_maritimus_SCM1-contig1_1198	TIGR00194,5.8e-151,500.7
Nitrosopumilus_maritimus_SCM1-contig1_476	TIGR00279,4.2e-44,147.0
Nitrosopumilus_maritimus_SCM1-contig1_456	TIGR00291,1.7e-64,214.2
Nitrosopumilus_maritimus_SCM1-contig1_247	TIGR00323,5.8e-53,176.2
Nitrosopumilus_maritimus_SCM1-contig1_69	TIGR00335,5.2e-35,118.2
Nitrosopumilus_maritimus_SCM1-contig1_993	TIGR00337,5.8e-229,757.8
Nitrosopumilus_maritimus_SCM1-contig1_388	TIGR00344,7.3e-156,517.5
Nitrosopumilus_maritimus_SCM1-contig1_1740	TIGR00373,6.1e-33,110.4
Nitrosopumilus_maritimus_SCM1-contig1_1217	TIGR00392,1.8e-209,694.8
Nitrosopumilus_maritimus_SCM1-contig1_1040	TIGR00398,4e-155,514.3
Nitrosopumilus_maritimus_SCM1-contig1_409	TIGR00405,1.3e-36,122.5
Nitrosopumilus_maritimus_SCM1-contig1_1643	TIGR00414,1.6e-165,547.9
Nitrosopumilus_maritimus_SCM1-contig1_430	TIGR00431,1.6e-35,119.5
Nitrosopumilus_maritimus_SCM1-contig1_1044	TIGR00435,6.7e-157,520.0
Nitrosopumilus_maritimus_SCM1-contig1_246	TIGR00442,7.2e-101,334.8
Nitrosopumilus_maritimus_SCM1-contig1_1347	TIGR00448,2.9e-56,186.7
Nitrosopumilus_maritimus_SCM1-contig1_733	TIGR00456,4.1e-112,372.1
Nitrosopumilus_maritimus_SCM1-contig1_1620	TIGR00468,7.6e-103,340.9
Nitrosopumilus_maritimus_SCM1-contig1_1126	TIGR00483,1.2e-197,653.2
Nitrosopumilus_maritimus_SCM1-contig1_237	TIGR00491,2.7e-202,670.1
Nitrosopumilus_maritimus_SCM1-contig1_1412	TIGR00522,1.3e-55,185.4
Nitrosopumilus_maritimus_SCM1-contig1_1200	TIGR00631,6.6e-289,956.5
Nitrosopumilus_maritimus_SCM1-contig1_1584	TIGR00928,2.9e-130,431.7
Nitrosopumilus_maritimus_SCM1-contig1_426	TIGR00967,4e-79,263.2
Nitrosopumilus_maritimus_SCM1-contig1_367	TIGR00982,3.5e-67,221.2
Nitrosopumilus_maritimus_SCM1-contig1_860	TIGR01008,8e-60,198.7
Nitrosopumilus_maritimus_SCM1-contig1_329	TIGR01012,1.8e-66,220.2
Nitrosopumilus_maritimus_SCM1-contig1_337	TIGR01018,8e-49,162.5
Nitrosopumilus_maritimus_SCM1-contig1_423	TIGR01020,1e-73,244.1
Nitrosopumilus_maritimus_SCM1-contig1_368	TIGR01028,8.6e-67,221.2
Nitrosopumilus_maritimus_SCM1-contig1_1125	TIGR01046,1.8e-39,130.9
Nitrosopumilus_maritimus_SCM1-contig1_1532	TIGR01052,4.6e-137,454.1
Nitrosopumilus_maritimus_SCM1-contig1_563	TIGR01213,2.2e-56,188.0
Nitrosopumilus_maritimus_SCM1-contig1_1702	TIGR01302,7.4e-164,542.6
Nitrosopumilus_maritimus_SCM1-contig1_366	TIGR01952,6.9e-46,152.9
Nitrosopumilus_maritimus_SCM1-contig1_1510	TIGR02236,3.8e-120,397.7
Nitrosopumilus_maritimus_SCM1-contig1_462	TIGR02338,7.9e-29,96.7
Nitrosopumilus_maritimus_SCM1-contig1_100	TIGR02350,8e-254,840.2
Nitrosopumilus_maritimus_SCM1-contig1_361	TIGR02390,0.0,1215.0
Nitrosopumilus_maritimus_SCM1-contig1_865	TIGR03626,7.3e-103,340.7
Nitrosopumilus_maritimus_SCM1-contig1_1579	TIGR03628,4.3e-56,185.3
Nitrosopumilus_maritimus_SCM1-contig1_360	TIGR03670,1.2e-265,879.2
Nitrosopumilus_maritimus_SCM1-contig1_1930	TIGR03671,1e-109,363.8
Nitrosopumilus_maritimus_SCM1-contig1_864	TIGR03672,3.6e-82,272.3
Nitrosopumilus_maritimus_SCM1-contig1_752	TIGR03674,5.6e-129,426.8
Nitrosopumilus_maritimus_SCM1-contig1_946	TIGR03676,9.7e-124,410.0
Nitrosopumilus_maritimus_SCM1-contig1_75	TIGR03680,1.1e-176,584.7
