Gene Id	Top hits (Family id,e-value,bitscore)
Natrialba_magadii_ATCC_43099-contig1_1209	TIGR00037,1.1e-41,139.6
Natrialba_magadii_ATCC_43099-contig1_1827	TIGR00064,8.9e-89,295.3
Natrialba_magadii_ATCC_43099-contig1_2790	TIGR00065,1.6e-127,423.6
Natrialba_magadii_ATCC_43099-contig1_983	TIGR00065,2.2e-120,400.1
Natrialba_magadii_ATCC_43099-contig1_865	TIGR00111,4.8e-88,293.7
Natrialba_magadii_ATCC_43099-contig1_3625	TIGR00134,7.3e-234,775.5
Natrialba_magadii_ATCC_43099-contig1_2088	TIGR00194,5e-134,446.0
Natrialba_magadii_ATCC_43099-contig1_2149	TIGR00279,6.6e-60,199.6
Natrialba_magadii_ATCC_43099-contig1_3329	TIGR00291,4.6e-84,279.3
Natrialba_magadii_ATCC_43099-contig1_1830	TIGR00323,3.4e-66,220.6
Natrialba_magadii_ATCC_43099-contig1_410	TIGR00335,1.4e-48,163.8
Natrialba_magadii_ATCC_43099-contig1_2729	TIGR00337,6.5e-235,778.6
Natrialba_magadii_ATCC_43099-contig1_1917	TIGR00344,5.4e-210,697.7
Natrialba_magadii_ATCC_43099-contig1_3169	TIGR00373,1.1e-44,149.6
Natrialba_magadii_ATCC_43099-contig1_1755	TIGR00392,1.1e-266,885.2
Natrialba_magadii_ATCC_43099-contig1_1714	TIGR00396,4e-264,876.6
Natrialba_magadii_ATCC_43099-contig1_3310	TIGR00396,9.7e-233,772.8
Natrialba_magadii_ATCC_43099-contig1_2614	TIGR00398,2.7e-148,492.9
Natrialba_magadii_ATCC_43099-contig1_1142	TIGR00405,7.3e-50,166.7
Natrialba_magadii_ATCC_43099-contig1_2192	TIGR00414,8.3e-143,474.2
Natrialba_magadii_ATCC_43099-contig1_271	TIGR00431,1.5e-26,91.3
Natrialba_magadii_ATCC_43099-contig1_3617	TIGR00435,2.3e-136,453.5
Natrialba_magadii_ATCC_43099-contig1_1528	TIGR00442,8.6e-110,365.4
Natrialba_magadii_ATCC_43099-contig1_1494	TIGR00448,2.1e-57,191.5
Natrialba_magadii_ATCC_43099-contig1_1423	TIGR00456,2.5e-139,463.1
Natrialba_magadii_ATCC_43099-contig1_1705	TIGR00468,1.4e-84,282.0
Natrialba_magadii_ATCC_43099-contig1_2527	TIGR00483,3.8e-205,679.2
Natrialba_magadii_ATCC_43099-contig1_3276	TIGR00483,2.2e-203,673.3
Natrialba_magadii_ATCC_43099-contig1_2727	TIGR00491,3.9e-223,740.1
Natrialba_magadii_ATCC_43099-contig1_899	TIGR00522,4.4e-76,253.6
Natrialba_magadii_ATCC_43099-contig1_2081	TIGR00631,2.4e-301,998.7
Natrialba_magadii_ATCC_43099-contig1_1097	TIGR00755,3.9e-66,220.9
Natrialba_magadii_ATCC_43099-contig1_2748	TIGR00928,1.9e-97,324.7
Natrialba_magadii_ATCC_43099-contig1_232	TIGR00967,1.2e-98,328.6
Natrialba_magadii_ATCC_43099-contig1_2169	TIGR00982,2.7e-71,235.7
Natrialba_magadii_ATCC_43099-contig1_216	TIGR01008,7.4e-79,261.9
Natrialba_magadii_ATCC_43099-contig1_430	TIGR01012,2.1e-79,263.5
Natrialba_magadii_ATCC_43099-contig1_421	TIGR01018,2.2e-58,194.7
Natrialba_magadii_ATCC_43099-contig1_229	TIGR01020,7.3e-80,265.3
Natrialba_magadii_ATCC_43099-contig1_2170	TIGR01028,4.5e-70,233.0
Natrialba_magadii_ATCC_43099-contig1_2528	TIGR01046,1.1e-47,158.4
Natrialba_magadii_ATCC_43099-contig1_635	TIGR01052,1.4e-158,526.2
Natrialba_magadii_ATCC_43099-contig1_306	TIGR01059,2.1e-290,962.6
Natrialba_magadii_ATCC_43099-contig1_305	TIGR01063,0.0,1135.6
Natrialba_magadii_ATCC_43099-contig1_213	TIGR01171,7.4e-52,174.3
Natrialba_magadii_ATCC_43099-contig1_2715	TIGR01213,1e-139,463.5
Natrialba_magadii_ATCC_43099-contig1_649	TIGR01302,3.2e-180,597.7
Natrialba_magadii_ATCC_43099-contig1_3281	TIGR01302,4.2e-101,336.9
Natrialba_magadii_ATCC_43099-contig1_2166	TIGR01952,1.6e-43,146.3
Natrialba_magadii_ATCC_43099-contig1_1843	TIGR02236,2.3e-154,511.2
Natrialba_magadii_ATCC_43099-contig1_2460	TIGR02338,1.8e-34,116.0
Natrialba_magadii_ATCC_43099-contig1_569	TIGR02350,5.3e-263,871.7
Natrialba_magadii_ATCC_43099-contig1_2165	TIGR02389,2.6e-155,514.8
Natrialba_magadii_ATCC_43099-contig1_2164	TIGR02390,0.0,1295.2
Natrialba_magadii_ATCC_43099-contig1_210	TIGR03626,2.3e-143,474.9
Natrialba_magadii_ATCC_43099-contig1_426	TIGR03627,7.3e-61,202.1
Natrialba_magadii_ATCC_43099-contig1_422	TIGR03628,9.6e-60,198.2
Natrialba_magadii_ATCC_43099-contig1_420	TIGR03629,3.6e-59,197.0
Natrialba_magadii_ATCC_43099-contig1_2163	TIGR03670,0.0,1014.7
Natrialba_magadii_ATCC_43099-contig1_2222	TIGR03671,4.1e-153,507.9
Natrialba_magadii_ATCC_43099-contig1_211	TIGR03672,6.2e-110,364.4
Natrialba_magadii_ATCC_43099-contig1_220	TIGR03673,1.1e-62,207.6
Natrialba_magadii_ATCC_43099-contig1_3246	TIGR03674,6.4e-118,391.6
Natrialba_magadii_ATCC_43099-contig1_1420	TIGR03676,1.1e-167,555.8
Natrialba_magadii_ATCC_43099-contig1_803	TIGR03676,2.8e-73,244.9
