Gene Id	Top hits (Family id,e-value,bitscore)
Methanocella_arvoryzae_MRE50-contig1_1016	PF00827.18,1.5e-83,276.7
Methanocella_arvoryzae_MRE50-contig1_1124	PF01025.20,2.3e-11,41.2
Methanocella_arvoryzae_MRE50-contig1_1832	PF01090.20,5.1e-56,185.7
Methanocella_arvoryzae_MRE50-contig1_25	PF00687.22,1.7e-47,159.3
Methanocella_arvoryzae_MRE50-contig1_26	PF00466.21,7.1e-22,75.0
Methanocella_arvoryzae_MRE50-contig1_2768	PF01025.20,2.8e-51,171.0
Methanocella_arvoryzae_MRE50-contig1_2822	PF00380.20,2.7e-32,109.3
Methanocella_arvoryzae_MRE50-contig1_2923	PF07541.13,6.5e-25,85.0
Methanocella_arvoryzae_MRE50-contig1_3043	PF01200.19,7e-30,100.3
Methanocella_arvoryzae_MRE50-contig1_634	PF01000.27,2.6e-23,80.1
Methanocella_arvoryzae_MRE50-contig1_651	PF01280.21,1.2e-58,194.7
Methanocella_arvoryzae_MRE50-contig1_654	PF00410.20,3.2e-29,99.0
Methanocella_arvoryzae_MRE50-contig1_657	PF00900.21,3.6e-22,75.6
Methanocella_arvoryzae_MRE50-contig1_820	PF04919.13,6.4e-69,229.0
Methanocella_arvoryzae_MRE50-contig1_883	PF01015.19,1.9e-73,243.7
