Gene Id	Top hits (Family id,e-value,bitscore)
Methanothermus_fervidus_DSM_2088-contig1_1216	TIGR00037,4.6e-60,197.4
Methanothermus_fervidus_DSM_2088-contig1_165	TIGR00064,2.5e-106,351.2
Methanothermus_fervidus_DSM_2088-contig1_254	TIGR00065,9.4e-138,455.5
Methanothermus_fervidus_DSM_2088-contig1_66	TIGR00111,1.2e-125,415.7
Methanothermus_fervidus_DSM_2088-contig1_512	TIGR00134,1.9e-294,973.9
Methanothermus_fervidus_DSM_2088-contig1_128	TIGR00279,8.6e-79,259.4
Methanothermus_fervidus_DSM_2088-contig1_828	TIGR00291,5.7e-98,323.1
Methanothermus_fervidus_DSM_2088-contig1_168	TIGR00323,1.2e-71,236.7
Methanothermus_fervidus_DSM_2088-contig1_609	TIGR00335,1.4e-76,254.2
Methanothermus_fervidus_DSM_2088-contig1_427	TIGR00337,4.6e-212,701.5
Methanothermus_fervidus_DSM_2088-contig1_149	TIGR00344,7e-254,841.2
Methanothermus_fervidus_DSM_2088-contig1_1061	TIGR00373,7.8e-62,203.8
Methanothermus_fervidus_DSM_2088-contig1_1126	TIGR00392,0.0,1120.4
Methanothermus_fervidus_DSM_2088-contig1_373	TIGR00392,8e-170,563.0
Methanothermus_fervidus_DSM_2088-contig1_611	TIGR00398,8.2e-205,677.7
Methanothermus_fervidus_DSM_2088-contig1_144	TIGR00405,1e-71,235.8
Methanothermus_fervidus_DSM_2088-contig1_887	TIGR00431,1.1e-39,132.6
Methanothermus_fervidus_DSM_2088-contig1_1204	TIGR00442,3e-129,427.8
Methanothermus_fervidus_DSM_2088-contig1_446	TIGR00448,1.1e-77,255.9
Methanothermus_fervidus_DSM_2088-contig1_81	TIGR00456,1.1e-191,634.3
Methanothermus_fervidus_DSM_2088-contig1_1269	TIGR00468,5.3e-125,413.1
Methanothermus_fervidus_DSM_2088-contig1_649	TIGR00483,2.5e-232,767.0
Methanothermus_fervidus_DSM_2088-contig1_452	TIGR00491,1e-269,892.2
Methanothermus_fervidus_DSM_2088-contig1_705	TIGR00522,1.5e-105,348.4
Methanothermus_fervidus_DSM_2088-contig1_1018	TIGR00755,2.9e-80,265.5
Methanothermus_fervidus_DSM_2088-contig1_581	TIGR00928,1.8e-180,596.6
Methanothermus_fervidus_DSM_2088-contig1_881	TIGR00967,8e-90,297.9
Methanothermus_fervidus_DSM_2088-contig1_652	TIGR00982,3.5e-84,275.7
Methanothermus_fervidus_DSM_2088-contig1_863	TIGR01008,1.6e-92,304.9
Methanothermus_fervidus_DSM_2088-contig1_898	TIGR01012,1.1e-94,311.7
Methanothermus_fervidus_DSM_2088-contig1_889	TIGR01018,2.9e-75,247.9
Methanothermus_fervidus_DSM_2088-contig1_878	TIGR01020,2.8e-108,356.4
Methanothermus_fervidus_DSM_2088-contig1_651	TIGR01028,2.6e-93,307.1
Methanothermus_fervidus_DSM_2088-contig1_648	TIGR01046,6e-51,167.2
Methanothermus_fervidus_DSM_2088-contig1_294	TIGR01052,7.9e-223,736.4
Methanothermus_fervidus_DSM_2088-contig1_860	TIGR01171,7.5e-54,179.2
Methanothermus_fervidus_DSM_2088-contig1_1014	TIGR01213,6.2e-141,465.8
Methanothermus_fervidus_DSM_2088-contig1_196	TIGR01302,3.3e-182,602.6
Methanothermus_fervidus_DSM_2088-contig1_653	TIGR01952,5.8e-50,165.5
Methanothermus_fervidus_DSM_2088-contig1_184	TIGR02236,2.6e-159,525.8
Methanothermus_fervidus_DSM_2088-contig1_836	TIGR02338,1.6e-41,137.0
Methanothermus_fervidus_DSM_2088-contig1_655	TIGR02389,4.5e-161,532.1
Methanothermus_fervidus_DSM_2088-contig1_656	TIGR02390,0.0,1474.8
Methanothermus_fervidus_DSM_2088-contig1_440	TIGR02397,5.7e-48,160.2
Methanothermus_fervidus_DSM_2088-contig1_857	TIGR03626,5.2e-155,511.5
Methanothermus_fervidus_DSM_2088-contig1_894	TIGR03627,6.9e-66,216.7
Methanothermus_fervidus_DSM_2088-contig1_890	TIGR03628,3.5e-65,214.0
Methanothermus_fervidus_DSM_2088-contig1_888	TIGR03629,4.7e-63,208.0
Methanothermus_fervidus_DSM_2088-contig1_657	TIGR03670,0.0,1066.6
Methanothermus_fervidus_DSM_2088-contig1_608	TIGR03671,1.5e-152,504.4
Methanothermus_fervidus_DSM_2088-contig1_858	TIGR03672,1.6e-115,381.0
Methanothermus_fervidus_DSM_2088-contig1_868	TIGR03673,1.9e-66,218.1
Methanothermus_fervidus_DSM_2088-contig1_975	TIGR03674,2.1e-141,467.1
Methanothermus_fervidus_DSM_2088-contig1_916	TIGR03676,2.9e-174,575.8
Methanothermus_fervidus_DSM_2088-contig1_450	TIGR03680,2e-212,701.9
