Gene Id	Top hits (Family id,e-value,bitscore)
Pyrobaculum_arsenaticum_DSM_13514-contig1_1852	TIGR00037,3e-42,140.7
Pyrobaculum_arsenaticum_DSM_13514-contig1_1697	TIGR00064,1e-86,287.8
Pyrobaculum_arsenaticum_DSM_13514-contig1_1469	TIGR00134,1.9e-191,634.6
Pyrobaculum_arsenaticum_DSM_13514-contig1_2343	TIGR00279,7.2e-60,198.7
Pyrobaculum_arsenaticum_DSM_13514-contig1_2041	TIGR00291,2e-70,234.0
Pyrobaculum_arsenaticum_DSM_13514-contig1_1700	TIGR00323,3.2e-54,180.7
Pyrobaculum_arsenaticum_DSM_13514-contig1_1889	TIGR00335,1.3e-55,186.2
Pyrobaculum_arsenaticum_DSM_13514-contig1_2062	TIGR00337,4.7e-224,741.9
Pyrobaculum_arsenaticum_DSM_13514-contig1_2345	TIGR00344,3.1e-197,654.7
Pyrobaculum_arsenaticum_DSM_13514-contig1_37	TIGR00373,1.4e-20,70.6
Pyrobaculum_arsenaticum_DSM_13514-contig1_2100	TIGR00392,2.9e-260,863.2
Pyrobaculum_arsenaticum_DSM_13514-contig1_1405	TIGR00398,1.1e-150,500.0
Pyrobaculum_arsenaticum_DSM_13514-contig1_1695	TIGR00405,2.6e-27,92.7
Pyrobaculum_arsenaticum_DSM_13514-contig1_1761	TIGR00414,1.1e-132,440.2
Pyrobaculum_arsenaticum_DSM_13514-contig1_90	TIGR00431,3.5e-34,115.5
Pyrobaculum_arsenaticum_DSM_13514-contig1_66	TIGR00435,1.4e-139,463.3
Pyrobaculum_arsenaticum_DSM_13514-contig1_699	TIGR00442,3.7e-115,382.3
Pyrobaculum_arsenaticum_DSM_13514-contig1_2348	TIGR00448,7.7e-48,159.6
Pyrobaculum_arsenaticum_DSM_13514-contig1_1858	TIGR00456,3.5e-108,359.5
Pyrobaculum_arsenaticum_DSM_13514-contig1_421	TIGR00468,5.3e-91,302.3
Pyrobaculum_arsenaticum_DSM_13514-contig1_1451	TIGR00483,9.6e-190,627.6
Pyrobaculum_arsenaticum_DSM_13514-contig1_668	TIGR00491,3.4e-209,693.2
Pyrobaculum_arsenaticum_DSM_13514-contig1_237	TIGR00522,9.7e-37,123.8
Pyrobaculum_arsenaticum_DSM_13514-contig1_1472	TIGR00755,6e-65,216.2
Pyrobaculum_arsenaticum_DSM_13514-contig1_164	TIGR00928,3.7e-106,352.6
Pyrobaculum_arsenaticum_DSM_13514-contig1_2444	TIGR00982,5.1e-73,240.5
Pyrobaculum_arsenaticum_DSM_13514-contig1_818	TIGR01008,4.9e-57,190.0
Pyrobaculum_arsenaticum_DSM_13514-contig1_62	TIGR01012,2.4e-80,265.8
Pyrobaculum_arsenaticum_DSM_13514-contig1_1996	TIGR01018,7.7e-52,172.6
Pyrobaculum_arsenaticum_DSM_13514-contig1_326	TIGR01020,1.8e-96,318.8
Pyrobaculum_arsenaticum_DSM_13514-contig1_1	TIGR01028,3.7e-82,271.6
Pyrobaculum_arsenaticum_DSM_13514-contig1_1044	TIGR01046,2.9e-39,130.6
Pyrobaculum_arsenaticum_DSM_13514-contig1_2034	TIGR01052,4.5e-144,477.6
Pyrobaculum_arsenaticum_DSM_13514-contig1_1873	TIGR01213,3.2e-96,319.6
Pyrobaculum_arsenaticum_DSM_13514-contig1_2443	TIGR01952,5.8e-46,153.5
Pyrobaculum_arsenaticum_DSM_13514-contig1_2428	TIGR02236,1.3e-154,511.2
Pyrobaculum_arsenaticum_DSM_13514-contig1_2048	TIGR02338,2.9e-40,133.9
Pyrobaculum_arsenaticum_DSM_13514-contig1_2441	TIGR02389,1.2e-156,518.5
Pyrobaculum_arsenaticum_DSM_13514-contig1_2440	TIGR02390,0.0,1443.4
Pyrobaculum_arsenaticum_DSM_13514-contig1_2154	TIGR03626,6.6e-138,456.2
Pyrobaculum_arsenaticum_DSM_13514-contig1_2448	TIGR03627,6.7e-60,198.2
Pyrobaculum_arsenaticum_DSM_13514-contig1_1748	TIGR03628,1.4e-62,206.6
Pyrobaculum_arsenaticum_DSM_13514-contig1_1997	TIGR03629,2e-59,197.1
Pyrobaculum_arsenaticum_DSM_13514-contig1_2439	TIGR03670,6.4e-303,1002.6
Pyrobaculum_arsenaticum_DSM_13514-contig1_1841	TIGR03671,6.7e-137,453.7
Pyrobaculum_arsenaticum_DSM_13514-contig1_2155	TIGR03672,1e-103,343.3
Pyrobaculum_arsenaticum_DSM_13514-contig1_1776	TIGR03673,4.2e-61,201.7
Pyrobaculum_arsenaticum_DSM_13514-contig1_2466	TIGR03674,1.6e-142,471.7
Pyrobaculum_arsenaticum_DSM_13514-contig1_1043	TIGR03676,9.4e-132,436.7
Pyrobaculum_arsenaticum_DSM_13514-contig1_1245	TIGR03680,4.9e-178,589.6
