Gene Id	Top hits (Family id,e-value,bitscore)
Aigarchaeota_archaeon_JGI_0000106_J15-contig13_16	TIGR00065,4.5e-108,357.7
Aigarchaeota_archaeon_JGI_0000106_J15-contig4_65	TIGR00134,3.3e-220,728.4
Aigarchaeota_archaeon_JGI_0000106_J15-contig17_49	TIGR00323,1.1e-66,220.3
Aigarchaeota_archaeon_JGI_0000106_J15-contig13_20	TIGR00335,1.5e-49,165.2
Aigarchaeota_archaeon_JGI_0000106_J15-contig15_3	TIGR00337,1.9e-203,672.8
Aigarchaeota_archaeon_JGI_0000106_J15-contig15_24	TIGR00344,4e-195,646.6
Aigarchaeota_archaeon_JGI_0000106_J15-contig13_17	TIGR00398,5.9e-147,486.5
Aigarchaeota_archaeon_JGI_0000106_J15-contig15_31	TIGR00405,1.9e-31,105.1
Aigarchaeota_archaeon_JGI_0000106_J15-contig16_31	TIGR00431,4.9e-36,120.4
Aigarchaeota_archaeon_JGI_0000106_J15-contig26_27	TIGR00448,1.7e-52,173.6
Aigarchaeota_archaeon_JGI_0000106_J15-contig30_14	TIGR00456,1.4e-94,313.4
Aigarchaeota_archaeon_JGI_0000106_J15-contig13_68	TIGR00468,2.2e-117,387.9
Aigarchaeota_archaeon_JGI_0000106_J15-contig4_7	TIGR00491,4.3e-227,751.2
Aigarchaeota_archaeon_JGI_0000106_J15-contig16_26	TIGR00967,2.2e-78,260.0
Aigarchaeota_archaeon_JGI_0000106_J15-contig12_110	TIGR01012,1.5e-67,223.0
Aigarchaeota_archaeon_JGI_0000106_J15-contig6_14	TIGR01018,3.7e-61,201.8
Aigarchaeota_archaeon_JGI_0000106_J15-contig16_2	TIGR01020,2.8e-92,303.9
Aigarchaeota_archaeon_JGI_0000106_J15-contig32_14	TIGR01052,2.6e-153,506.9
Aigarchaeota_archaeon_JGI_0000106_J15-contig4_49	TIGR01213,2.4e-127,420.9
Aigarchaeota_archaeon_JGI_0000106_J15-contig20_18	TIGR01302,5e-168,555.6
Aigarchaeota_archaeon_JGI_0000106_J15-contig6_40	TIGR02397,7.5e-48,159.5
Aigarchaeota_archaeon_JGI_0000106_J15-contig12_67	TIGR03626,4.2e-106,350.5
Aigarchaeota_archaeon_JGI_0000106_J15-contig28_4	TIGR03671,2.5e-124,411.2
Aigarchaeota_archaeon_JGI_0000106_J15-contig12_66	TIGR03672,1.7e-91,302.1
Aigarchaeota_archaeon_JGI_0000106_J15-contig15_37	TIGR03674,7.4e-140,461.8
Aigarchaeota_archaeon_JGI_0000106_J15-contig6_8	TIGR03680,2.2e-167,553.3
