Gene Id	Top hits (Family id,e-value,bitscore)
Nitrosotalea_devanaterra_Nd1-contig1_105	PF07541.13,1.4e-23,80.2
Nitrosotalea_devanaterra_Nd1-contig1_1580	PF00827.18,9.5e-49,162.6
Nitrosotalea_devanaterra_Nd1-contig1_1636	PF04919.13,4.5e-53,176.8
Nitrosotalea_devanaterra_Nd1-contig1_1770	PF01015.19,5.8e-63,208.9
Nitrosotalea_devanaterra_Nd1-contig1_1843	PF01200.19,5.8e-31,103.3
Nitrosotalea_devanaterra_Nd1-contig1_1878	PF01025.20,1.4e-36,122.6
Nitrosotalea_devanaterra_Nd1-contig1_1945	PF01090.20,3.7e-47,156.4
Nitrosotalea_devanaterra_Nd1-contig1_323	PF00466.21,2.6e-18,63.0
Nitrosotalea_devanaterra_Nd1-contig1_324	PF00687.22,3.6e-41,138.1
Nitrosotalea_devanaterra_Nd1-contig1_334	PF01280.21,1.8e-40,135.2
Nitrosotalea_devanaterra_Nd1-contig1_376	PF00380.20,5.9e-30,101.3
Nitrosotalea_devanaterra_Nd1-contig1_379	PF01000.27,9.8e-23,77.7
Nitrosotalea_devanaterra_Nd1-contig1_929	PF00900.21,4.6e-18,61.9
Nitrosotalea_devanaterra_Nd1-contig1_932	PF00410.20,1.7e-23,79.9
