Gene Id	Top hits (Family id,e-value,bitscore)
SMM_01-contig993_1	TIGR00054,1.7e-69,233.0
SMM_01-contig554_1	TIGR00064,1.2e-89,298.5
SMM_01-contig406_2	TIGR00088,3.3e-85,283.3
SMM_01-contig1799_1	TIGR00092,1.7e-93,311.9
SMM_01-contig1131_1	TIGR00095,3e-42,142.7
SMM_01-contig1056_2	TIGR00095,6e-28,96.1
SMM_01-contig2096_1	TIGR00115,7e-62,207.8
SMM_01-contig2497_2	TIGR00116,3.8e-65,218.2
SMM_01-contig759_1	TIGR00134,1.1e-130,435.1
SMM_01-contig1172_2	TIGR00138,4.2e-43,145.4
SMM_01-contig1314_1	TIGR00138,1.5e-33,114.3
SMM_01-contig2449_3	TIGR00166,1.8e-22,77.7
SMM_01-contig1039_2	TIGR00168,2.8e-38,129.4
SMM_01-contig1560_1	TIGR00291,8.8e-34,115.2
SMM_01-contig1889_2	TIGR00323,2e-53,179.2
SMM_01-contig574_2	TIGR00335,1.1e-24,85.7
SMM_01-contig1018_1	TIGR00337,2.8e-165,549.1
SMM_01-contig2530_2	TIGR00373,5.5e-39,131.5
SMM_01-contig2361_1	TIGR00373,1.2e-27,94.6
SMM_01-contig542_1	TIGR00396,4.1e-170,566.0
SMM_01-contig262_1	TIGR00396,2.8e-166,553.3
SMM_01-contig916_1	TIGR00396,3.3e-150,500.1
SMM_01-contig1896_1	TIGR00396,3e-135,450.6
SMM_01-contig922_1	TIGR00398,9.1e-89,296.8
SMM_01-contig1279_3	TIGR00405,6.4e-37,125.0
SMM_01-contig78_2	TIGR00414,1.5e-143,477.0
SMM_01-contig1477_2	TIGR00431,1.1e-38,131.4
SMM_01-contig2020_1	TIGR00435,5.5e-127,422.9
SMM_01-contig2065_1	TIGR00435,3e-126,420.5
SMM_01-contig226_2	TIGR00435,6.4e-83,277.6
SMM_01-contig2372_2	TIGR00436,3.3e-80,267.6
SMM_01-contig565_2	TIGR00442,1.3e-128,427.7
SMM_01-contig2251_2	TIGR00448,1.1e-52,176.5
SMM_01-contig2651_1	TIGR00456,1.8e-86,289.0
SMM_01-contig1857_1	TIGR00468,1.3e-79,266.0
SMM_01-contig2357_1	TIGR00631,7.4e-184,610.9
SMM_01-contig2255_1	TIGR00631,8.5e-182,604.0
SMM_01-contig1433_1	TIGR00635,6.3e-118,391.5
SMM_01-contig1432_1	TIGR00928,7.6e-100,332.9
SMM_01-contig460_1	TIGR00982,1.8e-67,223.6
SMM_01-contig1919_2	TIGR01009,1.7e-86,287.6
SMM_01-contig1751_1	TIGR01009,1.1e-49,167.3
SMM_01-contig2497_1	TIGR01011,2.4e-21,74.3
SMM_01-contig2343_2	TIGR01018,4.2e-60,200.6
SMM_01-contig460_2	TIGR01028,5.8e-65,216.7
SMM_01-contig2585_1	TIGR01039,3.1e-134,446.5
SMM_01-contig1751_2	TIGR01044,5.1e-40,134.2
SMM_01-contig1919_1	TIGR01044,2.8e-38,128.6
SMM_01-contig927_1	TIGR01052,4.8e-77,257.7
SMM_01-contig986_2	TIGR01052,1.1e-76,256.5
SMM_01-contig713_1	TIGR01052,9.6e-65,217.1
SMM_01-contig2638_2	TIGR01066,4.2e-54,180.5
SMM_01-contig2388_1	TIGR01128,9.2e-48,161.4
SMM_01-contig1064_1	TIGR01128,3.3e-27,93.9
SMM_01-contig1919_3	TIGR01164,1.1e-18,65.8
SMM_01-contig1998_1	TIGR01391,8.1e-51,171.4
SMM_01-contig921_1	TIGR02012,4.9e-37,126.2
SMM_01-contig406_1	TIGR02273,3.5e-33,112.6
SMM_01-contig1555_2	TIGR02338,2.1e-27,93.6
SMM_01-contig1743_1	TIGR02432,1.3e-53,180.1
SMM_01-contig245_1	TIGR02432,5.1e-44,148.7
SMM_01-contig1366_1	TIGR03632,4.6e-60,199.5
SMM_01-contig2447_1	TIGR03671,1.3e-65,220.1
SMM_01-contig1060_2	TIGR03672,2.9e-79,264.3
SMM_01-contig2184_1	TIGR03676,1.7e-66,223.0
SMM_01-contig1933_1	TIGR03680,6.4e-166,550.8
SMM_01-contig858_2	TIGR03680,2.8e-156,519.1
