Gene Id	Top hits (Family id,e-value,bitscore)
Ferroplasma_acidarmanus_fer1-contig1_1024	PF04919.13,2.5e-66,219.9
Ferroplasma_acidarmanus_fer1-contig1_1049	PF01090.20,7.8e-50,165.0
Ferroplasma_acidarmanus_fer1-contig1_1145	PF00900.21,3.6e-17,58.9
Ferroplasma_acidarmanus_fer1-contig1_1147	PF00410.20,3.4e-25,85.3
Ferroplasma_acidarmanus_fer1-contig1_1150	PF01280.21,1.6e-46,154.8
Ferroplasma_acidarmanus_fer1-contig1_1255	PF01000.27,8.7e-21,71.3
Ferroplasma_acidarmanus_fer1-contig1_1452	PF01015.19,2.3e-51,171.0
Ferroplasma_acidarmanus_fer1-contig1_1499	PF00827.18,1.3e-76,253.4
Ferroplasma_acidarmanus_fer1-contig1_1552	PF01025.20,6.7e-31,104.1
Ferroplasma_acidarmanus_fer1-contig1_1611	PF01200.19,8.7e-32,105.8
Ferroplasma_acidarmanus_fer1-contig1_698	PF00380.20,1.5e-32,109.5
Ferroplasma_acidarmanus_fer1-contig1_718	PF00466.21,1.4e-18,63.8
Ferroplasma_acidarmanus_fer1-contig1_719	PF00687.22,2.6e-41,138.4
Ferroplasma_acidarmanus_fer1-contig1_760	PF07541.13,3.5e-21,72.3
