Gene Id	Top hits (Family id,e-value,bitscore)
Nitrosocosmicus_hydrocola_strain_G61-contig1_1275	PF01280.21,4.2e-40,134.7
Nitrosocosmicus_hydrocola_strain_G61-contig1_1985	PF00687.22,2e-38,129.7
Nitrosocosmicus_hydrocola_strain_G61-contig1_1986	PF00466.21,1.3e-20,71.0
Nitrosocosmicus_hydrocola_strain_G61-contig1_2075	PF00410.20,1.2e-24,84.2
Nitrosocosmicus_hydrocola_strain_G61-contig1_2078	PF00900.21,5.9e-15,52.5
Nitrosocosmicus_hydrocola_strain_G61-contig1_2390	PF01015.19,5.4e-60,199.8
Nitrosocosmicus_hydrocola_strain_G61-contig1_2422	PF07541.13,9.9e-21,71.6
Nitrosocosmicus_hydrocola_strain_G61-contig1_2649	PF00827.18,2.8e-52,174.8
Nitrosocosmicus_hydrocola_strain_G61-contig1_2754	PF04919.13,3.3e-51,171.4
Nitrosocosmicus_hydrocola_strain_G61-contig1_3099	PF01200.19,8.8e-33,109.7
Nitrosocosmicus_hydrocola_strain_G61-contig1_447	PF01025.20,6.1e-32,108.1
Nitrosocosmicus_hydrocola_strain_G61-contig1_66	PF01000.27,3.6e-27,92.5
Nitrosocosmicus_hydrocola_strain_G61-contig1_69	PF00380.20,7.3e-30,101.6
Nitrosocosmicus_hydrocola_strain_G61-contig1_992	PF01090.20,8.5e-54,178.5
