Gene Id	Top hits (Family id,e-value,bitscore)
Aigarchaeota_archaeon_strain_OS1-contig14_13	PF01200.19,4.2e-28,93.6
Aigarchaeota_archaeon_strain_OS1-contig28_5	PF01015.19,6.2e-55,182.2
Aigarchaeota_archaeon_strain_OS1-contig37_2	PF01000.27,1.5e-24,83.0
Aigarchaeota_archaeon_strain_OS1-contig49_4	PF01280.21,1.9e-20,69.8
Aigarchaeota_archaeon_strain_OS1-contig61_4	PF00380.20,4.9e-22,75.2
Aigarchaeota_archaeon_strain_OS1-contig7_37	PF01025.20,1.1e-29,99.6
Aigarchaeota_archaeon_strain_OS1-contig82_5	PF01090.20,4.6e-51,168.6
Aigarchaeota_archaeon_strain_OS1-contig8_22	PF04919.13,6.2e-53,175.9
Aigarchaeota_archaeon_strain_OS1-contig8_26	PF00410.20,4.5e-23,78.0
Aigarchaeota_archaeon_strain_OS1-contig9_25	PF00687.22,5.6e-41,137.0
