Gene Id	Top hits (Family id,e-value,bitscore)
Pyrococcus_yayanosii_CH1-contig1_975	TIGR00037,3.5e-49,162.7
Pyrococcus_yayanosii_CH1-contig1_1521	TIGR00054,1.3e-20,70.4
Pyrococcus_yayanosii_CH1-contig1_497	TIGR00064,4e-111,367.5
Pyrococcus_yayanosii_CH1-contig1_1772	TIGR00065,5.5e-139,460.1
Pyrococcus_yayanosii_CH1-contig1_275	TIGR00065,3.3e-108,358.9
Pyrococcus_yayanosii_CH1-contig1_292	TIGR00111,2.4e-106,352.7
Pyrococcus_yayanosii_CH1-contig1_1125	TIGR00134,7.6e-244,807.3
Pyrococcus_yayanosii_CH1-contig1_943	TIGR00279,1.1e-63,210.8
Pyrococcus_yayanosii_CH1-contig1_365	TIGR00291,4.5e-93,307.6
Pyrococcus_yayanosii_CH1-contig1_1863	TIGR00323,4.9e-67,222.2
Pyrococcus_yayanosii_CH1-contig1_1608	TIGR00335,6e-54,180.3
Pyrococcus_yayanosii_CH1-contig1_120	TIGR00337,3.8e-254,840.8
Pyrococcus_yayanosii_CH1-contig1_1331	TIGR00344,1.9e-236,784.0
Pyrococcus_yayanosii_CH1-contig1_1190	TIGR00373,2.1e-50,167.1
Pyrococcus_yayanosii_CH1-contig1_539	TIGR00392,0.0,1044.6
Pyrococcus_yayanosii_CH1-contig1_1020	TIGR00398,8.7e-177,585.7
Pyrococcus_yayanosii_CH1-contig1_1774	TIGR00405,1.1e-53,177.9
Pyrococcus_yayanosii_CH1-contig1_921	TIGR00414,2e-164,544.3
Pyrococcus_yayanosii_CH1-contig1_232	TIGR00431,2.5e-35,118.8
Pyrococcus_yayanosii_CH1-contig1_1016	TIGR00435,2.5e-181,600.5
Pyrococcus_yayanosii_CH1-contig1_1327	TIGR00442,6.6e-127,420.6
Pyrococcus_yayanosii_CH1-contig1_1302	TIGR00448,1e-64,214.2
Pyrococcus_yayanosii_CH1-contig1_291	TIGR00456,1.8e-145,482.2
Pyrococcus_yayanosii_CH1-contig1_996	TIGR00468,1.1e-92,307.5
Pyrococcus_yayanosii_CH1-contig1_304	TIGR00483,3.5e-212,701.1
Pyrococcus_yayanosii_CH1-contig1_322	TIGR00491,8.9e-243,803.8
Pyrococcus_yayanosii_CH1-contig1_727	TIGR00522,1.1e-101,336.3
Pyrococcus_yayanosii_CH1-contig1_92	TIGR00755,3e-79,262.7
Pyrococcus_yayanosii_CH1-contig1_1173	TIGR00928,8.2e-186,614.7
Pyrococcus_yayanosii_CH1-contig1_158	TIGR00967,2e-91,303.6
Pyrococcus_yayanosii_CH1-contig1_376	TIGR00982,7e-84,275.3
Pyrococcus_yayanosii_CH1-contig1_140	TIGR01008,4.8e-95,313.6
Pyrococcus_yayanosii_CH1-contig1_245	TIGR01012,4.6e-102,336.3
Pyrococcus_yayanosii_CH1-contig1_236	TIGR01018,1.2e-77,256.2
Pyrococcus_yayanosii_CH1-contig1_155	TIGR01020,2.5e-108,357.1
Pyrococcus_yayanosii_CH1-contig1_377	TIGR01028,2.1e-94,311.2
Pyrococcus_yayanosii_CH1-contig1_303	TIGR01046,3.2e-53,175.0
Pyrococcus_yayanosii_CH1-contig1_330	TIGR01052,4.1e-239,790.7
Pyrococcus_yayanosii_CH1-contig1_384	TIGR01213,5.8e-151,499.4
Pyrococcus_yayanosii_CH1-contig1_1346	TIGR01302,1.8e-192,636.9
Pyrococcus_yayanosii_CH1-contig1_375	TIGR01952,4e-59,195.7
Pyrococcus_yayanosii_CH1-contig1_1682	TIGR02236,1.5e-156,517.2
Pyrococcus_yayanosii_CH1-contig1_1798	TIGR02338,1.6e-40,134.3
Pyrococcus_yayanosii_CH1-contig1_373	TIGR02389,3.3e-154,510.1
Pyrococcus_yayanosii_CH1-contig1_372	TIGR02390,0.0,1442.1
Pyrococcus_yayanosii_CH1-contig1_1589	TIGR02397,1.6e-48,162.5
Pyrococcus_yayanosii_CH1-contig1_134	TIGR03626,1e-126,419.0
Pyrococcus_yayanosii_CH1-contig1_241	TIGR03627,2.4e-62,205.8
Pyrococcus_yayanosii_CH1-contig1_237	TIGR03628,5.3e-68,223.6
Pyrococcus_yayanosii_CH1-contig1_235	TIGR03629,6e-65,214.6
Pyrococcus_yayanosii_CH1-contig1_371	TIGR03670,0.0,1070.4
Pyrococcus_yayanosii_CH1-contig1_1429	TIGR03671,2.2e-132,438.5
Pyrococcus_yayanosii_CH1-contig1_135	TIGR03672,3.8e-118,390.2
Pyrococcus_yayanosii_CH1-contig1_145	TIGR03673,2.7e-62,205.2
Pyrococcus_yayanosii_CH1-contig1_295	TIGR03674,1.5e-155,514.1
Pyrococcus_yayanosii_CH1-contig1_478	TIGR03676,5.1e-181,598.6
Pyrococcus_yayanosii_CH1-contig1_193	TIGR03680,4.4e-212,701.3
