Gene Id	Top hits (Family id,e-value,bitscore)
Halogeometricum_borinquense_DSM_11551-contig1_704	TIGR00037,1.6e-41,139.0
Halogeometricum_borinquense_DSM_11551-contig1_103	TIGR00064,2.1e-94,313.6
Halogeometricum_borinquense_DSM_11551-contig1_2464	TIGR00065,2.6e-128,426.0
Halogeometricum_borinquense_DSM_11551-contig1_2586	TIGR00065,7.5e-121,401.5
Halogeometricum_borinquense_DSM_11551-contig1_1370	TIGR00111,2.6e-94,314.2
Halogeometricum_borinquense_DSM_11551-contig1_1404	TIGR00134,4.5e-242,802.5
Halogeometricum_borinquense_DSM_11551-contig1_233	TIGR00194,2.3e-137,456.9
Halogeometricum_borinquense_DSM_11551-contig1_2662	TIGR00279,1.4e-59,198.4
Halogeometricum_borinquense_DSM_11551-contig1_1864	TIGR00291,6.4e-85,282.0
Halogeometricum_borinquense_DSM_11551-contig1_106	TIGR00323,3.5e-62,207.4
Halogeometricum_borinquense_DSM_11551-contig1_1136	TIGR00335,6.6e-50,168.1
Halogeometricum_borinquense_DSM_11551-contig1_936	TIGR00337,6.8e-234,775.1
Halogeometricum_borinquense_DSM_11551-contig1_60	TIGR00344,9.7e-213,706.6
Halogeometricum_borinquense_DSM_11551-contig1_2038	TIGR00373,1.6e-40,136.0
Halogeometricum_borinquense_DSM_11551-contig1_1658	TIGR00392,7.8e-278,922.0
Halogeometricum_borinquense_DSM_11551-contig1_2373	TIGR00398,6.4e-149,494.8
Halogeometricum_borinquense_DSM_11551-contig1_2462	TIGR00405,4.7e-48,160.7
Halogeometricum_borinquense_DSM_11551-contig1_511	TIGR00414,1.2e-148,493.4
Halogeometricum_borinquense_DSM_11551-contig1_910	TIGR00431,7.8e-33,111.7
Halogeometricum_borinquense_DSM_11551-contig1_2087	TIGR00435,6.3e-132,438.7
Halogeometricum_borinquense_DSM_11551-contig1_449	TIGR00442,2.6e-109,363.6
Halogeometricum_borinquense_DSM_11551-contig1_496	TIGR00448,1.7e-58,195.0
Halogeometricum_borinquense_DSM_11551-contig1_2796	TIGR00456,2.1e-149,496.2
Halogeometricum_borinquense_DSM_11551-contig1_309	TIGR00468,1e-85,285.6
Halogeometricum_borinquense_DSM_11551-contig1_837	TIGR00483,1.2e-208,690.6
Halogeometricum_borinquense_DSM_11551-contig1_2762	TIGR00483,1e-206,684.2
Halogeometricum_borinquense_DSM_11551-contig1_550	TIGR00491,1.4e-224,744.8
Halogeometricum_borinquense_DSM_11551-contig1_2273	TIGR00522,8e-76,252.6
Halogeometricum_borinquense_DSM_11551-contig1_192	TIGR00631,4.9e-303,1004.2
Halogeometricum_borinquense_DSM_11551-contig1_1197	TIGR00755,1.6e-68,228.6
Halogeometricum_borinquense_DSM_11551-contig1_2240	TIGR00928,4.9e-99,329.8
Halogeometricum_borinquense_DSM_11551-contig1_1032	TIGR00967,1.6e-98,328.0
Halogeometricum_borinquense_DSM_11551-contig1_2768	TIGR00982,1.5e-70,233.2
Halogeometricum_borinquense_DSM_11551-contig1_1015	TIGR01008,7.4e-79,261.8
Halogeometricum_borinquense_DSM_11551-contig1_1229	TIGR01012,2.8e-78,259.7
Halogeometricum_borinquense_DSM_11551-contig1_1239	TIGR01018,4.8e-53,177.2
Halogeometricum_borinquense_DSM_11551-contig1_1029	TIGR01020,4.7e-79,262.5
Halogeometricum_borinquense_DSM_11551-contig1_2767	TIGR01028,1.5e-71,237.7
