Gene Id	Top hits (Family id,e-value,bitscore)
Haladaptatus_paucihalophilus_DX253-contig1_1373	PF01280.21,5.4e-58,193.1
Haladaptatus_paucihalophilus_DX253-contig1_1376	PF00410.20,5.3e-23,79.3
Haladaptatus_paucihalophilus_DX253-contig1_1379	PF00900.21,1.2e-22,77.6
Haladaptatus_paucihalophilus_DX253-contig1_1677	PF01090.20,1.1e-45,152.8
Haladaptatus_paucihalophilus_DX253-contig1_233	PF00687.22,1.8e-44,149.9
Haladaptatus_paucihalophilus_DX253-contig1_234	PF00466.21,3.2e-23,79.8
Haladaptatus_paucihalophilus_DX253-contig1_2813	PF00827.18,6e-84,278.5
Haladaptatus_paucihalophilus_DX253-contig1_313	PF01200.19,1.2e-29,100.1
Haladaptatus_paucihalophilus_DX253-contig1_330	PF04919.13,3.3e-64,214.2
Haladaptatus_paucihalophilus_DX253-contig1_36	PF07541.13,3.7e-27,92.7
Haladaptatus_paucihalophilus_DX253-contig1_393	PF00380.20,1.1e-34,117.5
Haladaptatus_paucihalophilus_DX253-contig1_396	PF01000.27,3.7e-20,70.4
Haladaptatus_paucihalophilus_DX253-contig1_791	PF01015.19,2.5e-63,211.2
Haladaptatus_paucihalophilus_DX253-contig1_85	PF01025.20,2.7e-41,139.0
