Gene Id	Top hits (Family id,e-value,bitscore)
Thaumarchaeota_ASW8_contig12_16	PF00466.21,5.4e-21,70.8
Thaumarchaeota_ASW8_contig12_17	PF00687.22,2.9e-41,137.6
Thaumarchaeota_ASW8_contig12_46	PF01280.21,2.3e-33,111.4
Thaumarchaeota_ASW8_contig18_1	PF01025.20,1.2e-37,125.2
Thaumarchaeota_ASW8_contig23_13	PF01000.27,3e-27,91.4
Thaumarchaeota_ASW8_contig23_16	PF00380.20,2.4e-32,108.1
Thaumarchaeota_ASW8_contig23_33	PF01200.19,3e-31,103.3
Thaumarchaeota_ASW8_contig30_9	PF07541.13,6.5e-21,70.7
Thaumarchaeota_ASW8_contig39_4	PF01090.20,6e-50,164.6
Thaumarchaeota_ASW8_contig51_4	PF00827.18,2.6e-54,179.9
Thaumarchaeota_ASW8_contig56_11	PF04919.13,1.2e-47,158.3
Thaumarchaeota_ASW8_contig66_10	PF00410.20,9.6e-24,79.9
Thaumarchaeota_ASW8_contig66_7	PF00900.21,1.7e-14,49.6
Thaumarchaeota_ASW8_contig76_2	PF01000.27,1.9e-17,59.8
