Gene Id	Top hits (Family id,e-value,bitscore)
Thermococcus_barophilus_MP-contig1_100	PF00900.21,3.7e-22,75.1
Thermococcus_barophilus_MP-contig1_103	PF00410.20,4.4e-30,101.3
Thermococcus_barophilus_MP-contig1_106	PF01280.21,1.1e-57,191.2
Thermococcus_barophilus_MP-contig1_1079	PF01090.20,6.7e-59,194.5
Thermococcus_barophilus_MP-contig1_1103	PF01200.19,5.6e-31,103.4
Thermococcus_barophilus_MP-contig1_126	PF01000.27,1.9e-30,102.6
Thermococcus_barophilus_MP-contig1_129	PF00380.20,3e-32,108.8
Thermococcus_barophilus_MP-contig1_147	PF00827.18,2.2e-92,305.1
Thermococcus_barophilus_MP-contig1_188	PF00687.22,2.5e-51,171.4
Thermococcus_barophilus_MP-contig1_189	PF00466.21,1.9e-22,76.4
Thermococcus_barophilus_MP-contig1_366	PF07541.13,4.5e-27,91.5
Thermococcus_barophilus_MP-contig1_382	PF04919.13,3.6e-70,232.6
Thermococcus_barophilus_MP-contig1_882	PF01015.19,1e-75,250.6
