Gene Id	Top hits (Family id,e-value,bitscore)
k141_630_length_3293_cov_10.0000_5	TIGR00037,1.1e-44,147.1
k141_665_length_1875_cov_6.0000_3	TIGR00291,1.4e-39,131.5
k141_768_length_14938_cov_11.0000_13	TIGR00335,1.4e-38,128.8
k141_637_length_6076_cov_10.9176_7	TIGR00337,1.2e-95,316.7
k141_103_length_2736_cov_9.0000_1	TIGR00344,2e-173,574.4
k141_78_length_2562_cov_9.0000_1	TIGR00373,5.9e-27,89.8
k141_733_length_2002_cov_7.0000_2	TIGR00405,1e-27,92.6
k141_286_length_10362_cov_12.0000_3	TIGR00414,8.3e-153,504.9
k141_317_length_1752_cov_10.0000_2	TIGR00431,7.5e-35,116.2
k141_610_length_6739_cov_11.2040_4	TIGR00435,1.7e-141,468.2
k141_761_length_4225_cov_9.0000_3	TIGR00442,2.2e-96,319.0
k141_618_length_4736_cov_9.0000_5	TIGR00456,2.7e-97,322.1
k141_315_length_5404_cov_10.0000_3	TIGR00491,1.7e-203,673.0
k141_278_length_2204_cov_6.0000_1	TIGR00522,8e-57,188.2
k141_636_length_1957_cov_9.0000_2	TIGR00928,8e-99,327.0
k141_741_length_3722_cov_9.0000_5	TIGR00982,1.6e-72,237.4
k141_624_length_3196_cov_7.0000_6	TIGR01008,2.3e-41,137.4
k141_603_length_3618_cov_11.0000_3	TIGR01012,3.6e-67,221.4
k141_189_length_4432_cov_10.0000_4	TIGR01018,9.7e-53,174.1
k141_290_length_2892_cov_9.0000_5	TIGR01020,3.2e-73,241.4
k141_741_length_3722_cov_9.0000_4	TIGR01028,3.9e-71,234.3
k141_366_length_1972_cov_10.0000_3	TIGR01046,2e-43,142.5
k141_205_length_6094_cov_9.0000_3	TIGR01052,4.9e-138,456.2
k141_401_length_2375_cov_10.0000_3	TIGR01213,1.6e-45,151.2
k141_677_length_5448_cov_9.0000_4	TIGR02236,1.6e-116,384.7
k141_430_length_13507_cov_10.9035_7	TIGR02236,1.8e-113,374.7
k141_739_length_1611_cov_6.0000_1	TIGR02338,1.8e-29,97.6
k141_678_length_4123_cov_10.0000_3	TIGR02350,2.1e-263,870.7
k141_189_length_4432_cov_10.0000_3	TIGR03628,1.3e-57,189.1
k141_602_length_3471_cov_9.0000_3	TIGR03671,7.1e-107,353.4
k141_624_length_3196_cov_7.0000_1	TIGR03672,6.6e-81,267.1
k141_259_length_3412_cov_6.0000_4	TIGR03674,8.4e-127,418.6
k141_155_length_2452_cov_12.0000_2	TIGR03676,1.9e-132,437.6
k141_315_length_5404_cov_10.0000_1	TIGR03680,1e-177,587.1
