Gene Id	Top hits (Family id,e-value,bitscore)
D111_44_reformat_contig121_4	PF04919.13,2.4e-51,171.4
D111_44_reformat_contig189_3	PF07541.13,3.3e-22,75.9
D111_44_reformat_contig20_5	PF01090.20,8.7e-49,161.9
D111_44_reformat_contig23_15	PF01025.20,6.9e-35,117.3
D111_44_reformat_contig3_14	PF00900.21,5.1e-18,61.9
D111_44_reformat_contig3_17	PF00410.20,2.5e-22,76.3
D111_44_reformat_contig42_3	PF00827.18,5.5e-45,150.5
D111_44_reformat_contig58_3	PF01015.19,1.1e-63,211.4
D111_44_reformat_contig60_14	PF01200.19,8.9e-30,99.6
D111_44_reformat_contig65_11	PF00687.22,5.6e-40,134.4
D111_44_reformat_contig65_12	PF00466.21,5.5e-21,71.7
D111_44_reformat_contig65_4	PF01280.21,4.6e-40,134.1
D111_44_reformat_contig89_12	PF00380.20,2.7e-33,112.2
D111_44_reformat_contig89_9	PF01000.27,6.1e-24,81.7
