Gene Id	Top hits (Family id,e-value,bitscore)
Unclassified_Aigarchaeota_JZ_bin_40-contig9_3	TIGR00037,1.9e-36,121.3
Unclassified_Aigarchaeota_JZ_bin_40-contig1_232	TIGR00064,3.3e-82,272.3
Unclassified_Aigarchaeota_JZ_bin_40-contig1_161	TIGR00065,1.1e-106,353.5
Unclassified_Aigarchaeota_JZ_bin_40-contig13_2	TIGR00134,1.8e-198,657.1
Unclassified_Aigarchaeota_JZ_bin_40-contig1_330	TIGR00279,1.8e-46,154.4
Unclassified_Aigarchaeota_JZ_bin_40-contig1_97	TIGR00291,5.7e-63,208.9
Unclassified_Aigarchaeota_JZ_bin_40-contig1_230	TIGR00323,1.3e-52,174.7
Unclassified_Aigarchaeota_JZ_bin_40-contig8_5	TIGR00335,8.9e-41,136.8
Unclassified_Aigarchaeota_JZ_bin_40-contig1_265	TIGR00337,7.1e-223,737.4
Unclassified_Aigarchaeota_JZ_bin_40-contig1_278	TIGR00344,1e-173,576.2
Unclassified_Aigarchaeota_JZ_bin_40-contig7_39	TIGR00373,7.6e-28,93.5
Unclassified_Aigarchaeota_JZ_bin_40-contig4_85	TIGR00392,1.4e-267,886.7
Unclassified_Aigarchaeota_JZ_bin_40-contig1_164	TIGR00398,9.7e-142,469.8
Unclassified_Aigarchaeota_JZ_bin_40-contig1_283	TIGR00405,6.4e-37,123.2
Unclassified_Aigarchaeota_JZ_bin_40-contig7_5	TIGR00414,4.1e-164,543.0
Unclassified_Aigarchaeota_JZ_bin_40-contig3_4	TIGR00435,6.1e-139,460.5
Unclassified_Aigarchaeota_JZ_bin_40-contig1_189	TIGR00442,5.2e-96,318.5
Unclassified_Aigarchaeota_JZ_bin_40-contig1_59	TIGR00448,1.1e-49,164.9
Unclassified_Aigarchaeota_JZ_bin_40-contig9_50	TIGR00456,4.8e-94,312.2
Unclassified_Aigarchaeota_JZ_bin_40-contig1_346	TIGR00468,8e-109,360.2
Unclassified_Aigarchaeota_JZ_bin_40-contig1_27	TIGR00483,5.7e-198,654.0
Unclassified_Aigarchaeota_JZ_bin_40-contig12_14	TIGR00491,5.4e-222,734.9
Unclassified_Aigarchaeota_JZ_bin_40-contig3_22	TIGR00522,4e-48,160.5
Unclassified_Aigarchaeota_JZ_bin_40-contig3_112	TIGR00755,2.3e-55,184.2
Unclassified_Aigarchaeota_JZ_bin_40-contig1_240	TIGR00967,1.4e-79,264.4
Unclassified_Aigarchaeota_JZ_bin_40-contig1_305	TIGR00982,8.4e-69,226.1
Unclassified_Aigarchaeota_JZ_bin_40-contig1_314	TIGR01008,5e-62,205.6
Unclassified_Aigarchaeota_JZ_bin_40-contig10_5	TIGR01012,1.9e-66,219.8
Unclassified_Aigarchaeota_JZ_bin_40-contig1_78	TIGR01018,2.1e-62,206.3
Unclassified_Aigarchaeota_JZ_bin_40-contig1_243	TIGR01020,3.2e-87,287.9
Unclassified_Aigarchaeota_JZ_bin_40-contig1_28	TIGR01028,1.3e-69,230.1
Unclassified_Aigarchaeota_JZ_bin_40-contig1_26	TIGR01046,2.7e-39,130.1
Unclassified_Aigarchaeota_JZ_bin_40-contig1_291	TIGR01052,6.6e-149,492.9
Unclassified_Aigarchaeota_JZ_bin_40-contig3_108	TIGR01213,1.9e-104,345.9
Unclassified_Aigarchaeota_JZ_bin_40-contig1_106	TIGR01302,5.8e-155,513.0
Unclassified_Aigarchaeota_JZ_bin_40-contig4_98	TIGR01952,3.2e-44,147.2
Unclassified_Aigarchaeota_JZ_bin_40-contig14_15	TIGR02236,1.1e-132,438.6
Unclassified_Aigarchaeota_JZ_bin_40-contig4_99	TIGR02236,4.8e-114,377.4
Unclassified_Aigarchaeota_JZ_bin_40-contig1_92	TIGR02338,2.8e-31,104.3
Unclassified_Aigarchaeota_JZ_bin_40-contig3_41	TIGR02350,9.6e-256,846.2
Unclassified_Aigarchaeota_JZ_bin_40-contig4_96	TIGR02390,0.0,1223.9
Unclassified_Aigarchaeota_JZ_bin_40-contig2_31	TIGR03629,2.2e-55,183.3
Unclassified_Aigarchaeota_JZ_bin_40-contig4_95	TIGR03670,1.7e-257,851.9
Unclassified_Aigarchaeota_JZ_bin_40-contig1_133	TIGR03671,1.2e-115,383.0
Unclassified_Aigarchaeota_JZ_bin_40-contig1_6	TIGR03672,2.4e-91,302.1
Unclassified_Aigarchaeota_JZ_bin_40-contig1_310	TIGR03673,2.5e-58,192.1
Unclassified_Aigarchaeota_JZ_bin_40-contig1_259	TIGR03674,1.3e-137,454.9
Unclassified_Aigarchaeota_JZ_bin_40-contig1_332	TIGR03676,5.8e-112,370.9
Unclassified_Aigarchaeota_JZ_bin_40-contig1_57	TIGR03680,2.8e-158,523.9
