Gene Id	Top hits (Family id,e-value,bitscore)
XS84_Bin1_contig14_4	TIGR00037,3.5e-44,146.2
XS84_Bin1_contig167_10	TIGR00064,1.5e-76,253.7
XS84_Bin1_contig153_9	TIGR00111,5.4e-52,173.6
XS84_Bin1_contig116_12	TIGR00134,3.9e-183,606.4
XS84_Bin1_contig129_2	TIGR00158,1.1e-43,145.7
XS84_Bin1_contig126_3	TIGR00279,1.6e-45,151.3
XS84_Bin1_contig29_1	TIGR00291,6.5e-41,136.6
XS84_Bin1_contig190_4	TIGR00335,8.8e-40,133.5
XS84_Bin1_contig117_19	TIGR00337,8.1e-99,328.0
XS84_Bin1_contig107_1	TIGR00344,2.3e-179,594.8
XS84_Bin1_contig39_4	TIGR00373,6.3e-31,103.5
XS84_Bin1_contig69_2	TIGR00398,5.3e-156,516.8
XS84_Bin1_contig167_5	TIGR00405,3.4e-36,120.8
XS84_Bin1_contig83_8	TIGR00414,3.9e-153,506.8
XS84_Bin1_contig213_4	TIGR00431,1.2e-34,116.2
XS84_Bin1_contig160_4	TIGR00435,3.9e-142,471.0
XS84_Bin1_contig121_4	TIGR00442,1.5e-96,320.3
XS84_Bin1_contig75_11	TIGR00448,2.2e-56,186.7
XS84_Bin1_contig95_2	TIGR00456,1.1e-97,324.2
XS84_Bin1_contig19_5	TIGR00468,8.6e-102,337.1
XS84_Bin1_contig75_7	TIGR00491,4.2e-203,672.4
XS84_Bin1_contig138_4	TIGR00522,4.7e-56,186.4
XS84_Bin1_contig168_2	TIGR00928,1.6e-105,349.8
XS84_Bin1_contig5_5	TIGR00982,2.7e-72,237.4
XS84_Bin1_contig23_9	TIGR01008,1.5e-60,200.8
XS84_Bin1_contig84_12	TIGR01012,2.1e-69,229.4
XS84_Bin1_contig84_4	TIGR01018,1.6e-52,174.1
XS84_Bin1_contig110_6	TIGR01020,5.8e-73,241.2
XS84_Bin1_contig5_4	TIGR01028,9.2e-71,233.8
XS84_Bin1_contig159_3	TIGR01046,3.4e-43,142.5
XS84_Bin1_contig174_10	TIGR01052,2e-137,454.9
XS84_Bin1_contig145_18	TIGR01213,3.9e-59,196.7
XS84_Bin1_contig35_11	TIGR01302,1.8e-164,544.2
XS84_Bin1_contig5_6	TIGR01952,8.6e-48,158.7
XS84_Bin1_contig3_8	TIGR02236,1.3e-117,389.0
XS84_Bin1_contig197_9	TIGR02236,6.2e-113,373.6
XS84_Bin1_contig29_7	TIGR02338,7.9e-29,96.3
XS84_Bin1_contig14_2	TIGR02350,4.2e-264,873.8
XS84_Bin1_contig5_8	TIGR02390,0.0,1050.6
XS84_Bin1_contig84_3	TIGR03628,2.2e-57,189.1
XS84_Bin1_contig229_3	TIGR03671,3.3e-106,351.9
XS84_Bin1_contig23_14	TIGR03672,5.8e-82,271.3
XS84_Bin1_contig3_4	TIGR03674,8.5e-128,422.6
XS84_Bin1_contig151_3	TIGR03676,1.8e-129,428.5
XS84_Bin1_contig75_9	TIGR03680,1.7e-177,587.1
