Gene Id	Top hits (Family id,e-value,bitscore)
Acidianus_hospitalis_W1-contig1_1475	TIGR00037,1.2e-43,145.2
Acidianus_hospitalis_W1-contig1_1340	TIGR00064,1.1e-111,369.6
Acidianus_hospitalis_W1-contig1_697	TIGR00111,4.4e-64,214.1
Acidianus_hospitalis_W1-contig1_1437	TIGR00134,6.7e-219,725.3
Acidianus_hospitalis_W1-contig1_1271	TIGR00279,1.4e-52,175.0
Acidianus_hospitalis_W1-contig1_859	TIGR00291,3.3e-73,243.0
Acidianus_hospitalis_W1-contig1_1337	TIGR00323,5.2e-58,193.0
Acidianus_hospitalis_W1-contig1_1296	TIGR00335,8e-44,147.5
Acidianus_hospitalis_W1-contig1_630	TIGR00337,3.5e-236,781.9
Acidianus_hospitalis_W1-contig1_1347	TIGR00344,1.1e-194,646.3
Acidianus_hospitalis_W1-contig1_839	TIGR00373,1.2e-47,158.5
Acidianus_hospitalis_W1-contig1_873	TIGR00392,1.2e-279,927.2
Acidianus_hospitalis_W1-contig1_1225	TIGR00398,1.4e-157,522.7
Acidianus_hospitalis_W1-contig1_1342	TIGR00405,4.1e-36,121.3
Acidianus_hospitalis_W1-contig1_1185	TIGR00414,1.4e-145,482.6
Acidianus_hospitalis_W1-contig1_521	TIGR00435,7.9e-152,503.6
Acidianus_hospitalis_W1-contig1_829	TIGR00442,9e-115,381.0
Acidianus_hospitalis_W1-contig1_738	TIGR00448,5.4e-55,182.9
Acidianus_hospitalis_W1-contig1_1430	TIGR00456,1.4e-110,367.4
Acidianus_hospitalis_W1-contig1_616	TIGR00468,5.4e-97,322.0
Acidianus_hospitalis_W1-contig1_769	TIGR00483,3.5e-200,662.0
Acidianus_hospitalis_W1-contig1_780	TIGR00491,1.8e-240,796.6
Acidianus_hospitalis_W1-contig1_1453	TIGR00522,8.4e-61,202.7
Acidianus_hospitalis_W1-contig1_791	TIGR00928,4.1e-140,464.5
Acidianus_hospitalis_W1-contig1_772	TIGR00982,1.6e-76,251.8
Acidianus_hospitalis_W1-contig1_881	TIGR01008,1.2e-71,237.6
Acidianus_hospitalis_W1-contig1_681	TIGR01012,5.4e-87,287.5
Acidianus_hospitalis_W1-contig1_688	TIGR01018,4e-67,222.3
Acidianus_hospitalis_W1-contig1_895	TIGR01020,4.2e-97,320.8
Acidianus_hospitalis_W1-contig1_770	TIGR01028,3.3e-84,278.3
Acidianus_hospitalis_W1-contig1_768	TIGR01046,6.2e-46,152.0
Acidianus_hospitalis_W1-contig1_1472	TIGR01052,1.1e-170,565.3
Acidianus_hospitalis_W1-contig1_1477	TIGR01213,2.8e-34,115.6
Acidianus_hospitalis_W1-contig1_773	TIGR01952,8.3e-54,178.9
Acidianus_hospitalis_W1-contig1_800	TIGR02236,1.9e-142,471.3
Acidianus_hospitalis_W1-contig1_866	TIGR02338,2.4e-37,124.4
Acidianus_hospitalis_W1-contig1_775	TIGR02389,2.7e-157,520.6
Acidianus_hospitalis_W1-contig1_776	TIGR02390,0.0,1481.5
Acidianus_hospitalis_W1-contig1_875	TIGR03626,6.4e-130,429.9
Acidianus_hospitalis_W1-contig1_683	TIGR03627,1.3e-54,181.1
Acidianus_hospitalis_W1-contig1_687	TIGR03628,9.2e-63,207.1
Acidianus_hospitalis_W1-contig1_689	TIGR03629,2.4e-60,200.1
Acidianus_hospitalis_W1-contig1_777	TIGR03670,0.0,1022.2
Acidianus_hospitalis_W1-contig1_1287	TIGR03671,3e-131,435.1
Acidianus_hospitalis_W1-contig1_876	TIGR03672,3.3e-104,344.9
Acidianus_hospitalis_W1-contig1_885	TIGR03673,4.3e-63,208.2
Acidianus_hospitalis_W1-contig1_653	TIGR03674,2.9e-139,461.0
Acidianus_hospitalis_W1-contig1_2263	TIGR03676,8e-134,443.5
Acidianus_hospitalis_W1-contig1_740	TIGR03680,5.7e-195,645.3
