Gene Id	Top hits (Family id,e-value,bitscore)
Nitrososphaera_gargensis_Ga9-contig1_2784	TIGR00037,8.8e-41,136.5
Nitrososphaera_gargensis_Ga9-contig1_2519	TIGR00064,1.9e-91,303.9
Nitrososphaera_gargensis_Ga9-contig1_3533	TIGR00065,2e-95,317.8
Nitrososphaera_gargensis_Ga9-contig1_3084	TIGR00065,4.2e-93,310.2
Nitrososphaera_gargensis_Ga9-contig1_1508	TIGR00111,1.3e-58,196.7
Nitrososphaera_gargensis_Ga9-contig1_762	TIGR00134,4.2e-194,644.0
Nitrososphaera_gargensis_Ga9-contig1_1281	TIGR00194,9e-128,425.1
Nitrososphaera_gargensis_Ga9-contig1_1930	TIGR00279,4.4e-47,157.7
Nitrososphaera_gargensis_Ga9-contig1_2473	TIGR00291,4.2e-65,217.1
Nitrososphaera_gargensis_Ga9-contig1_3529	TIGR00323,1.5e-50,169.2
Nitrososphaera_gargensis_Ga9-contig1_1676	TIGR00335,4.2e-38,129.3
Nitrososphaera_gargensis_Ga9-contig1_1721	TIGR00337,1.7e-227,753.9
Nitrososphaera_gargensis_Ga9-contig1_2526	TIGR00344,1.9e-167,556.7
Nitrososphaera_gargensis_Ga9-contig1_9	TIGR00373,2.1e-35,119.3
Nitrososphaera_gargensis_Ga9-contig1_580	TIGR00392,6.1e-191,634.4
Nitrososphaera_gargensis_Ga9-contig1_3376	TIGR00398,6.3e-150,498.1
Nitrososphaera_gargensis_Ga9-contig1_2395	TIGR00405,5.4e-34,115.0
Nitrososphaera_gargensis_Ga9-contig1_1842	TIGR00414,2.8e-160,531.6
Nitrososphaera_gargensis_Ga9-contig1_216	TIGR00431,7.2e-35,118.3
Nitrososphaera_gargensis_Ga9-contig1_3371	TIGR00435,3.5e-162,538.4
Nitrososphaera_gargensis_Ga9-contig1_1971	TIGR00435,8.6e-81,270.0
Nitrososphaera_gargensis_Ga9-contig1_2174	TIGR00442,1.8e-97,324.6
Nitrososphaera_gargensis_Ga9-contig1_1913	TIGR00448,4.9e-60,199.9
Nitrososphaera_gargensis_Ga9-contig1_564	TIGR00456,2.5e-122,406.8
Nitrososphaera_gargensis_Ga9-contig1_2441	TIGR00468,4.6e-103,342.6
Nitrososphaera_gargensis_Ga9-contig1_299	TIGR00483,1.5e-201,667.1
Nitrososphaera_gargensis_Ga9-contig1_2929	TIGR00491,2.5e-203,674.5
Nitrososphaera_gargensis_Ga9-contig1_1497	TIGR00522,1.1e-58,196.3
Nitrososphaera_gargensis_Ga9-contig1_1283	TIGR00631,2.4e-289,958.9
Nitrososphaera_gargensis_Ga9-contig1_460	TIGR00928,7.5e-134,444.5
Nitrososphaera_gargensis_Ga9-contig1_212	TIGR00967,2.6e-82,274.6
Nitrososphaera_gargensis_Ga9-contig1_167	TIGR00982,5.3e-72,237.8
Nitrososphaera_gargensis_Ga9-contig1_1798	TIGR01008,2.5e-64,214.4
Nitrososphaera_gargensis_Ga9-contig1_1125	TIGR01012,3.3e-71,236.6
Nitrososphaera_gargensis_Ga9-contig1_2272	TIGR01018,8.4e-54,179.6
Nitrososphaera_gargensis_Ga9-contig1_209	TIGR01020,3.1e-77,256.5
Nitrososphaera_gargensis_Ga9-contig1_168	TIGR01028,2.2e-69,230.6
Nitrososphaera_gargensis_Ga9-contig1_298	TIGR01046,6.5e-41,136.5
Nitrososphaera_gargensis_Ga9-contig1_3099	TIGR01052,1.5e-86,288.5
Nitrososphaera_gargensis_Ga9-contig1_2791	TIGR01213,2.7e-47,159.1
Nitrososphaera_gargensis_Ga9-contig1_3218	TIGR01302,4.1e-171,567.5
Nitrososphaera_gargensis_Ga9-contig1_166	TIGR01952,8.9e-48,159.9
Nitrososphaera_gargensis_Ga9-contig1_1735	TIGR02236,3e-117,389.1
Nitrososphaera_gargensis_Ga9-contig1_2615	TIGR02236,3.2e-112,372.6
Nitrososphaera_gargensis_Ga9-contig1_2466	TIGR02338,5.5e-31,104.5
Nitrososphaera_gargensis_Ga9-contig1_3158	TIGR02350,7.5e-253,838.0
Nitrososphaera_gargensis_Ga9-contig1_164	TIGR02390,0.0,1279.7
Nitrososphaera_gargensis_Ga9-contig1_1793	TIGR03626,1.1e-105,350.9
Nitrososphaera_gargensis_Ga9-contig1_466	TIGR03628,3.9e-56,186.3
Nitrososphaera_gargensis_Ga9-contig1_163	TIGR03670,3.1e-272,901.9
Nitrososphaera_gargensis_Ga9-contig1_654	TIGR03671,2.5e-112,373.4
Nitrososphaera_gargensis_Ga9-contig1_1794	TIGR03672,7.5e-79,262.4
Nitrososphaera_gargensis_Ga9-contig1_2170	TIGR03674,3.3e-129,428.5
Nitrososphaera_gargensis_Ga9-contig1_1753	TIGR03676,5.7e-140,464.4
Nitrososphaera_gargensis_Ga9-contig1_587	TIGR03680,2.6e-184,610.8
