Gene Id	Top hits (Family id,e-value,bitscore)
XS87_01-contig261_4	TIGR00037,1.5e-37,126.5
XS87_01-contig1785_1	TIGR00064,1.1e-106,354.4
XS87_01-contig871_2	TIGR00064,1.6e-89,298.1
XS87_01-contig695_1	TIGR00064,1.9e-81,271.6
XS87_01-contig497_2	TIGR00111,1.3e-54,184.1
XS87_01-contig629_1	TIGR00134,1.4e-190,632.8
XS87_01-contig940_2	TIGR00194,7e-144,478.8
XS87_01-contig756_1	TIGR00194,2.2e-116,388.1
XS87_01-contig338_1	TIGR00194,3.2e-96,321.5
XS87_01-contig460_2	TIGR00279,4e-53,177.9
XS87_01-contig450_4	TIGR00291,2.9e-64,214.9
XS87_01-contig33_2	TIGR00323,2.1e-56,188.9
XS87_01-contig218_1	TIGR00335,2.3e-36,124.1
XS87_01-contig817_1	TIGR00362,7.7e-56,188.2
XS87_01-contig255_1	TIGR00392,2.4e-184,613.1
XS87_01-contig235_3	TIGR00398,1.2e-153,510.9
XS87_01-contig391_2	TIGR00398,4.8e-107,357.1
XS87_01-contig1359_6	TIGR00405,5.7e-35,118.7
XS87_01-contig546_1	TIGR00414,5.3e-163,541.1
XS87_01-contig1679_2	TIGR00414,3.3e-107,357.3
XS87_01-contig25_2	TIGR00431,8.9e-34,115.3
XS87_01-contig826_3	TIGR00435,7.4e-150,498.3
XS87_01-contig1432_1	TIGR00435,1.4e-128,428.2
XS87_01-contig1986_2	TIGR00435,1.1e-89,299.8
XS87_01-contig33_3	TIGR00442,4.7e-97,323.7
XS87_01-contig652_2	TIGR00448,2.2e-53,178.8
XS87_01-contig1788_4	TIGR00460,1.2e-81,272.5
XS87_01-contig289_2	TIGR00468,4.7e-108,359.5
XS87_01-contig1533_1	TIGR00491,6.1e-157,521.8
XS87_01-contig352_1	TIGR00522,1e-55,187.1
XS87_01-contig780_2	TIGR00580,1.8e-211,703.2
XS87_01-contig666_1	TIGR00593,3.7e-230,765.0
XS87_01-contig1321_1	TIGR00631,5.2e-133,442.8
XS87_01-contig1552_2	TIGR00634,4.7e-149,496.1
XS87_01-contig817_2	TIGR00663,2.6e-66,222.3
XS87_01-contig333_4	TIGR00755,7.3e-52,174.4
XS87_01-contig508_3	TIGR00928,7.1e-170,563.7
XS87_01-contig1310_3	TIGR00928,4.3e-132,439.2
XS87_01-contig1687_1	TIGR00928,1.2e-116,388.3
XS87_01-contig81_1	TIGR01008,5.8e-59,197.4
XS87_01-contig446_2	TIGR01012,2.7e-69,230.9
XS87_01-contig1256_4	TIGR01020,1.6e-71,238.3
XS87_01-contig775_2	TIGR01029,6.5e-68,225.8
XS87_01-contig1038_1	TIGR01052,7.5e-70,233.9
XS87_01-contig1906_3	TIGR01052,3.3e-64,215.3
XS87_01-contig515_1	TIGR01052,1e-62,210.4
XS87_01-contig436_1	TIGR01052,7.9e-47,158.0
XS87_01-contig1944_1	TIGR01128,1.1e-60,203.8
XS87_01-contig191_2	TIGR01169,8.7e-96,317.9
XS87_01-contig741_4	TIGR01171,3.1e-69,231.6
XS87_01-contig399_5	TIGR01302,5e-157,521.6
XS87_01-contig508_1	TIGR01391,3.2e-37,126.6
XS87_01-contig339_3	TIGR01394,9.9e-242,801.6
XS87_01-contig191_1	TIGR01632,7.8e-44,147.3
XS87_01-contig1736_3	TIGR01951,9.3e-38,127.7
XS87_01-contig1771_3	TIGR01952,1.6e-47,159.6
XS87_01-contig1010_3	TIGR01952,5.5e-45,151.4
XS87_01-contig1130_2	TIGR02012,3.1e-161,534.3
XS87_01-contig993_1	TIGR02013,3.8e-286,950.5
XS87_01-contig646_4	TIGR02338,2.7e-30,102.8
XS87_01-contig523_1	TIGR02350,6.6e-197,653.7
XS87_01-contig341_2	TIGR02389,2e-126,420.1
XS87_01-contig1099_2	TIGR02397,4.7e-45,152.6
XS87_01-contig741_1	TIGR03625,8.4e-67,223.1
XS87_01-contig850_2	TIGR03626,8.1e-97,322.3
XS87_01-contig222_3	TIGR03671,5.7e-108,359.5
XS87_01-contig1830_1	TIGR03674,1.1e-129,430.6
XS87_01-contig603_2	TIGR03676,8.8e-128,424.8
XS87_01-contig1831_3	TIGR03676,2.9e-85,284.7
XS87_01-contig1515_1	TIGR03676,2.7e-50,169.6
XS87_01-contig459_1	TIGR03676,1.1e-47,161.0
XS87_01-contig56_2	TIGR03680,2.9e-175,581.6
XS87_01-contig741_2	TIGR03953,3.5e-70,233.4
