Gene Id	Top hits (Family id,e-value,bitscore)
Ferroplasma_acidarmanus_fer1-contig1_1201	TIGR00037,6.3e-46,152.2
Ferroplasma_acidarmanus_fer1-contig1_1388	TIGR00064,4.3e-96,318.2
Ferroplasma_acidarmanus_fer1-contig1_1260	TIGR00111,3.1e-51,171.5
Ferroplasma_acidarmanus_fer1-contig1_1639	TIGR00134,3.2e-136,451.8
Ferroplasma_acidarmanus_fer1-contig1_1203	TIGR00279,7.1e-60,198.4
Ferroplasma_acidarmanus_fer1-contig1_1016	TIGR00291,3.7e-78,258.9
Ferroplasma_acidarmanus_fer1-contig1_1053	TIGR00323,4.1e-55,183.2
Ferroplasma_acidarmanus_fer1-contig1_1570	TIGR00335,3e-53,178.1
Ferroplasma_acidarmanus_fer1-contig1_831	TIGR00337,1.3e-224,743.5
Ferroplasma_acidarmanus_fer1-contig1_736	TIGR00344,1e-158,526.9
Ferroplasma_acidarmanus_fer1-contig1_756	TIGR00392,2.5e-263,872.9
Ferroplasma_acidarmanus_fer1-contig1_874	TIGR00398,1.3e-156,519.2
Ferroplasma_acidarmanus_fer1-contig1_713	TIGR00405,6.1e-37,123.6
Ferroplasma_acidarmanus_fer1-contig1_1337	TIGR00414,1.2e-140,466.0
Ferroplasma_acidarmanus_fer1-contig1_1159	TIGR00431,1.9e-38,129.1
Ferroplasma_acidarmanus_fer1-contig1_1860	TIGR00435,2.2e-141,468.9
Ferroplasma_acidarmanus_fer1-contig1_884	TIGR00442,2e-103,343.3
Ferroplasma_acidarmanus_fer1-contig1_1479	TIGR00448,7.4e-47,156.0
Ferroplasma_acidarmanus_fer1-contig1_706	TIGR00456,4.2e-106,352.3
Ferroplasma_acidarmanus_fer1-contig1_1493	TIGR00468,4.3e-100,331.9
Ferroplasma_acidarmanus_fer1-contig1_753	TIGR00483,8.6e-205,676.8
Ferroplasma_acidarmanus_fer1-contig1_1614	TIGR00491,2.2e-169,561.5
Ferroplasma_acidarmanus_fer1-contig1_1338	TIGR00522,3.2e-59,197.2
Ferroplasma_acidarmanus_fer1-contig1_1025	TIGR00755,1.7e-60,201.2
Ferroplasma_acidarmanus_fer1-contig1_516	TIGR00928,8.4e-133,440.1
Ferroplasma_acidarmanus_fer1-contig1_1155	TIGR00967,9.7e-85,281.7
Ferroplasma_acidarmanus_fer1-contig1_1279	TIGR00982,3.8e-72,237.3
Ferroplasma_acidarmanus_fer1-contig1_1138	TIGR01008,1.2e-67,224.3
Ferroplasma_acidarmanus_fer1-contig1_889	TIGR01012,2.2e-81,268.8
Ferroplasma_acidarmanus_fer1-contig1_1253	TIGR01018,5.3e-60,198.8
Ferroplasma_acidarmanus_fer1-contig1_1152	TIGR01020,9.8e-88,289.9
Ferroplasma_acidarmanus_fer1-contig1_1278	TIGR01028,1.2e-72,240.3
Ferroplasma_acidarmanus_fer1-contig1_752	TIGR01046,5.9e-46,151.7
Ferroplasma_acidarmanus_fer1-contig1_1364	TIGR01059,3.5e-268,888.1
Ferroplasma_acidarmanus_fer1-contig1_1365	TIGR01063,1.6e-293,972.3
Ferroplasma_acidarmanus_fer1-contig1_1021	TIGR01213,8.4e-121,400.1
Ferroplasma_acidarmanus_fer1-contig1_899	TIGR01302,6e-188,622.0
Ferroplasma_acidarmanus_fer1-contig1_1174	TIGR01952,3.5e-23,79.3
Ferroplasma_acidarmanus_fer1-contig1_1572	TIGR02236,2.5e-149,493.5
Ferroplasma_acidarmanus_fer1-contig1_443	TIGR02338,3e-31,104.5
Ferroplasma_acidarmanus_fer1-contig1_1553	TIGR02350,1.4e-260,862.6
Ferroplasma_acidarmanus_fer1-contig1_1175	TIGR02389,1.5e-150,498.1
Ferroplasma_acidarmanus_fer1-contig1_1176	TIGR02390,0.0,1377.9
Ferroplasma_acidarmanus_fer1-contig1_1132	TIGR03626,2e-131,434.6
Ferroplasma_acidarmanus_fer1-contig1_698	TIGR03627,1.3e-58,193.7
Ferroplasma_acidarmanus_fer1-contig1_1254	TIGR03628,1.4e-58,193.3
Ferroplasma_acidarmanus_fer1-contig1_1252	TIGR03629,5.7e-54,179.1
Ferroplasma_acidarmanus_fer1-contig1_1177	TIGR03670,0.0,1011.3
Ferroplasma_acidarmanus_fer1-contig1_957	TIGR03671,3.2e-117,388.5
Ferroplasma_acidarmanus_fer1-contig1_1133	TIGR03672,1.3e-97,323.0
Ferroplasma_acidarmanus_fer1-contig1_1143	TIGR03673,2.9e-60,198.7
Ferroplasma_acidarmanus_fer1-contig1_1579	TIGR03674,1.2e-136,452.0
Ferroplasma_acidarmanus_fer1-contig1_918	TIGR03676,2.1e-165,547.2
Ferroplasma_acidarmanus_fer1-contig1_1109	TIGR03680,6.2e-190,628.4
