Gene Id	Top hits (Family id,e-value,bitscore)
Thaumarchaeota_archaeon_isolate_MTA5-contig142_2	PF03726.15,2e-06,25.2
Thaumarchaeota_archaeon_isolate_MTA5-contig154_3	PF00827.18,4e-44,147.6
Thaumarchaeota_archaeon_isolate_MTA5-contig17_10	PF07541.13,1.5e-21,73.6
Thaumarchaeota_archaeon_isolate_MTA5-contig182_2	PF00827.18,4.9e-16,56.0
Thaumarchaeota_archaeon_isolate_MTA5-contig182_3	PF00827.18,7.1e-48,159.8
Thaumarchaeota_archaeon_isolate_MTA5-contig18_8	PF04919.13,9.5e-53,175.8
Thaumarchaeota_archaeon_isolate_MTA5-contig22_11	PF01280.21,8.1e-38,126.7
Thaumarchaeota_archaeon_isolate_MTA5-contig24_8	PF01025.20,4.1e-41,137.4
Thaumarchaeota_archaeon_isolate_MTA5-contig33_5	PF01200.19,1.9e-32,108.1
Thaumarchaeota_archaeon_isolate_MTA5-contig45_5	PF01090.20,3.2e-52,172.9
Thaumarchaeota_archaeon_isolate_MTA5-contig46_6	PF00380.20,4e-26,88.9
Thaumarchaeota_archaeon_isolate_MTA5-contig46_9	PF01000.27,3.3e-16,56.7
Thaumarchaeota_archaeon_isolate_MTA5-contig62_4	PF00466.21,3.5e-20,69.0
Thaumarchaeota_archaeon_isolate_MTA5-contig62_5	PF00687.22,4.6e-39,131.2
Thaumarchaeota_archaeon_isolate_MTA5-contig64_10	PF00410.20,8.2e-26,87.4
Thaumarchaeota_archaeon_isolate_MTA5-contig64_7	PF00900.21,2.7e-19,65.8
Thaumarchaeota_archaeon_isolate_MTA5-contig85_4	PF01015.19,7.4e-58,192.3
