Gene Id	Top hits (Family id,e-value,bitscore)
Sulfolobus_tokodaii_str_7-contig1_1468	TIGR00037,1.4e-44,148.5
Sulfolobus_tokodaii_str_7-contig1_1583	TIGR00064,4.2e-98,325.4
Sulfolobus_tokodaii_str_7-contig1_2383	TIGR00111,2.5e-64,215.2
Sulfolobus_tokodaii_str_7-contig1_1431	TIGR00134,6.7e-209,692.5
Sulfolobus_tokodaii_str_7-contig1_2585	TIGR00279,3.1e-53,177.4
Sulfolobus_tokodaii_str_7-contig1_523	TIGR00291,5.7e-76,252.3
Sulfolobus_tokodaii_str_7-contig1_1586	TIGR00323,1e-54,182.6
Sulfolobus_tokodaii_str_7-contig1_1064	TIGR00335,8.5e-41,137.8
Sulfolobus_tokodaii_str_7-contig1_276	TIGR00337,3e-231,766.0
Sulfolobus_tokodaii_str_7-contig1_1576	TIGR00344,2e-200,665.5
Sulfolobus_tokodaii_str_7-contig1_393	TIGR00373,3.6e-38,128.0
Sulfolobus_tokodaii_str_7-contig1_508	TIGR00392,8.5e-279,924.8
Sulfolobus_tokodaii_str_7-contig1_1651	TIGR00398,1.1e-159,530.0
Sulfolobus_tokodaii_str_7-contig1_1581	TIGR00405,1.4e-35,119.8
Sulfolobus_tokodaii_str_7-contig1_1691	TIGR00414,1.6e-145,482.7
Sulfolobus_tokodaii_str_7-contig1_2563	TIGR00435,9.7e-153,506.9
Sulfolobus_tokodaii_str_7-contig1_382	TIGR00442,4.8e-113,375.6
Sulfolobus_tokodaii_str_7-contig1_445	TIGR00448,1.1e-55,185.3
Sulfolobus_tokodaii_str_7-contig1_1427	TIGR00456,7.2e-113,375.2
Sulfolobus_tokodaii_str_7-contig1_1635	TIGR00468,2e-95,317.1
Sulfolobus_tokodaii_str_7-contig1_315	TIGR00483,1.4e-196,650.4
Sulfolobus_tokodaii_str_7-contig1_326	TIGR00491,2.6e-252,835.9
Sulfolobus_tokodaii_str_7-contig1_1447	TIGR00522,1.2e-54,182.8
Sulfolobus_tokodaii_str_7-contig1_337	TIGR00928,3.4e-138,458.4
Sulfolobus_tokodaii_str_7-contig1_318	TIGR00982,3.9e-76,250.8
Sulfolobus_tokodaii_str_7-contig1_500	TIGR01008,2.1e-71,237.1
Sulfolobus_tokodaii_str_7-contig1_2367	TIGR01012,2.8e-81,269.1
Sulfolobus_tokodaii_str_7-contig1_2374	TIGR01018,7.9e-72,237.9
Sulfolobus_tokodaii_str_7-contig1_486	TIGR01020,1.2e-93,309.8
Sulfolobus_tokodaii_str_7-contig1_316	TIGR01028,1.8e-85,282.7
Sulfolobus_tokodaii_str_7-contig1_314	TIGR01046,5.4e-45,149.3
Sulfolobus_tokodaii_str_7-contig1_1466	TIGR01052,8e-169,559.5
Sulfolobus_tokodaii_str_7-contig1_1470	TIGR01213,1e-37,127.2
Sulfolobus_tokodaii_str_7-contig1_319	TIGR01952,2.8e-58,193.6
Sulfolobus_tokodaii_str_7-contig1_347	TIGR02236,4.1e-141,467.2
Sulfolobus_tokodaii_str_7-contig1_516	TIGR02338,2.8e-40,134.1
Sulfolobus_tokodaii_str_7-contig1_321	TIGR02389,5.4e-162,536.3
Sulfolobus_tokodaii_str_7-contig1_322	TIGR02390,0.0,1546.7
Sulfolobus_tokodaii_str_7-contig1_506	TIGR03626,2.9e-133,441.2
Sulfolobus_tokodaii_str_7-contig1_2369	TIGR03627,1e-55,185.0
Sulfolobus_tokodaii_str_7-contig1_2373	TIGR03628,3.3e-61,202.4
Sulfolobus_tokodaii_str_7-contig1_2375	TIGR03629,3e-60,200.1
Sulfolobus_tokodaii_str_7-contig1_323	TIGR03670,0.0,1024.1
Sulfolobus_tokodaii_str_7-contig1_1073	TIGR03671,9.7e-137,453.4
Sulfolobus_tokodaii_str_7-contig1_505	TIGR03672,2.5e-112,371.7
Sulfolobus_tokodaii_str_7-contig1_496	TIGR03673,1.2e-62,207.0
Sulfolobus_tokodaii_str_7-contig1_251	TIGR03674,2.3e-119,395.8
Sulfolobus_tokodaii_str_7-contig1_565	TIGR03676,7.4e-131,434.0
Sulfolobus_tokodaii_str_7-contig1_447	TIGR03680,1.1e-202,671.0
