Gene Id	Top hits (Family id,e-value,bitscore)
Thaumarchaeota_archaeon_UBA160-contig11_12	PF01280.21,1.5e-30,102.0
Thaumarchaeota_archaeon_UBA160-contig11_15	PF00410.20,1.7e-24,82.0
Thaumarchaeota_archaeon_UBA160-contig11_18	PF00900.21,1.9e-17,58.8
Thaumarchaeota_archaeon_UBA160-contig14_2	PF07541.13,1.2e-20,69.6
Thaumarchaeota_archaeon_UBA160-contig31_13	PF01090.20,3.9e-44,145.5
Thaumarchaeota_archaeon_UBA160-contig45_1	PF00380.20,8.2e-26,86.7
Thaumarchaeota_archaeon_UBA160-contig45_17	PF04919.13,4.1e-52,172.5
Thaumarchaeota_archaeon_UBA160-contig45_4	PF01000.27,6.7e-20,67.4
Thaumarchaeota_archaeon_UBA160-contig4_4	PF00827.18,1.1e-41,138.5
Thaumarchaeota_archaeon_UBA160-contig51_7	PF01015.19,1.2e-44,148.0
Thaumarchaeota_archaeon_UBA160-contig53_8	PF01025.20,7.9e-31,102.8
