Gene Id	Top hits (Family id,e-value,bitscore)
D197_116_contig1_288	TIGR00037,5.6e-44,145.8
D197_116_contig1_167	TIGR00064,6.4e-91,301.1
D197_116_contig3_19	TIGR00111,1.5e-46,155.9
D197_116_contig3_99	TIGR00134,9.6e-187,618.6
D197_116_contig5_17	TIGR00194,5.6e-147,487.4
D197_116_contig1_50	TIGR00279,3.1e-46,153.8
D197_116_contig4_23	TIGR00291,2.6e-74,246.1
D197_116_contig1_169	TIGR00323,1.9e-48,161.3
D197_116_contig1_110	TIGR00335,6.4e-42,140.7
D197_116_contig1_358	TIGR00337,5.3e-225,744.6
D197_116_contig1_156	TIGR00344,3.5e-174,577.9
D197_116_contig1_197	TIGR00373,1e-31,106.3
D197_116_contig23_9	TIGR00392,1.2e-198,658.9
D197_116_contig9_18	TIGR00398,5.9e-157,520.2
D197_116_contig1_163	TIGR00405,4.5e-40,133.6
D197_116_contig3_17	TIGR00414,1.5e-158,524.8
D197_116_contig1_4	TIGR00431,1.2e-33,113.2
D197_116_contig11_10	TIGR00435,7.5e-155,513.1
D197_116_contig9_33	TIGR00435,5.4e-117,388.3
D197_116_contig1_10	TIGR00442,8e-100,331.3
D197_116_contig7_57	TIGR00448,1.2e-56,187.7
D197_116_contig16_15	TIGR00456,1.1e-117,390.4
D197_116_contig6_74	TIGR00468,2.9e-109,361.8
D197_116_contig12_23	TIGR00483,6.7e-192,634.2
D197_116_contig7_52	TIGR00491,2.3e-220,729.7
D197_116_contig24_10	TIGR00522,2.8e-65,216.9
D197_116_contig5_15	TIGR00631,5.2e-276,913.7
D197_116_contig1_46	TIGR00755,5.8e-53,176.4
D197_116_contig1_8	TIGR00967,7.4e-87,288.5
D197_116_contig12_41	TIGR00982,1.2e-73,242.0
D197_116_contig1_24	TIGR01008,8.9e-61,201.7
D197_116_contig3_74	TIGR01012,5.8e-71,234.7
D197_116_contig3_63	TIGR01018,8.8e-52,172.0
D197_116_contig1_38	TIGR01020,4e-77,255.1
D197_116_contig12_40	TIGR01028,4.6e-70,231.7
D197_116_contig1_344	TIGR01046,4.8e-43,142.3
D197_116_contig9_14	TIGR01052,1.9e-143,475.0
D197_116_contig18_12	TIGR01213,1.6e-52,175.2
D197_116_contig12_42	TIGR01952,2.1e-44,147.9
D197_116_contig7_40	TIGR02236,1.3e-116,385.9
D197_116_contig4_17	TIGR02338,3.1e-31,104.3
D197_116_contig1_85	TIGR02350,2e-274,908.1
D197_116_contig12_44	TIGR02390,0.0,1235.2
D197_116_contig1_18	TIGR03626,3.8e-104,344.7
D197_116_contig3_69	TIGR03627,1.9e-48,160.7
D197_116_contig3_62	TIGR03628,2.7e-59,195.4
D197_116_contig12_45	TIGR03670,4.8e-271,896.8
D197_116_contig1_298	TIGR03671,6.1e-111,367.7
D197_116_contig1_19	TIGR03672,1.8e-91,302.7
D197_116_contig6_84	TIGR03674,3.7e-128,424.0
D197_116_contig1_113	TIGR03676,2.7e-138,457.8
D197_116_contig15_30	TIGR03676,5.3e-104,344.8
D197_116_contig7_55	TIGR03680,1e-174,578.1
