Gene Id	Top hits (Family id,e-value,bitscore)
EGM_Bin1-contig1086_7	PF00687.22,2.5e-40,136.5
EGM_Bin1-contig1086_8	PF00466.21,3.1e-20,70.3
EGM_Bin1-contig156_1	PF01025.20,1.1e-06,26.6
EGM_Bin1-contig178_4	PF01090.20,1.2e-49,165.7
EGM_Bin1-contig182_1	PF04919.13,1.1e-08,33.4
EGM_Bin1-contig193_6	PF01015.19,6.7e-63,209.9
EGM_Bin1-contig213_3	PF01200.19,7.1e-32,107.3
EGM_Bin1-contig288_3	PF00380.20,3.2e-34,116.2
EGM_Bin1-contig365_1	PF00900.21,1.8e-18,64.3
EGM_Bin1-contig366_5	PF04919.13,1.1e-47,160.5
EGM_Bin1-contig41_2	PF00827.18,3.9e-46,155.3
EGM_Bin1-contig559_7	PF00900.21,2e-16,57.8
EGM_Bin1-contig640_6	PF07541.13,1.2e-21,75.0
EGM_Bin1-contig704_3	PF01280.21,5.4e-40,134.9
EGM_Bin1-contig854_6	PF00410.20,1.1e-22,78.5
