Gene Id	Top hits (Family id,e-value,bitscore)
F-contig1104_1	PF07541.13,4e-22,76.8
F-contig1201_1	PF00827.18,3.8e-37,126.1
F-contig1217_3	PF01015.19,1.3e-47,160.2
F-contig1322_2	PF00900.21,5.3e-19,66.2
F-contig1616_2	PF01000.27,5.9e-22,76.5
F-contig21_3	PF00466.21,4.2e-20,70.0
F-contig21_4	PF00687.22,1.3e-42,144.2
F-contig34_2	PF01280.21,1.1e-41,140.5
F-contig45_4	PF01090.20,1.2e-49,165.8
F-contig71_3	PF01200.19,5.3e-31,104.7
F-contig890_3	PF00410.20,3.6e-22,76.9
F-contig942_2	PF00380.20,2.2e-46,155.6
