Gene Id	Top hits (Family id,e-value,bitscore)
D155_85_reformat_contig3_3	TIGR00037,1.1e-37,125.4
D155_85_reformat_contig74_3	TIGR00111,2.4e-55,184.8
D155_85_reformat_contig10_7	TIGR00134,2.7e-192,636.9
D155_85_reformat_contig7_16	TIGR00194,5.4e-145,480.9
D155_85_reformat_contig35_5	TIGR00279,7.9e-50,165.5
D155_85_reformat_contig34_8	TIGR00291,1.3e-65,217.7
D155_85_reformat_contig9_34	TIGR00323,3.2e-54,180.2
D155_85_reformat_contig1_145	TIGR00337,1.2e-220,730.1
D155_85_reformat_contig16_21	TIGR00344,5.1e-155,514.5
D155_85_reformat_contig22_15	TIGR00373,1.2e-32,109.2
D155_85_reformat_contig7_4	TIGR00392,1.4e-206,685.1
D155_85_reformat_contig1_204	TIGR00398,4.8e-154,510.5
D155_85_reformat_contig16_11	TIGR00405,3.7e-37,124.2
D155_85_reformat_contig8_37	TIGR00414,1.9e-166,550.8
D155_85_reformat_contig55_4	TIGR00431,1.5e-37,126.0
D155_85_reformat_contig1_208	TIGR00435,1.8e-155,515.1
D155_85_reformat_contig9_33	TIGR00442,1.5e-95,317.2
D155_85_reformat_contig2_70	TIGR00448,2.1e-53,177.2
D155_85_reformat_contig4_57	TIGR00456,9.5e-110,364.2
D155_85_reformat_contig17_13	TIGR00468,5.4e-104,344.5
D155_85_reformat_contig6_38	TIGR00483,5.9e-190,627.8
D155_85_reformat_contig9_23	TIGR00491,8.6e-207,684.8
D155_85_reformat_contig2_117	TIGR00522,2.2e-59,197.6
D155_85_reformat_contig7_18	TIGR00631,2.3e-287,951.2
D155_85_reformat_contig15_24	TIGR00755,1.5e-50,168.5
D155_85_reformat_contig13_37	TIGR00928,3.8e-132,437.7
D155_85_reformat_contig41_3	TIGR00967,1.3e-80,267.9
D155_85_reformat_contig27_12	TIGR00982,2.5e-68,224.7
D155_85_reformat_contig1_38	TIGR01008,1.5e-58,194.4
D155_85_reformat_contig58_4	TIGR01012,4.8e-68,225.2
D155_85_reformat_contig67_3	TIGR01018,2.1e-41,138.2
D155_85_reformat_contig41_6	TIGR01020,8.3e-73,240.9
D155_85_reformat_contig27_11	TIGR01028,1.9e-66,220.0
D155_85_reformat_contig6_39	TIGR01046,2.5e-40,133.5
D155_85_reformat_contig24_4	TIGR01052,6.7e-137,453.4
D155_85_reformat_contig3_12	TIGR01213,5.7e-52,173.4
D155_85_reformat_contig27_13	TIGR01952,3e-46,153.9
D155_85_reformat_contig15_20	TIGR02236,1.5e-119,395.5
D155_85_reformat_contig34_14	TIGR02338,1.3e-31,105.4
D155_85_reformat_contig10_10	TIGR02350,2.7e-249,825.1
D155_85_reformat_contig27_16	TIGR02389,3.2e-131,434.3
D155_85_reformat_contig1_33	TIGR03626,1.2e-100,333.2
D155_85_reformat_contig13_33	TIGR03628,3.5e-56,185.4
D155_85_reformat_contig1_34	TIGR03672,3.8e-82,272.1
D155_85_reformat_contig18_18	TIGR03674,7.1e-129,426.3
D155_85_reformat_contig1_133	TIGR03676,2.9e-129,428.0
