Gene Id	Top hits (Family id,e-value,bitscore)
Thaumarchaeota_YP1_bin3_contig1_261	PF01200.19,4.5e-32,106.5
Thaumarchaeota_YP1_bin3_contig1_270	PF00380.20,3.7e-30,101.6
Thaumarchaeota_YP1_bin3_contig1_273	PF01000.27,1.8e-28,95.9
Thaumarchaeota_YP1_bin3_contig1_297	PF01280.21,1.1e-41,138.9
Thaumarchaeota_YP1_bin3_contig1_300	PF00410.20,5.8e-23,77.9
Thaumarchaeota_YP1_bin3_contig1_303	PF00900.21,3.6e-14,49.1
Thaumarchaeota_YP1_bin3_contig1_350	PF00827.18,5.4e-49,163.1
Thaumarchaeota_YP1_bin3_contig1_354	PF01015.19,6.3e-61,202.0
Thaumarchaeota_YP1_bin3_contig2_109	PF01025.20,6.3e-45,149.5
Thaumarchaeota_YP1_bin3_contig2_27	PF01090.20,5.5e-48,158.8
Thaumarchaeota_YP1_bin3_contig2_47	PF00687.22,5.3e-44,147.1
Thaumarchaeota_YP1_bin3_contig2_48	PF00466.21,6.6e-22,74.3
Thaumarchaeota_YP1_bin3_contig3_311	PF07541.13,2.1e-18,63.2
Thaumarchaeota_YP1_bin3_contig5_89	PF04919.13,3.9e-52,173.5
