Gene Id	Top hits (Family id,e-value,bitscore)
Methanocorpusculum_labreanum_Z-contig1_437	TIGR00037,9.1e-45,148.4
Methanocorpusculum_labreanum_Z-contig1_1522	TIGR00064,3e-91,302.2
Methanocorpusculum_labreanum_Z-contig1_1632	TIGR00065,3.1e-131,434.5
Methanocorpusculum_labreanum_Z-contig1_763	TIGR00065,1.6e-124,412.4
Methanocorpusculum_labreanum_Z-contig1_550	TIGR00111,1.5e-79,264.5
Methanocorpusculum_labreanum_Z-contig1_590	TIGR00134,9.3e-227,750.8
Methanocorpusculum_labreanum_Z-contig1_971	TIGR00194,1.9e-151,502.3
Methanocorpusculum_labreanum_Z-contig1_387	TIGR00279,5.3e-67,221.5
Methanocorpusculum_labreanum_Z-contig1_1381	TIGR00291,5.9e-82,271.2
Methanocorpusculum_labreanum_Z-contig1_1526	TIGR00323,2.4e-58,193.7
Methanocorpusculum_labreanum_Z-contig1_1341	TIGR00335,6.4e-42,140.7
Methanocorpusculum_labreanum_Z-contig1_1170	TIGR00337,1.7e-215,713.2
Methanocorpusculum_labreanum_Z-contig1_1421	TIGR00344,4.9e-210,696.6
Methanocorpusculum_labreanum_Z-contig1_469	TIGR00373,2.8e-39,130.9
Methanocorpusculum_labreanum_Z-contig1_189	TIGR00392,5e-285,944.6
Methanocorpusculum_labreanum_Z-contig1_745	TIGR00398,5.9e-174,576.3
Methanocorpusculum_labreanum_Z-contig1_1630	TIGR00405,2.4e-44,147.5
Methanocorpusculum_labreanum_Z-contig1_728	TIGR00414,1.1e-152,505.6
Methanocorpusculum_labreanum_Z-contig1_75	TIGR00431,1.8e-37,125.8
Methanocorpusculum_labreanum_Z-contig1_425	TIGR00442,4.8e-112,371.6
Methanocorpusculum_labreanum_Z-contig1_672	TIGR00448,2.7e-66,219.2
Methanocorpusculum_labreanum_Z-contig1_1556	TIGR00456,1.3e-153,509.1
Methanocorpusculum_labreanum_Z-contig1_194	TIGR00460,2e-84,280.0
Methanocorpusculum_labreanum_Z-contig1_1412	TIGR00468,1e-111,369.9
Methanocorpusculum_labreanum_Z-contig1_1484	TIGR00483,2.5e-222,734.5
Methanocorpusculum_labreanum_Z-contig1_1567	TIGR00491,1.3e-222,737.1
Methanocorpusculum_labreanum_Z-contig1_395	TIGR00522,3e-89,295.5
Methanocorpusculum_labreanum_Z-contig1_945	TIGR00631,4.9e-293,970.0
Methanocorpusculum_labreanum_Z-contig1_1618	TIGR00755,1.5e-71,237.4
Methanocorpusculum_labreanum_Z-contig1_1157	TIGR00928,1.2e-151,502.1
Methanocorpusculum_labreanum_Z-contig1_107	TIGR00967,7.4e-92,305.0
Methanocorpusculum_labreanum_Z-contig1_1664	TIGR00982,2.4e-69,228.1
Methanocorpusculum_labreanum_Z-contig1_90	TIGR01008,6.5e-83,274.0
Methanocorpusculum_labreanum_Z-contig1_1277	TIGR01012,5e-79,261.0
Methanocorpusculum_labreanum_Z-contig1_1285	TIGR01018,2.3e-59,196.7
Methanocorpusculum_labreanum_Z-contig1_104	TIGR01020,1.5e-90,299.0
Methanocorpusculum_labreanum_Z-contig1_1663	TIGR01028,7.1e-72,237.7
Methanocorpusculum_labreanum_Z-contig1_1483	TIGR01046,1.8e-48,159.7
Methanocorpusculum_labreanum_Z-contig1_426	TIGR01052,7.8e-153,506.0
Methanocorpusculum_labreanum_Z-contig1_422	TIGR01059,1e-285,945.9
Methanocorpusculum_labreanum_Z-contig1_423	TIGR01063,0.0,1121.0
Methanocorpusculum_labreanum_Z-contig1_1614	TIGR01213,7.7e-131,433.1
Methanocorpusculum_labreanum_Z-contig1_1424	TIGR01302,1.5e-172,571.2
Methanocorpusculum_labreanum_Z-contig1_381	TIGR01952,7.7e-49,162.3
Methanocorpusculum_labreanum_Z-contig1_1427	TIGR01952,1.5e-34,116.0
Methanocorpusculum_labreanum_Z-contig1_652	TIGR02236,1.8e-140,464.4
Methanocorpusculum_labreanum_Z-contig1_1376	TIGR02338,2.6e-34,114.2
Methanocorpusculum_labreanum_Z-contig1_977	TIGR02350,2e-278,921.3
Methanocorpusculum_labreanum_Z-contig1_1196	TIGR02389,3.4e-145,480.3
Methanocorpusculum_labreanum_Z-contig1_1197	TIGR02390,0.0,1320.3
Methanocorpusculum_labreanum_Z-contig1_526	TIGR02397,6.2e-46,153.9
Methanocorpusculum_labreanum_Z-contig1_84	TIGR03626,5e-148,489.0
Methanocorpusculum_labreanum_Z-contig1_1280	TIGR03627,3.2e-59,195.6
Methanocorpusculum_labreanum_Z-contig1_1284	TIGR03628,1.5e-62,206.0
Methanocorpusculum_labreanum_Z-contig1_1286	TIGR03629,2.9e-57,189.7
Methanocorpusculum_labreanum_Z-contig1_1198	TIGR03670,4e-284,940.1
Methanocorpusculum_labreanum_Z-contig1_377	TIGR03671,2e-154,511.0
Methanocorpusculum_labreanum_Z-contig1_85	TIGR03672,1.1e-104,346.0
Methanocorpusculum_labreanum_Z-contig1_94	TIGR03673,3.7e-61,201.5
Methanocorpusculum_labreanum_Z-contig1_363	TIGR03674,3.7e-136,450.3
Methanocorpusculum_labreanum_Z-contig1_1557	TIGR03676,1.3e-182,603.8
Methanocorpusculum_labreanum_Z-contig1_674	TIGR03680,2e-198,656.3
