Gene Id	Top hits (Family id,e-value,bitscore)
Aciduliprofundum_boonei_T469-contig1_1134	PF00827.18,4.7e-87,287.1
Aciduliprofundum_boonei_T469-contig1_1160	PF07541.13,2.4e-26,88.6
Aciduliprofundum_boonei_T469-contig1_1246	PF01200.19,5.8e-35,115.7
Aciduliprofundum_boonei_T469-contig1_1356	PF01025.20,4.7e-40,133.5
Aciduliprofundum_boonei_T469-contig1_1407	PF01000.27,2.1e-24,82.6
Aciduliprofundum_boonei_T469-contig1_1484	PF00380.20,5.5e-33,110.6
Aciduliprofundum_boonei_T469-contig1_1511	PF01280.21,4.2e-58,192.0
Aciduliprofundum_boonei_T469-contig1_1514	PF00410.20,7.7e-30,100.0
Aciduliprofundum_boonei_T469-contig1_1517	PF00900.21,9e-29,95.8
Aciduliprofundum_boonei_T469-contig1_27	PF01090.20,1.8e-56,186.2
Aciduliprofundum_boonei_T469-contig1_638	PF01015.19,7.2e-70,231.0
Aciduliprofundum_boonei_T469-contig1_770	PF04919.13,2.5e-69,229.4
Aciduliprofundum_boonei_T469-contig1_869	PF00466.21,2.5e-25,85.1
Aciduliprofundum_boonei_T469-contig1_870	PF00687.22,5.2e-48,160.0
