Gene Id	Top hits (Family id,e-value,bitscore)
Thermoplasma_acidophilum_DSM_1728-contig1_1114	TIGR00037,6.7e-47,155.1
Thermoplasma_acidophilum_DSM_1728-contig1_1132	TIGR00064,5.5e-95,314.3
Thermoplasma_acidophilum_DSM_1728-contig1_535	TIGR00065,1.6e-111,369.5
Thermoplasma_acidophilum_DSM_1728-contig1_77	TIGR00065,1.7e-105,349.7
Thermoplasma_acidophilum_DSM_1728-contig1_1152	TIGR00111,2e-61,204.7
Thermoplasma_acidophilum_DSM_1728-contig1_1022	TIGR00134,6.9e-133,440.5
Thermoplasma_acidophilum_DSM_1728-contig1_1112	TIGR00279,1.3e-63,210.2
Thermoplasma_acidophilum_DSM_1728-contig1_1344	TIGR00291,2e-63,210.3
Thermoplasma_acidophilum_DSM_1728-contig1_59	TIGR00323,8.3e-59,195.0
Thermoplasma_acidophilum_DSM_1728-contig1_1026	TIGR00335,1.2e-50,169.3
Thermoplasma_acidophilum_DSM_1728-contig1_48	TIGR00337,2.4e-223,738.9
Thermoplasma_acidophilum_DSM_1728-contig1_897	TIGR00344,2.1e-168,558.7
Thermoplasma_acidophilum_DSM_1728-contig1_927	TIGR00392,3.4e-259,859.0
Thermoplasma_acidophilum_DSM_1728-contig1_1215	TIGR00398,1.3e-153,509.0
Thermoplasma_acidophilum_DSM_1728-contig1_1486	TIGR00405,4.9e-40,133.3
Thermoplasma_acidophilum_DSM_1728-contig1_494	TIGR00414,1.4e-144,478.7
Thermoplasma_acidophilum_DSM_1728-contig1_1298	TIGR00431,3.8e-35,118.0
Thermoplasma_acidophilum_DSM_1728-contig1_1201	TIGR00435,9.1e-143,473.1
Thermoplasma_acidophilum_DSM_1728-contig1_104	TIGR00442,2.8e-117,388.6
Thermoplasma_acidophilum_DSM_1728-contig1_1144	TIGR00448,8.4e-47,155.5
Thermoplasma_acidophilum_DSM_1728-contig1_297	TIGR00456,2.6e-122,405.5
Thermoplasma_acidophilum_DSM_1728-contig1_667	TIGR00468,2.7e-100,332.2
Thermoplasma_acidophilum_DSM_1728-contig1_470	TIGR00483,1.6e-213,705.3
Thermoplasma_acidophilum_DSM_1728-contig1_1166	TIGR00491,1.8e-178,591.2
Thermoplasma_acidophilum_DSM_1728-contig1_931	TIGR00522,4.8e-46,153.7
Thermoplasma_acidophilum_DSM_1728-contig1_1354	TIGR00755,1e-51,172.2
Thermoplasma_acidophilum_DSM_1728-contig1_549	TIGR00928,3.8e-131,434.3
Thermoplasma_acidophilum_DSM_1728-contig1_1302	TIGR00967,3.4e-81,269.7
Thermoplasma_acidophilum_DSM_1728-contig1_96	TIGR00982,3.7e-75,246.7
Thermoplasma_acidophilum_DSM_1728-contig1_1320	TIGR01008,1.2e-67,223.9
Thermoplasma_acidophilum_DSM_1728-contig1_1244	TIGR01012,7.3e-88,289.7
Thermoplasma_acidophilum_DSM_1728-contig1_1087	TIGR01018,4.6e-62,205.2
Thermoplasma_acidophilum_DSM_1728-contig1_1305	TIGR01020,2.9e-91,301.1
Thermoplasma_acidophilum_DSM_1728-contig1_97	TIGR01028,1.8e-79,262.2
Thermoplasma_acidophilum_DSM_1728-contig1_471	TIGR01046,3.8e-48,158.5
Thermoplasma_acidophilum_DSM_1728-contig1_1110	TIGR01059,2.9e-268,888.1
Thermoplasma_acidophilum_DSM_1728-contig1_1109	TIGR01063,9.7e-298,986.0
Thermoplasma_acidophilum_DSM_1728-contig1_1350	TIGR01213,1.4e-174,576.8
Thermoplasma_acidophilum_DSM_1728-contig1_226	TIGR01302,7.4e-198,654.4
Thermoplasma_acidophilum_DSM_1728-contig1_419	TIGR01952,5.5e-25,84.8
Thermoplasma_acidophilum_DSM_1728-contig1_1158	TIGR02236,3.3e-156,515.8
Thermoplasma_acidophilum_DSM_1728-contig1_1191	TIGR02338,2e-35,117.6
Thermoplasma_acidophilum_DSM_1728-contig1_1142	TIGR02350,1.6e-270,895.0
Thermoplasma_acidophilum_DSM_1728-contig1_418	TIGR02389,2.6e-164,543.0
Thermoplasma_acidophilum_DSM_1728-contig1_417	TIGR02390,0.0,1484.1
Thermoplasma_acidophilum_DSM_1728-contig1_1326	TIGR03626,2.5e-138,456.9
Thermoplasma_acidophilum_DSM_1728-contig1_457	TIGR03627,5.5e-60,197.9
Thermoplasma_acidophilum_DSM_1728-contig1_1086	TIGR03628,5.9e-62,203.9
Thermoplasma_acidophilum_DSM_1728-contig1_1088	TIGR03629,2e-59,196.4
Thermoplasma_acidophilum_DSM_1728-contig1_416	TIGR03670,0.0,1015.0
Thermoplasma_acidophilum_DSM_1728-contig1_1507	TIGR03671,2.1e-142,471.1
Thermoplasma_acidophilum_DSM_1728-contig1_1325	TIGR03672,1.3e-101,335.8
Thermoplasma_acidophilum_DSM_1728-contig1_1315	TIGR03673,1.5e-63,209.0
Thermoplasma_acidophilum_DSM_1728-contig1_1090	TIGR03674,3.1e-144,476.7
Thermoplasma_acidophilum_DSM_1728-contig1_560	TIGR03676,5.2e-178,588.4
Thermoplasma_acidophilum_DSM_1728-contig1_340	TIGR03680,2.7e-196,649.0
