Gene Id	Top hits (Family id,e-value,bitscore)
Metallosphaera_yellowstonensis_MK1-contig17_444	PF01280.21,1.3e-50,168.8
Metallosphaera_yellowstonensis_MK1-contig17_447	PF00410.20,1.6e-26,90.3
Metallosphaera_yellowstonensis_MK1-contig17_449	PF00900.21,2.4e-20,69.8
Metallosphaera_yellowstonensis_MK1-contig17_482	PF00827.18,1.2e-74,247.8
Metallosphaera_yellowstonensis_MK1-contig17_485	PF01015.19,8.1e-69,228.7
Metallosphaera_yellowstonensis_MK1-contig17_489	PF04919.13,2.4e-60,201.2
Metallosphaera_yellowstonensis_MK1-contig17_564	PF01200.19,6.1e-32,107.0
Metallosphaera_yellowstonensis_MK1-contig17_660	PF07541.13,7.7e-22,75.2
Metallosphaera_yellowstonensis_MK1-contig19_317	PF01090.20,4.6e-45,150.3
Metallosphaera_yellowstonensis_MK1-contig19_328	PF00687.22,2.5e-26,90.3
Metallosphaera_yellowstonensis_MK1-contig19_329	PF00466.21,1.6e-26,90.0
Metallosphaera_yellowstonensis_MK1-contig19_558	PF01000.27,3.8e-31,105.4
Metallosphaera_yellowstonensis_MK1-contig19_561	PF00380.20,2.9e-28,96.4
