Gene Id	Top hits (Family id,e-value,bitscore)
Thaumarchaeota_bin_Fn1-contig8_57	TIGR00037,2.9e-38,127.4
Thaumarchaeota_bin_Fn1-contig24_12	TIGR00064,6.1e-90,298.0
Thaumarchaeota_bin_Fn1-contig4_16	TIGR00111,6.9e-49,163.8
Thaumarchaeota_bin_Fn1-contig44_8	TIGR00134,3.9e-192,636.5
Thaumarchaeota_bin_Fn1-contig8_44	TIGR00279,1.6e-50,167.9
Thaumarchaeota_bin_Fn1-contig5_4	TIGR00291,1.4e-64,214.5
Thaumarchaeota_bin_Fn1-contig24_14	TIGR00323,9e-56,185.4
Thaumarchaeota_bin_Fn1-contig8_38	TIGR00335,6.6e-45,150.7
Thaumarchaeota_bin_Fn1-contig6_36	TIGR00337,1.1e-218,723.8
Thaumarchaeota_bin_Fn1-contig24_4	TIGR00344,9.6e-162,536.9
Thaumarchaeota_bin_Fn1-contig4_55	TIGR00373,6.4e-34,113.6
Thaumarchaeota_bin_Fn1-contig14_11	TIGR00392,1.4e-205,681.9
Thaumarchaeota_bin_Fn1-contig3_50	TIGR00398,3.1e-153,508.0
Thaumarchaeota_bin_Fn1-contig24_9	TIGR00405,3.4e-38,127.7
Thaumarchaeota_bin_Fn1-contig1_73	TIGR00414,5e-154,510.1
Thaumarchaeota_bin_Fn1-contig1_8	TIGR00431,1.4e-31,106.6
Thaumarchaeota_bin_Fn1-contig14_14	TIGR00435,8.9e-142,470.2
Thaumarchaeota_bin_Fn1-contig7_29	TIGR00435,3.1e-108,359.6
Thaumarchaeota_bin_Fn1-contig1_122	TIGR00442,3.2e-92,306.4
Thaumarchaeota_bin_Fn1-contig13_10	TIGR00448,1.3e-57,191.1
Thaumarchaeota_bin_Fn1-contig6_55	TIGR00456,1.6e-97,323.9
Thaumarchaeota_bin_Fn1-contig4_23	TIGR00468,3.1e-107,355.3
Thaumarchaeota_bin_Fn1-contig2_43	TIGR00483,4.5e-191,631.6
Thaumarchaeota_bin_Fn1-contig13_22	TIGR00491,2.3e-189,627.4
Thaumarchaeota_bin_Fn1-contig1_53	TIGR00522,3e-57,190.7
Thaumarchaeota_bin_Fn1-contig1_12	TIGR00967,3.7e-80,266.6
Thaumarchaeota_bin_Fn1-contig2_53	TIGR00982,5.3e-73,240.1
Thaumarchaeota_bin_Fn1-contig1_29	TIGR01008,1.1e-59,198.2
Thaumarchaeota_bin_Fn1-contig13_32	TIGR01012,5.9e-61,202.2
Thaumarchaeota_bin_Fn1-contig13_39	TIGR01018,3.5e-56,186.4
Thaumarchaeota_bin_Fn1-contig1_15	TIGR01020,1.9e-76,253.0
Thaumarchaeota_bin_Fn1-contig2_52	TIGR01028,1.1e-72,240.4
Thaumarchaeota_bin_Fn1-contig25_22	TIGR01046,5.2e-44,145.5
Thaumarchaeota_bin_Fn1-contig2_116	TIGR01046,2.6e-42,140.1
Thaumarchaeota_bin_Fn1-contig3_38	TIGR01052,1.6e-129,429.3
Thaumarchaeota_bin_Fn1-contig8_52	TIGR01213,6e-37,124.1
Thaumarchaeota_bin_Fn1-contig13_46	TIGR01302,6.1e-163,539.6
Thaumarchaeota_bin_Fn1-contig2_47	TIGR01302,3.2e-95,316.4
Thaumarchaeota_bin_Fn1-contig2_54	TIGR01952,1.1e-39,132.8
Thaumarchaeota_bin_Fn1-contig23_2	TIGR02236,2.3e-125,414.8
Thaumarchaeota_bin_Fn1-contig5_10	TIGR02338,2e-31,105.0
Thaumarchaeota_bin_Fn1-contig3_42	TIGR02350,4.1e-249,824.6
Thaumarchaeota_bin_Fn1-contig2_56	TIGR02390,0.0,1266.4
Thaumarchaeota_bin_Fn1-contig13_40	TIGR03628,5.3e-59,194.6
Thaumarchaeota_bin_Fn1-contig13_38	TIGR03629,1.8e-55,184.0
Thaumarchaeota_bin_Fn1-contig2_57	TIGR03670,2e-272,901.6
Thaumarchaeota_bin_Fn1-contig75_6	TIGR03671,3.1e-90,299.7
Thaumarchaeota_bin_Fn1-contig1_62	TIGR03674,1.4e-129,428.8
Thaumarchaeota_bin_Fn1-contig31_13	TIGR03676,3.9e-142,470.5
Thaumarchaeota_bin_Fn1-contig13_7	TIGR03680,4.8e-173,572.8
