Gene Id	Top hits (Family id,e-value,bitscore)
Picrophilus_torridus_DSM_9790-contig1_1276	PF01000.27,7.9e-23,77.6
Picrophilus_torridus_DSM_9790-contig1_1337	PF01200.19,6.8e-32,105.9
Picrophilus_torridus_DSM_9790-contig1_1586	PF01015.19,1e-55,184.9
Picrophilus_torridus_DSM_9790-contig1_223	PF01090.20,1.1e-46,154.5
Picrophilus_torridus_DSM_9790-contig1_351	PF00380.20,6e-33,110.5
Picrophilus_torridus_DSM_9790-contig1_416	PF04919.13,3.5e-69,228.9
Picrophilus_torridus_DSM_9790-contig1_434	PF07541.13,4.5e-22,74.9
Picrophilus_torridus_DSM_9790-contig1_467	PF00687.22,9.8e-42,139.6
Picrophilus_torridus_DSM_9790-contig1_468	PF00466.21,1.8e-23,79.1
Picrophilus_torridus_DSM_9790-contig1_694	PF00900.21,4.9e-20,67.8
Picrophilus_torridus_DSM_9790-contig1_697	PF00410.20,1e-27,93.1
Picrophilus_torridus_DSM_9790-contig1_700	PF01280.21,4.5e-50,166.0
Picrophilus_torridus_DSM_9790-contig1_886	PF01025.20,4.9e-30,100.9
Picrophilus_torridus_DSM_9790-contig1_922	PF00827.18,5.6e-78,257.6
