Gene Id	Top hits (Family id,e-value,bitscore)
Pyrobaculum_aerophilum_str_IM2-contig1_2372	TIGR00037,3.4e-42,140.6
Pyrobaculum_aerophilum_str_IM2-contig1_2190	TIGR00064,1.2e-89,297.5
Pyrobaculum_aerophilum_str_IM2-contig1_2288	TIGR00134,1.5e-190,631.7
Pyrobaculum_aerophilum_str_IM2-contig1_2538	TIGR00279,8.7e-59,195.2
Pyrobaculum_aerophilum_str_IM2-contig1_1530	TIGR00291,1.9e-71,237.4
Pyrobaculum_aerophilum_str_IM2-contig1_2187	TIGR00323,1e-56,188.9
Pyrobaculum_aerophilum_str_IM2-contig1_2144	TIGR00335,1.9e-56,189.0
Pyrobaculum_aerophilum_str_IM2-contig1_2502	TIGR00337,5.3e-223,738.5
Pyrobaculum_aerophilum_str_IM2-contig1_2536	TIGR00344,1.2e-193,642.9
Pyrobaculum_aerophilum_str_IM2-contig1_526	TIGR00373,2.9e-21,72.8
Pyrobaculum_aerophilum_str_IM2-contig1_1108	TIGR00392,1.4e-256,851.1
Pyrobaculum_aerophilum_str_IM2-contig1_2067	TIGR00398,1.3e-151,503.1
Pyrobaculum_aerophilum_str_IM2-contig1_2192	TIGR00405,6.1e-28,94.9
Pyrobaculum_aerophilum_str_IM2-contig1_2235	TIGR00414,7.9e-135,447.2
Pyrobaculum_aerophilum_str_IM2-contig1_586	TIGR00431,9.4e-33,110.9
Pyrobaculum_aerophilum_str_IM2-contig1_559	TIGR00435,9.4e-143,473.8
Pyrobaculum_aerophilum_str_IM2-contig1_1063	TIGR00442,1.7e-116,386.8
Pyrobaculum_aerophilum_str_IM2-contig1_2533	TIGR00448,1.7e-46,155.2
Pyrobaculum_aerophilum_str_IM2-contig1_2378	TIGR00456,8.9e-113,374.7
Pyrobaculum_aerophilum_str_IM2-contig1_991	TIGR00468,1.5e-93,310.8
Pyrobaculum_aerophilum_str_IM2-contig1_2116	TIGR00483,1.4e-190,630.4
Pyrobaculum_aerophilum_str_IM2-contig1_1033	TIGR00491,1.4e-210,697.9
Pyrobaculum_aerophilum_str_IM2-contig1_779	TIGR00522,1.5e-39,133.2
Pyrobaculum_aerophilum_str_IM2-contig1_2287	TIGR00755,5.1e-65,216.5
Pyrobaculum_aerophilum_str_IM2-contig1_669	TIGR00928,2.4e-104,346.7
Pyrobaculum_aerophilum_str_IM2-contig1_440	TIGR00982,5.1e-74,243.8
Pyrobaculum_aerophilum_str_IM2-contig1_1219	TIGR01008,4.8e-58,193.3
Pyrobaculum_aerophilum_str_IM2-contig1_555	TIGR01012,2.2e-80,266.0
Pyrobaculum_aerophilum_str_IM2-contig1_2175	TIGR01018,9.6e-53,175.7
Pyrobaculum_aerophilum_str_IM2-contig1_809	TIGR01020,9e-98,323.1
Pyrobaculum_aerophilum_str_IM2-contig1_490	TIGR01028,3.5e-83,275.1
Pyrobaculum_aerophilum_str_IM2-contig1_2044	TIGR01046,6.1e-39,129.7
Pyrobaculum_aerophilum_str_IM2-contig1_1537	TIGR01052,1.1e-144,479.7
Pyrobaculum_aerophilum_str_IM2-contig1_2393	TIGR01213,5.3e-99,328.8
Pyrobaculum_aerophilum_str_IM2-contig1_439	TIGR01952,1.6e-45,152.1
Pyrobaculum_aerophilum_str_IM2-contig1_425	TIGR02236,5.6e-156,515.8
Pyrobaculum_aerophilum_str_IM2-contig1_1522	TIGR02338,2.7e-41,137.2
Pyrobaculum_aerophilum_str_IM2-contig1_437	TIGR02389,1.9e-161,534.3
Pyrobaculum_aerophilum_str_IM2-contig1_436	TIGR02390,0.0,1487.4
Pyrobaculum_aerophilum_str_IM2-contig1_1350	TIGR03626,1.1e-142,472.0
Pyrobaculum_aerophilum_str_IM2-contig1_444	TIGR03627,1.1e-60,200.9
Pyrobaculum_aerophilum_str_IM2-contig1_2249	TIGR03628,1.7e-62,206.3
Pyrobaculum_aerophilum_str_IM2-contig1_2176	TIGR03629,6.8e-61,201.9
Pyrobaculum_aerophilum_str_IM2-contig1_435	TIGR03670,0.0,1012.2
Pyrobaculum_aerophilum_str_IM2-contig1_2361	TIGR03671,1.1e-140,466.2
Pyrobaculum_aerophilum_str_IM2-contig1_1351	TIGR03672,5.4e-107,354.1
Pyrobaculum_aerophilum_str_IM2-contig1_2218	TIGR03673,4.8e-62,204.8
Pyrobaculum_aerophilum_str_IM2-contig1_463	TIGR03674,3.4e-145,480.5
Pyrobaculum_aerophilum_str_IM2-contig1_2043	TIGR03676,8.4e-136,450.1
Pyrobaculum_aerophilum_str_IM2-contig1_41	TIGR03680,3.7e-182,603.2
