Gene Id	Top hits (Family id,e-value,bitscore)
Thaumarchaeota_ASW2_bin45_contig10_6	PF01025.20,5.5e-43,142.5
Thaumarchaeota_ASW2_bin45_contig23_31	PF01090.20,4e-51,168.3
Thaumarchaeota_ASW2_bin45_contig25_4	PF00827.18,2.6e-57,189.6
Thaumarchaeota_ASW2_bin45_contig42_1	PF01015.19,4e-55,182.3
Thaumarchaeota_ASW2_bin45_contig46_2	PF01280.21,7.7e-35,116.0
Thaumarchaeota_ASW2_bin45_contig46_31	PF00687.22,1.6e-41,138.3
Thaumarchaeota_ASW2_bin45_contig46_32	PF00466.21,4.3e-21,70.9
Thaumarchaeota_ASW2_bin45_contig4_18	PF04919.13,9.2e-49,161.8
Thaumarchaeota_ASW2_bin45_contig6_10	PF01000.27,7.8e-28,93.1
Thaumarchaeota_ASW2_bin45_contig6_13	PF00380.20,8.9e-32,106.2
Thaumarchaeota_ASW2_bin45_contig6_30	PF01200.19,3.2e-32,106.3
