Gene Id	Top hits (Family id,e-value,bitscore)
Thaumarchaeota_archaeon_RBG_16_49_8-contig2_1	TIGR00037,3.4e-44,146.4
Thaumarchaeota_archaeon_RBG_16_49_8-contig39_31	TIGR00064,1e-90,300.3
Thaumarchaeota_archaeon_RBG_16_49_8-contig30_4	TIGR00065,4.2e-103,341.9
Thaumarchaeota_archaeon_RBG_16_49_8-contig74_4	TIGR00111,1.1e-47,159.5
Thaumarchaeota_archaeon_RBG_16_49_8-contig45_2	TIGR00134,8.6e-199,658.3
Thaumarchaeota_archaeon_RBG_16_49_8-contig104_2	TIGR00279,3.5e-45,150.3
Thaumarchaeota_archaeon_RBG_16_49_8-contig51_8	TIGR00291,5.3e-65,215.6
Thaumarchaeota_archaeon_RBG_16_49_8-contig44_4	TIGR00337,4.3e-229,758.0
Thaumarchaeota_archaeon_RBG_16_49_8-contig120_2	TIGR00373,4.3e-31,104.2
Thaumarchaeota_archaeon_RBG_16_49_8-contig48_5	TIGR00398,6.7e-112,371.4
Thaumarchaeota_archaeon_RBG_16_49_8-contig39_22	TIGR00405,1.1e-41,138.8
Thaumarchaeota_archaeon_RBG_16_49_8-contig6_14	TIGR00414,2e-154,511.1
Thaumarchaeota_archaeon_RBG_16_49_8-contig27_6	TIGR00431,5e-36,120.9
Thaumarchaeota_archaeon_RBG_16_49_8-contig36_7	TIGR00435,6.5e-121,401.1
Thaumarchaeota_archaeon_RBG_16_49_8-contig65_35	TIGR00442,1.4e-84,280.9
Thaumarchaeota_archaeon_RBG_16_49_8-contig121_14	TIGR00448,2.8e-50,166.9
Thaumarchaeota_archaeon_RBG_16_49_8-contig110_13	TIGR00483,1.7e-184,609.7
Thaumarchaeota_archaeon_RBG_16_49_8-contig12_9	TIGR00491,7.1e-211,698.2
Thaumarchaeota_archaeon_RBG_16_49_8-contig49_47	TIGR00928,2.3e-111,369.2
Thaumarchaeota_archaeon_RBG_16_49_8-contig27_10	TIGR00967,2.5e-79,263.6
Thaumarchaeota_archaeon_RBG_16_49_8-contig110_15	TIGR00982,2.6e-73,240.8
Thaumarchaeota_archaeon_RBG_16_49_8-contig65_11	TIGR01008,2.8e-64,213.0
Thaumarchaeota_archaeon_RBG_16_49_8-contig72_3	TIGR01012,3.9e-74,245.0
Thaumarchaeota_archaeon_RBG_16_49_8-contig37_2	TIGR01018,3.5e-30,101.7
Thaumarchaeota_archaeon_RBG_16_49_8-contig65_25	TIGR01020,9.2e-77,253.8
Thaumarchaeota_archaeon_RBG_16_49_8-contig7_5	TIGR01052,9.5e-145,479.2
Thaumarchaeota_archaeon_RBG_16_49_8-contig4_33	TIGR01213,7.7e-65,215.6
Thaumarchaeota_archaeon_RBG_16_49_8-contig110_16	TIGR01952,1.9e-46,154.4
Thaumarchaeota_archaeon_RBG_16_49_8-contig96_11	TIGR02350,3e-269,890.9
Thaumarchaeota_archaeon_RBG_16_49_8-contig65_3	TIGR03626,5.3e-105,347.5
Thaumarchaeota_archaeon_RBG_16_49_8-contig37_1	TIGR03628,7.1e-59,194.0
Thaumarchaeota_archaeon_RBG_16_49_8-contig8_14	TIGR03676,5.1e-51,170.3
