Gene Id	Top hits (Family id,e-value,bitscore)
Nitrosopumilus_sp_D3C-contig1_1466	TIGR00037,3.4e-36,120.9
Nitrosopumilus_sp_D3C-contig1_1680	TIGR00064,9.9e-94,310.6
Nitrosopumilus_sp_D3C-contig1_1998	TIGR00111,7.8e-56,186.7
Nitrosopumilus_sp_D3C-contig1_2007	TIGR00134,1e-182,605.6
Nitrosopumilus_sp_D3C-contig1_739	TIGR00194,5.6e-144,477.8
Nitrosopumilus_sp_D3C-contig1_1621	TIGR00279,3.5e-45,150.7
Nitrosopumilus_sp_D3C-contig1_1643	TIGR00291,1.4e-64,214.6
Nitrosopumilus_sp_D3C-contig1_367	TIGR00323,1.4e-54,181.6
Nitrosopumilus_sp_D3C-contig1_2043	TIGR00335,3.9e-39,131.8
Nitrosopumilus_sp_D3C-contig1_987	TIGR00337,1.5e-228,756.6
Nitrosopumilus_sp_D3C-contig1_1730	TIGR00344,3.7e-158,525.2
Nitrosopumilus_sp_D3C-contig1_187	TIGR00373,6.7e-33,110.4
Nitrosopumilus_sp_D3C-contig1_703	TIGR00392,8.4e-207,686.1
Nitrosopumilus_sp_D3C-contig1_930	TIGR00398,2.4e-152,505.3
Nitrosopumilus_sp_D3C-contig1_1691	TIGR00405,1.5e-36,122.5
Nitrosopumilus_sp_D3C-contig1_1873	TIGR00414,1.1e-165,548.6
Nitrosopumilus_sp_D3C-contig1_1670	TIGR00431,4.8e-35,118.1
Nitrosopumilus_sp_D3C-contig1_926	TIGR00435,2e-156,518.6
Nitrosopumilus_sp_D3C-contig1_366	TIGR00442,1.6e-101,337.1
Nitrosopumilus_sp_D3C-contig1_615	TIGR00448,2.9e-56,186.8
Nitrosopumilus_sp_D3C-contig1_1294	TIGR00456,5.1e-113,375.3
Nitrosopumilus_sp_D3C-contig1_1847	TIGR00468,8.9e-103,340.8
Nitrosopumilus_sp_D3C-contig1_856	TIGR00483,5.7e-198,654.5
Nitrosopumilus_sp_D3C-contig1_357	TIGR00491,4.5e-203,672.8
Nitrosopumilus_sp_D3C-contig1_565	TIGR00522,9.5e-55,182.7
Nitrosopumilus_sp_D3C-contig1_737	TIGR00631,4.4e-290,960.5
Nitrosopumilus_sp_D3C-contig1_1755	TIGR00755,1.3e-50,169.0
Nitrosopumilus_sp_D3C-contig1_1827	TIGR00928,1.6e-130,432.7
Nitrosopumilus_sp_D3C-contig1_1674	TIGR00967,2.2e-79,264.2
Nitrosopumilus_sp_D3C-contig1_496	TIGR00982,3.9e-67,221.2
Nitrosopumilus_sp_D3C-contig1_1142	TIGR01008,4.1e-60,199.8
Nitrosopumilus_sp_D3C-contig1_456	TIGR01012,1.1e-66,221.0
Nitrosopumilus_sp_D3C-contig1_465	TIGR01018,8.4e-49,162.5
Nitrosopumilus_sp_D3C-contig1_1677	TIGR01020,1.3e-73,243.8
Nitrosopumilus_sp_D3C-contig1_497	TIGR01028,2.4e-66,219.9
Nitrosopumilus_sp_D3C-contig1_857	TIGR01046,3.4e-39,130.2
Nitrosopumilus_sp_D3C-contig1_1783	TIGR01052,1.5e-136,452.6
Nitrosopumilus_sp_D3C-contig1_1463	TIGR01213,2.9e-54,181.2
Nitrosopumilus_sp_D3C-contig1_227	TIGR01302,1.1e-164,545.5
Nitrosopumilus_sp_D3C-contig1_495	TIGR01952,1.4e-45,152.0
Nitrosopumilus_sp_D3C-contig1_1761	TIGR02236,1.8e-120,398.9
Nitrosopumilus_sp_D3C-contig1_1637	TIGR02338,1.1e-28,96.3
Nitrosopumilus_sp_D3C-contig1_2011	TIGR02350,1.4e-254,842.8
Nitrosopumilus_sp_D3C-contig1_490	TIGR02390,0.0,1218.7
Nitrosopumilus_sp_D3C-contig1_1137	TIGR03626,1.4e-102,339.9
Nitrosopumilus_sp_D3C-contig1_1821	TIGR03628,1.1e-55,184.1
Nitrosopumilus_sp_D3C-contig1_489	TIGR03670,3.5e-265,877.8
Nitrosopumilus_sp_D3C-contig1_2125	TIGR03671,1.5e-107,356.9
Nitrosopumilus_sp_D3C-contig1_1138	TIGR03672,1.6e-80,267.1
Nitrosopumilus_sp_D3C-contig1_1261	TIGR03674,8.3e-129,426.4
Nitrosopumilus_sp_D3C-contig1_1041	TIGR03676,5.8e-125,414.1
Nitrosopumilus_sp_D3C-contig1_2037	TIGR03680,2.3e-176,583.8
