Gene Id	Top hits (Family id,e-value,bitscore)
Thermoplasma_volcanium_GSS1-contig1_1237	PF00380.20,6.2e-33,110.5
Thermoplasma_volcanium_GSS1-contig1_1355	PF01015.19,1.4e-53,178.0
Thermoplasma_volcanium_GSS1-contig1_332	PF04919.13,3.1e-70,232.4
Thermoplasma_volcanium_GSS1-contig1_355	PF00900.21,1.4e-19,66.4
Thermoplasma_volcanium_GSS1-contig1_358	PF00410.20,7.9e-26,87.1
Thermoplasma_volcanium_GSS1-contig1_361	PF01280.21,1.6e-43,144.8
Thermoplasma_volcanium_GSS1-contig1_431	PF07541.13,3.6e-18,62.4
Thermoplasma_volcanium_GSS1-contig1_440	PF00466.21,1.7e-21,72.9
Thermoplasma_volcanium_GSS1-contig1_441	PF00687.22,1.8e-44,148.5
Thermoplasma_volcanium_GSS1-contig1_469	PF01200.19,9.4e-33,108.7
Thermoplasma_volcanium_GSS1-contig1_510	PF01025.20,2.6e-35,118.2
Thermoplasma_volcanium_GSS1-contig1_561	PF00827.18,1.3e-78,259.7
Thermoplasma_volcanium_GSS1-contig1_591	PF01000.27,1.6e-21,73.4
Thermoplasma_volcanium_GSS1-contig1_7	PF01090.20,1.2e-49,164.2
