Gene Id	Top hits (Family id,e-value,bitscore)
Nitrosopumilus_adriaticus_strain_NF5-contig1_1260	PF00900.21,1.1e-20,70.4
Nitrosopumilus_adriaticus_strain_NF5-contig1_1263	PF00410.20,1.1e-21,74.2
Nitrosopumilus_adriaticus_strain_NF5-contig1_1732	PF01000.27,6.8e-26,87.9
Nitrosopumilus_adriaticus_strain_NF5-contig1_1735	PF00380.20,9e-34,113.7
Nitrosopumilus_adriaticus_strain_NF5-contig1_1776	PF01280.21,7e-42,139.9
Nitrosopumilus_adriaticus_strain_NF5-contig1_1790	PF00687.22,6.2e-41,137.4
Nitrosopumilus_adriaticus_strain_NF5-contig1_1791	PF00466.21,5.2e-20,68.5
Nitrosopumilus_adriaticus_strain_NF5-contig1_2023	PF01200.19,1.4e-28,95.7
Nitrosopumilus_adriaticus_strain_NF5-contig1_2174	PF01025.20,2.1e-39,131.9
Nitrosopumilus_adriaticus_strain_NF5-contig1_2194	PF07541.13,6.1e-19,65.3
Nitrosopumilus_adriaticus_strain_NF5-contig1_258	PF01090.20,8.3e-51,168.3
Nitrosopumilus_adriaticus_strain_NF5-contig1_381	PF01015.19,1.7e-63,210.7
Nitrosopumilus_adriaticus_strain_NF5-contig1_494	PF04919.13,2.4e-51,171.3
Nitrosopumilus_adriaticus_strain_NF5-contig1_682	PF00827.18,2.3e-47,158.2
