Gene Id	Top hits (Family id,e-value,bitscore)
HMT_AABW_contig31_6	TIGR00037,9.7e-42,137.6
HMT_AABW_contig3_35	TIGR00064,9.6e-87,286.4
HMT_AABW_contig18_23	TIGR00111,1.5e-55,184.5
HMT_AABW_contig10_19	TIGR00134,1.4e-190,630.2
HMT_AABW_contig18_18	TIGR00279,4.3e-50,165.5
HMT_AABW_contig8_26	TIGR00291,7.2e-62,204.5
HMT_AABW_contig3_37	TIGR00323,4.2e-48,159.2
HMT_AABW_contig5_36	TIGR00337,2.6e-226,748.0
HMT_AABW_contig1_76	TIGR00344,2.9e-171,567.3
HMT_AABW_contig19_5	TIGR00373,1.1e-32,108.5
HMT_AABW_contig12_2	TIGR00392,5.5e-198,655.7
HMT_AABW_contig29_2	TIGR00398,1.9e-157,520.8
HMT_AABW_contig14_4	TIGR00405,2.9e-35,117.1
HMT_AABW_contig25_3	TIGR00414,4.9e-157,518.9
HMT_AABW_contig14_23	TIGR00431,2.1e-35,118.0
HMT_AABW_contig2_68	TIGR00435,4e-150,496.6
HMT_AABW_contig3_9	TIGR00442,1.2e-83,277.0
HMT_AABW_contig17_23	TIGR00448,2.2e-50,166.5
HMT_AABW_contig15_18	TIGR00456,7.4e-102,337.2
HMT_AABW_contig4_22	TIGR00468,3.4e-112,370.5
HMT_AABW_contig21_18	TIGR00483,9.3e-191,629.5
HMT_AABW_contig17_19	TIGR00491,6.4e-203,671.1
HMT_AABW_contig8_31	TIGR00522,1.2e-56,187.6
HMT_AABW_contig18_14	TIGR00755,2e-51,170.5
HMT_AABW_contig1_66	TIGR00928,1.5e-105,349.1
HMT_AABW_contig14_26	TIGR00967,1.2e-80,267.1
HMT_AABW_contig1_3	TIGR00982,1.3e-73,241.0
HMT_AABW_contig11_29	TIGR01008,2.5e-59,196.0
HMT_AABW_contig17_2	TIGR01012,6.1e-71,233.7
HMT_AABW_contig14_29	TIGR01020,1.6e-72,239.1
HMT_AABW_contig1_2	TIGR01028,2e-70,232.0
HMT_AABW_contig16_12	TIGR01046,4.3e-42,138.3
HMT_AABW_contig2_40	TIGR01052,3.2e-140,463.4
HMT_AABW_contig9_4	TIGR01213,1.6e-39,131.5
HMT_AABW_contig12_18	TIGR01302,1.9e-164,543.5
HMT_AABW_contig1_4	TIGR01952,6.1e-45,148.7
HMT_AABW_contig1_14	TIGR02236,5.2e-115,379.7
HMT_AABW_contig8_20	TIGR02338,7.2e-29,95.7
HMT_AABW_contig31_8	TIGR02350,1.3e-256,848.3
HMT_AABW_contig1_6	TIGR02390,0.0,1220.8
HMT_AABW_contig11_23	TIGR03626,1.7e-105,348.3
HMT_AABW_contig1_7	TIGR03670,2e-272,900.5
HMT_AABW_contig8_15	TIGR03671,7.2e-102,336.9
HMT_AABW_contig11_24	TIGR03672,8.1e-83,273.4
HMT_AABW_contig1_16	TIGR03674,6.8e-133,438.6
HMT_AABW_contig13_15	TIGR03676,2.4e-136,450.4
HMT_AABW_contig17_21	TIGR03680,2.3e-174,576.1
