Gene Id	Top hits (Family id,e-value,bitscore)
Methanocella_arvoryzae_MRE50-contig1_3117	TIGR00037,1.1e-51,171.5
Methanocella_arvoryzae_MRE50-contig1_2077	TIGR00054,7.6e-22,75.2
Methanocella_arvoryzae_MRE50-contig1_1840	TIGR00064,1.4e-99,330.3
Methanocella_arvoryzae_MRE50-contig1_21	TIGR00065,1.6e-128,426.4
Methanocella_arvoryzae_MRE50-contig1_34	TIGR00065,1.1e-127,423.6
Methanocella_arvoryzae_MRE50-contig1_487	TIGR00065,2.3e-69,231.8
Methanocella_arvoryzae_MRE50-contig1_598	TIGR00084,2.2e-45,151.9
Methanocella_arvoryzae_MRE50-contig1_2177	TIGR00111,2e-110,366.8
Methanocella_arvoryzae_MRE50-contig1_2447	TIGR00134,2.9e-258,855.6
Methanocella_arvoryzae_MRE50-contig1_1109	TIGR00279,4.2e-75,248.6
Methanocella_arvoryzae_MRE50-contig1_1011	TIGR00291,2.4e-94,312.5
Methanocella_arvoryzae_MRE50-contig1_1837	TIGR00323,3.6e-64,213.5
Methanocella_arvoryzae_MRE50-contig1_2919	TIGR00335,2.8e-62,208.4
Methanocella_arvoryzae_MRE50-contig1_1296	TIGR00337,1.4e-240,796.8
Methanocella_arvoryzae_MRE50-contig1_1921	TIGR00344,6.4e-155,515.0
Methanocella_arvoryzae_MRE50-contig1_2938	TIGR00373,3.3e-36,121.7
Methanocella_arvoryzae_MRE50-contig1_2369	TIGR00392,3.2e-291,965.9
Methanocella_arvoryzae_MRE50-contig1_150	TIGR00398,1.6e-166,552.6
Methanocella_arvoryzae_MRE50-contig1_23	TIGR00405,3e-57,190.2
Methanocella_arvoryzae_MRE50-contig1_2977	TIGR00414,5.3e-157,520.5
Methanocella_arvoryzae_MRE50-contig1_641	TIGR00431,2e-39,132.9
Methanocella_arvoryzae_MRE50-contig1_188	TIGR00435,3e-162,538.3
Methanocella_arvoryzae_MRE50-contig1_3104	TIGR00442,3.3e-115,382.7
Methanocella_arvoryzae_MRE50-contig1_1094	TIGR00448,1.1e-72,240.9
Methanocella_arvoryzae_MRE50-contig1_2218	TIGR00456,4.9e-161,534.3
Methanocella_arvoryzae_MRE50-contig1_312	TIGR00468,8.6e-99,328.3
Methanocella_arvoryzae_MRE50-contig1_2859	TIGR00483,1.5e-217,719.6
Methanocella_arvoryzae_MRE50-contig1_3046	TIGR00491,7.3e-243,804.8
Methanocella_arvoryzae_MRE50-contig1_61	TIGR00522,1.1e-98,327.2
Methanocella_arvoryzae_MRE50-contig1_596	TIGR00635,2e-67,224.9
Methanocella_arvoryzae_MRE50-contig1_819	TIGR00755,2.2e-76,254.0
Methanocella_arvoryzae_MRE50-contig1_762	TIGR00928,7.3e-159,526.6
Methanocella_arvoryzae_MRE50-contig1_646	TIGR00967,4.8e-85,283.4
Methanocella_arvoryzae_MRE50-contig1_2862	TIGR00982,5.9e-75,247.1
Methanocella_arvoryzae_MRE50-contig1_664	TIGR01008,8.4e-80,264.6
Methanocella_arvoryzae_MRE50-contig1_2826	TIGR01012,9.7e-86,283.7
Methanocella_arvoryzae_MRE50-contig1_636	TIGR01018,2e-62,207.3
Methanocella_arvoryzae_MRE50-contig1_649	TIGR01020,8e-94,310.4
Methanocella_arvoryzae_MRE50-contig1_2861	TIGR01028,3.8e-82,271.9
Methanocella_arvoryzae_MRE50-contig1_2858	TIGR01046,1.5e-48,160.7
Methanocella_arvoryzae_MRE50-contig1_3048	TIGR01052,1.6e-164,545.4
Methanocella_arvoryzae_MRE50-contig1_1813	TIGR01052,8.6e-123,407.7
Methanocella_arvoryzae_MRE50-contig1_2615	TIGR01059,0.0,1032.6
Methanocella_arvoryzae_MRE50-contig1_2616	TIGR01063,0.0,1197.7
Methanocella_arvoryzae_MRE50-contig1_823	TIGR01213,6.3e-133,440.7
Methanocella_arvoryzae_MRE50-contig1_2122	TIGR01302,5.2e-179,593.2
Methanocella_arvoryzae_MRE50-contig1_2863	TIGR01952,1.9e-53,178.0
Methanocella_arvoryzae_MRE50-contig1_1890	TIGR02236,5.7e-160,529.2
Methanocella_arvoryzae_MRE50-contig1_1004	TIGR02338,2e-36,121.8
Methanocella_arvoryzae_MRE50-contig1_2769	TIGR02350,1.8e-280,928.9
Methanocella_arvoryzae_MRE50-contig1_2865	TIGR02389,2.5e-153,507.9
Methanocella_arvoryzae_MRE50-contig1_2866	TIGR02390,0.0,1424.2
Methanocella_arvoryzae_MRE50-contig1_670	TIGR03626,4.1e-139,460.5
Methanocella_arvoryzae_MRE50-contig1_2822	TIGR03627,9.3e-58,191.6
Methanocella_arvoryzae_MRE50-contig1_635	TIGR03628,2.7e-65,215.6
Methanocella_arvoryzae_MRE50-contig1_637	TIGR03629,9.3e-64,211.5
Methanocella_arvoryzae_MRE50-contig1_2867	TIGR03670,8.6e-304,1005.8
Methanocella_arvoryzae_MRE50-contig1_1739	TIGR03671,6e-142,470.6
Methanocella_arvoryzae_MRE50-contig1_669	TIGR03672,1.5e-96,320.1
Methanocella_arvoryzae_MRE50-contig1_659	TIGR03673,6.8e-59,194.9
Methanocella_arvoryzae_MRE50-contig1_2182	TIGR03674,9.8e-148,489.2
Methanocella_arvoryzae_MRE50-contig1_2219	TIGR03676,1.9e-180,597.4
Methanocella_arvoryzae_MRE50-contig1_1092	TIGR03680,3e-208,689.4
