Gene Id	Top hits (Family id,e-value,bitscore)
HMT_PAC_contig1_26	PF01025.20,2.5e-26,88.2
HMT_PAC_contig2_10	PF00380.20,2.4e-32,107.9
HMT_PAC_contig2_27	PF01200.19,2.5e-31,103.3
HMT_PAC_contig2_7	PF01000.27,9.7e-27,89.5
HMT_PAC_contig4_18	PF01090.20,1.3e-49,163.3
HMT_PAC_contig56_2	PF00466.21,2.4e-21,71.7
HMT_PAC_contig56_3	PF00687.22,3.2e-42,140.4
HMT_PAC_contig6_9	PF04919.13,6.7e-50,165.4
HMT_PAC_contig7_16	PF00900.21,7e-16,53.8
HMT_PAC_contig7_19	PF00410.20,2.7e-24,81.4
HMT_PAC_contig7_22	PF01280.21,8.9e-34,112.5
HMT_PAC_contig91_2	PF00827.18,1.7e-53,177.1
