Gene Id	Top hits (Family id,e-value,bitscore)
Thaumarchaeota_ASW2_bin45_contig10_9	TIGR00037,1.8e-42,140.2
Thaumarchaeota_ASW2_bin45_contig23_41	TIGR00064,2e-89,295.4
Thaumarchaeota_ASW2_bin45_contig4_28	TIGR00111,2.2e-59,197.4
Thaumarchaeota_ASW2_bin45_contig8_12	TIGR00134,1.3e-190,630.5
Thaumarchaeota_ASW2_bin45_contig4_23	TIGR00279,1.3e-47,157.6
Thaumarchaeota_ASW2_bin45_contig1_30	TIGR00291,9.4e-64,210.8
Thaumarchaeota_ASW2_bin45_contig23_43	TIGR00323,2.4e-51,170.0
Thaumarchaeota_ASW2_bin45_contig34_14	TIGR00337,1.2e-222,736.1
Thaumarchaeota_ASW2_bin45_contig46_34	TIGR00344,1.8e-171,568.2
Thaumarchaeota_ASW2_bin45_contig43_22	TIGR00373,4.5e-34,113.2
Thaumarchaeota_ASW2_bin45_contig18_14	TIGR00392,4e-196,649.7
Thaumarchaeota_ASW2_bin45_contig9_14	TIGR00398,1.5e-158,524.6
Thaumarchaeota_ASW2_bin45_contig46_29	TIGR00405,1.8e-37,124.5
Thaumarchaeota_ASW2_bin45_contig45_16	TIGR00414,1.8e-161,533.7
Thaumarchaeota_ASW2_bin45_contig46_10	TIGR00431,7.3e-37,123.0
Thaumarchaeota_ASW2_bin45_contig12_75	TIGR00435,2e-151,501.1
Thaumarchaeota_ASW2_bin45_contig23_15	TIGR00442,8.7e-81,267.8
Thaumarchaeota_ASW2_bin45_contig19_4	TIGR00456,2.3e-105,348.9
Thaumarchaeota_ASW2_bin45_contig44_36	TIGR00468,8e-112,369.5
Thaumarchaeota_ASW2_bin45_contig16_23	TIGR00483,1.8e-186,615.6
Thaumarchaeota_ASW2_bin45_contig6_33	TIGR00491,1.7e-210,696.3
Thaumarchaeota_ASW2_bin45_contig1_35	TIGR00522,8.5e-55,181.8
Thaumarchaeota_ASW2_bin45_contig7_2	TIGR00928,1.6e-107,355.9
Thaumarchaeota_ASW2_bin45_contig46_7	TIGR00967,5.9e-83,274.9
Thaumarchaeota_ASW2_bin45_contig42_3	TIGR00982,1.9e-71,234.1
Thaumarchaeota_ASW2_bin45_contig3_1	TIGR01008,4.9e-59,195.2
Thaumarchaeota_ASW2_bin45_contig6_16	TIGR01012,3e-70,231.6
Thaumarchaeota_ASW2_bin45_contig6_8	TIGR01018,7.6e-55,181.2
Thaumarchaeota_ASW2_bin45_contig46_4	TIGR01020,2e-73,242.2
Thaumarchaeota_ASW2_bin45_contig42_2	TIGR01028,8.6e-69,226.8
Thaumarchaeota_ASW2_bin45_contig15_8	TIGR01046,2e-42,139.5
Thaumarchaeota_ASW2_bin45_contig12_45	TIGR01052,6.1e-138,456.1
Thaumarchaeota_ASW2_bin45_contig10_3	TIGR01213,1.5e-38,128.4
Thaumarchaeota_ASW2_bin45_contig11_4	TIGR01302,2.2e-166,550.1
Thaumarchaeota_ASW2_bin45_contig42_4	TIGR01952,4.3e-45,149.4
Thaumarchaeota_ASW2_bin45_contig42_14	TIGR02236,1.1e-120,398.6
Thaumarchaeota_ASW2_bin45_contig1_24	TIGR02338,2.9e-28,94.0
Thaumarchaeota_ASW2_bin45_contig10_7	TIGR02350,7.8e-260,859.2
Thaumarchaeota_ASW2_bin45_contig42_6	TIGR02390,0.0,1203.6
Thaumarchaeota_ASW2_bin45_contig3_7	TIGR03626,3.7e-104,344.0
Thaumarchaeota_ASW2_bin45_contig6_7	TIGR03628,1.1e-55,183.1
Thaumarchaeota_ASW2_bin45_contig42_7	TIGR03670,4.3e-273,902.8
Thaumarchaeota_ASW2_bin45_contig1_19	TIGR03671,3.2e-98,325.1
Thaumarchaeota_ASW2_bin45_contig3_6	TIGR03672,1.6e-83,275.9
Thaumarchaeota_ASW2_bin45_contig42_16	TIGR03674,1.9e-130,430.7
Thaumarchaeota_ASW2_bin45_contig45_31	TIGR03676,5.7e-138,455.9
Thaumarchaeota_ASW2_bin45_contig38_5	TIGR03676,5.5e-116,383.5
