Gene Id	Top hits (Family id,e-value,bitscore)
Metallosphaera_sedula_DSM_5348-contig1_104	PF00900.21,5.7e-19,65.0
Metallosphaera_sedula_DSM_5348-contig1_106	PF00410.20,2e-26,89.6
Metallosphaera_sedula_DSM_5348-contig1_109	PF01280.21,9.6e-48,159.0
Metallosphaera_sedula_DSM_5348-contig1_1702	PF01090.20,9.3e-45,148.8
Metallosphaera_sedula_DSM_5348-contig1_1713	PF00687.22,6.1e-33,111.4
Metallosphaera_sedula_DSM_5348-contig1_1714	PF00466.21,9.5e-28,93.5
Metallosphaera_sedula_DSM_5348-contig1_1886	PF07541.13,1.8e-23,80.0
Metallosphaera_sedula_DSM_5348-contig1_2236	PF00380.20,4.2e-28,95.5
Metallosphaera_sedula_DSM_5348-contig1_2239	PF01000.27,7.5e-31,104.0
Metallosphaera_sedula_DSM_5348-contig1_27	PF01200.19,1.9e-31,105.0
Metallosphaera_sedula_DSM_5348-contig1_64	PF04919.13,1e-58,195.4
Metallosphaera_sedula_DSM_5348-contig1_68	PF01015.19,1.6e-69,230.5
Metallosphaera_sedula_DSM_5348-contig1_71	PF00827.18,6.5e-75,248.1
