Gene Id	Top hits (Family id,e-value,bitscore)
XS84_Bin3_contig145_1	PF00687.22,3.6e-15,52.5
XS84_Bin3_contig145_2	PF00466.21,3.3e-19,65.2
XS84_Bin3_contig167_5	PF01000.27,1.7e-26,89.1
XS84_Bin3_contig17_1	PF00380.20,1e-31,106.2
XS84_Bin3_contig38_11	PF00827.18,5.2e-49,162.8
XS84_Bin3_contig3_12	PF00900.21,6.1e-18,60.8
XS84_Bin3_contig3_6	PF01280.21,3.8e-44,146.5
XS84_Bin3_contig3_9	PF00410.20,1.7e-21,72.8
XS84_Bin3_contig55_3	PF01090.20,1.9e-51,169.6
XS84_Bin3_contig68_9	PF04919.13,8.9e-53,175.2
XS84_Bin3_contig79_4	PF07541.13,2.6e-22,75.4
XS84_Bin3_contig79_9	PF01025.20,4.2e-44,146.4
XS84_Bin3_contig80_12	PF01200.19,1.6e-30,101.1
