Gene Id	Top hits (Family id,e-value,bitscore)
Thaumarchaeota_archaeon_SAT139_contig6_95	TIGR00037,5.1e-42,138.6
Thaumarchaeota_archaeon_SAT139_contig10_10	TIGR00054,2.7e-74,246.3
Thaumarchaeota_archaeon_SAT139_contig6_6	TIGR00064,1.5e-90,299.1
Thaumarchaeota_archaeon_SAT139_contig1_13	TIGR00092,8.2e-131,432.3
Thaumarchaeota_archaeon_SAT139_contig6_51	TIGR00111,5.1e-53,176.4
Thaumarchaeota_archaeon_SAT139_contig4_13	TIGR00134,1.9e-190,630.0
Thaumarchaeota_archaeon_SAT139_contig6_56	TIGR00279,4.2e-48,159.1
Thaumarchaeota_archaeon_SAT139_contig9_56	TIGR00291,1.2e-63,210.4
Thaumarchaeota_archaeon_SAT139_contig6_4	TIGR00323,3.3e-55,182.6
Thaumarchaeota_archaeon_SAT139_contig14_12	TIGR00335,2.6e-41,137.9
Thaumarchaeota_archaeon_SAT139_contig17_56	TIGR00337,1e-221,732.9
Thaumarchaeota_archaeon_SAT139_contig11_63	TIGR00344,9.2e-171,565.8
Thaumarchaeota_archaeon_SAT139_contig19_10	TIGR00373,1.2e-30,102.0
Thaumarchaeota_archaeon_SAT139_contig11_68	TIGR00405,2.8e-35,117.3
Thaumarchaeota_archaeon_SAT139_contig5_51	TIGR00414,1.2e-156,517.8
Thaumarchaeota_archaeon_SAT139_contig11_89	TIGR00431,2.3e-37,124.5
Thaumarchaeota_archaeon_SAT139_contig18_48	TIGR00456,7.9e-102,337.2
Thaumarchaeota_archaeon_SAT139_contig13_48	TIGR00468,5.7e-112,369.9
Thaumarchaeota_archaeon_SAT139_contig9_26	TIGR00483,5.6e-188,620.5
Thaumarchaeota_archaeon_SAT139_contig13_2	TIGR00491,2e-204,676.2
Thaumarchaeota_archaeon_SAT139_contig9_62	TIGR00522,4.1e-62,205.7
Thaumarchaeota_archaeon_SAT139_contig6_60	TIGR00755,2.5e-52,173.6
Thaumarchaeota_archaeon_SAT139_contig11_52	TIGR00928,3.8e-107,354.5
Thaumarchaeota_archaeon_SAT139_contig11_92	TIGR00967,8.2e-79,261.2
Thaumarchaeota_archaeon_SAT139_contig12_12	TIGR00982,4.2e-71,233.0
Thaumarchaeota_archaeon_SAT139_contig21_1	TIGR01008,8.4e-59,194.4
Thaumarchaeota_archaeon_SAT139_contig13_18	TIGR01012,9.4e-68,223.4
Thaumarchaeota_archaeon_SAT139_contig13_26	TIGR01018,1.5e-52,173.6
Thaumarchaeota_archaeon_SAT139_contig11_95	TIGR01020,3.2e-75,248.0
Thaumarchaeota_archaeon_SAT139_contig12_13	TIGR01028,2.4e-68,225.3
Thaumarchaeota_archaeon_SAT139_contig19_39	TIGR01046,3.4e-39,129.1
Thaumarchaeota_archaeon_SAT139_contig6_101	TIGR01213,2e-50,167.5
Thaumarchaeota_archaeon_SAT139_contig12_11	TIGR01952,2.5e-42,140.4
Thaumarchaeota_archaeon_SAT139_contig12_1	TIGR02236,1.2e-119,395.1
Thaumarchaeota_archaeon_SAT139_contig9_50	TIGR02338,6.2e-29,96.1
Thaumarchaeota_archaeon_SAT139_contig6_97	TIGR02350,2e-212,702.6
Thaumarchaeota_archaeon_SAT139_contig12_9	TIGR02390,0.0,1199.2
Thaumarchaeota_archaeon_SAT139_contig21_7	TIGR03626,4.5e-103,340.4
Thaumarchaeota_archaeon_SAT139_contig13_27	TIGR03628,2.1e-57,188.6
Thaumarchaeota_archaeon_SAT139_contig12_8	TIGR03670,2.9e-268,886.9
Thaumarchaeota_archaeon_SAT139_contig9_45	TIGR03671,5.1e-103,340.8
Thaumarchaeota_archaeon_SAT139_contig21_6	TIGR03672,1.2e-81,269.7
Thaumarchaeota_archaeon_SAT139_contig11_2	TIGR03674,8.6e-128,422.0
Thaumarchaeota_archaeon_SAT139_contig5_37	TIGR03676,5.7e-78,258.3
