Gene Id	Top hits (Family id,e-value,bitscore)
k141_630_length_3293_cov_10.0000_5	TIGR00037,1.7e-44,147.1
k141_203_length_720_cov_6.0000_2	TIGR00064,7.4e-80,264.4
k141_545_length_510_cov_5.0000_1	TIGR00158,4.1e-43,143.6
k141_580_length_1040_cov_6.0000_3	TIGR00279,4.3e-31,104.1
k141_665_length_1875_cov_6.0000_3	TIGR00291,2.1e-39,131.5
k141_637_length_6076_cov_10.9176_7	TIGR00337,1.8e-95,316.7
k141_103_length_2736_cov_9.0000_1	TIGR00344,3e-173,574.4
k141_78_length_2562_cov_9.0000_1	TIGR00373,8.6e-27,89.8
k141_733_length_2002_cov_7.0000_2	TIGR00405,1.5e-27,92.6
k141_286_length_10362_cov_12.0000_3	TIGR00414,1.2e-152,504.9
k141_317_length_1752_cov_10.0000_2	TIGR00431,1.1e-34,116.2
k141_610_length_6739_cov_11.2040_4	TIGR00435,2.4e-141,468.2
k141_761_length_4225_cov_9.0000_3	TIGR00442,3.2e-96,319.0
k141_729_length_1001_cov_6.0000_1	TIGR00448,3.8e-56,185.7
k141_618_length_4736_cov_9.0000_5	TIGR00456,3.9e-97,322.1
k141_331_length_1439_cov_10.0000_2	TIGR00468,3.7e-102,338.1
k141_315_length_5404_cov_10.0000_3	TIGR00491,2.5e-203,673.0
k141_278_length_2204_cov_6.0000_1	TIGR00522,1.2e-56,188.2
k141_589_length_1451_cov_10.0000_1	TIGR00755,1.3e-50,168.3
k141_636_length_1957_cov_9.0000_2	TIGR00928,1.2e-98,327.0
k141_741_length_3722_cov_9.0000_5	TIGR00982,2.4e-72,237.4
k141_624_length_3196_cov_7.0000_6	TIGR01008,3.3e-41,137.4
k141_603_length_3618_cov_11.0000_3	TIGR01012,5.2e-67,221.4
k141_211_length_408_cov_2.0000_1	TIGR01017,6.7e-22,74.4
k141_189_length_4432_cov_10.0000_4	TIGR01018,1.4e-52,174.1
k141_290_length_2892_cov_9.0000_5	TIGR01020,5.2e-73,241.2
k141_741_length_3722_cov_9.0000_4	TIGR01028,5.7e-71,234.3
k141_366_length_1972_cov_10.0000_3	TIGR01046,3e-43,142.5
k141_205_length_6094_cov_9.0000_3	TIGR01052,7.1e-138,456.2
k141_401_length_2375_cov_10.0000_3	TIGR01213,2.3e-45,151.2
k141_432_length_658_cov_5.0000_1	TIGR01952,5.9e-30,100.7
k141_677_length_5448_cov_9.0000_4	TIGR02236,2.4e-116,384.7
k141_739_length_1611_cov_6.0000_1	TIGR02338,2.7e-29,97.6
k141_678_length_4123_cov_10.0000_3	TIGR02350,3.1e-263,870.7
k141_45_length_1102_cov_7.0000_1	TIGR02389,7e-127,419.6
k141_189_length_4432_cov_10.0000_3	TIGR03628,2e-57,189.1
k141_602_length_3471_cov_9.0000_3	TIGR03671,1e-106,353.4
k141_624_length_3196_cov_7.0000_1	TIGR03672,9.6e-81,267.1
k141_259_length_3412_cov_6.0000_4	TIGR03674,1.2e-126,418.6
k141_155_length_2452_cov_12.0000_2	TIGR03676,2.8e-132,437.6
k141_315_length_5404_cov_10.0000_1	TIGR03680,1.5e-177,587.1
