Gene Id	Top hits (Family id,e-value,bitscore)
Thaumarchaeota_archaeon_SCGC_AAA007-O23-contig10_7	PF00827.18,5e-44,146.6
Thaumarchaeota_archaeon_SCGC_AAA007-O23-contig12_1	PF01200.19,1.1e-30,101.8
Thaumarchaeota_archaeon_SCGC_AAA007-O23-contig13_28	PF01090.20,5.1e-49,161.9
Thaumarchaeota_archaeon_SCGC_AAA007-O23-contig14_15	PF04919.13,1.4e-46,155.0
Thaumarchaeota_archaeon_SCGC_AAA007-O23-contig1_33	PF01000.27,5e-21,71.6
Thaumarchaeota_archaeon_SCGC_AAA007-O23-contig1_36	PF00380.20,3.8e-27,91.6
Thaumarchaeota_archaeon_SCGC_AAA007-O23-contig1_69	PF01280.21,3.5e-39,130.5
Thaumarchaeota_archaeon_SCGC_AAA007-O23-contig1_76	PF00687.22,5.1e-39,130.5
Thaumarchaeota_archaeon_SCGC_AAA007-O23-contig1_77	PF00466.21,3.4e-18,62.0
Thaumarchaeota_archaeon_SCGC_AAA007-O23-contig27_52	PF01025.20,2.2e-25,85.6
Thaumarchaeota_archaeon_SCGC_AAA007-O23-contig29_16	PF07541.13,8e-19,64.2
Thaumarchaeota_archaeon_SCGC_AAA007-O23-contig32_262	PF00900.21,8.3e-22,73.3
Thaumarchaeota_archaeon_SCGC_AAA007-O23-contig32_265	PF00410.20,1.6e-24,82.6
Thaumarchaeota_archaeon_SCGC_AAA007-O23-contig5_67	PF01015.19,3.9e-58,192.5
