Gene Id	Top hits (Family id,e-value,bitscore)
Nitrosarchaeum_koreense_MY1-contig1_1368	PF00827.18,7.2e-46,153.1
Nitrosarchaeum_koreense_MY1-contig1_1457	PF04919.13,1.3e-49,165.5
Nitrosarchaeum_koreense_MY1-contig1_1564	PF01015.19,2.8e-64,213.1
Nitrosarchaeum_koreense_MY1-contig1_16	PF07541.13,8.3e-21,71.1
Nitrosarchaeum_koreense_MY1-contig1_168	PF01200.19,3.8e-29,97.3
Nitrosarchaeum_koreense_MY1-contig1_1682	PF01090.20,6e-49,162.1
Nitrosarchaeum_koreense_MY1-contig1_317	PF00466.21,1.4e-20,70.2
Nitrosarchaeum_koreense_MY1-contig1_318	PF00687.22,5.3e-39,130.9
Nitrosarchaeum_koreense_MY1-contig1_325	PF01280.21,1.5e-39,132.1
Nitrosarchaeum_koreense_MY1-contig1_35	PF01025.20,3.6e-39,130.9
Nitrosarchaeum_koreense_MY1-contig1_364	PF00380.20,6.2e-35,117.2
Nitrosarchaeum_koreense_MY1-contig1_367	PF01000.27,3e-26,88.8
Nitrosarchaeum_koreense_MY1-contig1_831	PF00410.20,3.8e-21,72.2
Nitrosarchaeum_koreense_MY1-contig1_834	PF00900.21,1.5e-19,66.5
